ReferenceKey,Groups,GroupIDs
torn_tendon_nondiabetic,1,KLA31_01
GTEx_v8_Lung,1,KLA31_02
GSE178411_HTS,1,KLA31_03
GSE178411_uninjured_skin,1,KLA31_04
GTEx_v8_Hippocampus,1,KLA31_05
GSE114691_control_placenta,1,KLA31_06
GSE40181_sperm_mRNA,1,KLA31_07
GSE132714_BPH,1,KLA31_08
TCGA_LIHC_normal,1,KLA31_09
TCGA_ESCA_ESCC,1,KLA31_10
TCGA_PRAD_primary,1,KLA31_11
TCGA_LIHC_primary,1,KLA31_12
DepMap_MCF7,1,KLA31_13
DepMap_HCT116,3,KLA31_14;KLA31_15;KLA31_16
GSE163787_TALL104,1,KLA31_17
DepMap_HepG2,1,KLA31_18
DepMap_A549,1,KLA31_19
DepMap_MDAMB468,1,KLA31_20
DepMap_T47D,1,KLA31_21
GSE143451_PC3M1E8_scramble,1,KLA31_22
GSE119834_GSC,1,KLA31_23
DepMap_RKO,1,KLA31_24
GSE203529_HEK293T_WT,1,KLA31_25
GSE275256_HMC3_vehicle,1,KLA31_26
GSE269418_HK2_normoxia_solvent,2,KLA31_27;KLA31_28
GSE103520_MCF10A_control,1,KLA31_29
GSE119834_NSC,1,KLA31_30
ENCODE_ENCSR000COZ,1,KLA31_31
