run_accession	experiment_accession	sample_accession	sample_title	scientific_name	library_strategy	library_source	library_selection	fastq_ftp	fastq_md5
SRR29337537	SRX24853702	SAMN41767783	HK2 cells, hypoxia, sGC activator, biol rep 3, RNA 23	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/037/SRR29337537/SRR29337537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/037/SRR29337537/SRR29337537_2.fastq.gz	28839db8cf3cce20238a0cb30824517f;0b7afd52ff5475886990bd04efa6db7f
SRR29337553	SRX24853686	SAMN41767799	HK2 cells, normoxia, solvent control, biol rep 2, RNA 05	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/053/SRR29337553/SRR29337553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/053/SRR29337553/SRR29337553_2.fastq.gz	b443a4d01dc7ef69ead7e4a6857ca188;5728e375ada01b1049788eeccca063d3
SRR29337555	SRX24853684	SAMN41767801	HK2 cells, normoxia, sGC activator, biol rep 3, RNA 03	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/055/SRR29337555/SRR29337555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/055/SRR29337555/SRR29337555_2.fastq.gz	3efbd0d30a63d8c0bb0c6d65b72306a5;e13e9ee5f9a8733afb462664da701289
SRR29337535	SRX24853704	SAMN41767781	HK2 cells, hypoxia, solvent control, biol rep 2, RNA 32	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/035/SRR29337535/SRR29337535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/035/SRR29337535/SRR29337535_2.fastq.gz	4865819004f0602af6b3cfd623fbb08c;0375135802dfba800047287d8bd5c6d6
SRR29337539	SRX24853700	SAMN41767785	HK2 cells, hypoxia, sGC activator, biol rep 1, RNA 21	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/039/SRR29337539/SRR29337539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/039/SRR29337539/SRR29337539_2.fastq.gz	365aa73459f2f597f0ed52ae980dacd9;1006bc780e31e38a889cd7142d360429
SRR29337542	SRX24853697	SAMN41767788	HK2 cells, normoxia, TGF-β1+ sGC activator, biol rep 4, RNA 16	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/042/SRR29337542/SRR29337542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/042/SRR29337542/SRR29337542_2.fastq.gz	d06f01d26d6ca17ad4dda8942fce91ce;4b29709242822d69ad86987fd50968f4
SRR29337543	SRX24853696	SAMN41767789	HK2 cells, normoxia, TGF-β1+ sGC activator, biol rep 3, RNA 15	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/043/SRR29337543/SRR29337543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/043/SRR29337543/SRR29337543_2.fastq.gz	2359005fe923c45e8d9db4ed6b12d4d6;5e9b47472a3d8bc9b15ef49a63af75ed
SRR29337544	SRX24853695	SAMN41767790	HK2 cells, normoxia, TGF-β1+ sGC activator, biol rep 2, RNA 14	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/044/SRR29337544/SRR29337544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/044/SRR29337544/SRR29337544_2.fastq.gz	b0054f483276fdeb7f711e518e3dc5e9;9c5fc81e876cc4c0f8254c1f30d67fd6
SRR29337546	SRX24853693	SAMN41767792	HK2 cells, normoxia, TGF-β1, biol rep 5, RNA 12	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/046/SRR29337546/SRR29337546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/046/SRR29337546/SRR29337546_2.fastq.gz	b98b20edfdf363c09b98aef96c45dece;1e4b85aab5ef2b669fe7bb665805c256
SRR29337556	SRX24853683	SAMN41767802	HK2 cells, normoxia, sGC activator, biol rep 2, RNA 02	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/056/SRR29337556/SRR29337556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/056/SRR29337556/SRR29337556_2.fastq.gz	69891fc68f93de07d452d7a1b8902bfb;5ba3700d6616ee2d1b7f32634d12a4ef
