"TimestampUTC"	"TaskID"	"Source"	"Accession"	"GroupIDs"	"SelectedSamples"	"SourceURL"	"RelativeTarget"	"State"	"Bytes"	"SHA256"	"Detail"
"2026-09-14 06:23:54 UTC"	"GEO_GSE236746"	"GEO"	"GSE236746"	"KLA31_01"	"GSM7574837;GSM7574838;GSM7574839"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236746/soft/GSE236746_family.soft.gz"	"geo/GSE236746/metadata/GSE236746_family.soft.gz"	"complete"	"2847"	"a48461581b4baffea6d4851f517b895fac05151b3de6eb75c739e8e98f456510"	"downloaded with wget continuation support"
"2026-09-14 06:23:59 UTC"	"GEO_GSE236746"	"GEO"	"GSE236746"	"KLA31_01"	"GSM7574837;GSM7574838;GSM7574839"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236746/matrix/GSE236746_series_matrix.txt.gz"	"geo/GSE236746/metadata/GSE236746_series_matrix.txt.gz"	"complete"	"2712"	"ae366878878cd78d57af82573bc074e7a59948007699938d075a82f020e0f597"	"downloaded with wget continuation support"
"2026-09-14 06:24:00 UTC"	"GEO_GSE236746"	"GEO"	"GSE236746"	"KLA31_01"	"GSM7574837;GSM7574838;GSM7574839"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236746/suppl/"	"geo/GSE236746/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:02 UTC"	"GEO_GSE181540"	"GEO"	"GSE181540"	"KLA31_03;KLA31_04"	"GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181540/soft/GSE181540_family.soft.gz"	"geo/GSE181540/metadata/GSE181540_family.soft.gz"	"complete"	"3517"	"7af74fbc1922cc4a82a1a81f64dbac3108dadb3673d9e5c2ab2030927244e5c4"	"downloaded with wget continuation support"
"2026-09-14 06:24:03 UTC"	"GEO_GSE181540"	"GEO"	"GSE181540"	"KLA31_03;KLA31_04"	"GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181540/matrix/GSE181540_series_matrix.txt.gz"	"geo/GSE181540/metadata/GSE181540_series_matrix.txt.gz"	"complete"	"3470"	"076d5714be9e07f835bf98125430e362dd87a5a64197353b7c45302ea3b6234e"	"downloaded with wget continuation support"
"2026-09-14 06:24:04 UTC"	"GEO_GSE181540"	"GEO"	"GSE181540"	"KLA31_03;KLA31_04"	"GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181540/suppl/"	"geo/GSE181540/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:06 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/soft/GSE114691_family.soft.gz"	"geo/GSE114691/metadata/GSE114691_family.soft.gz"	"complete"	"5262"	"167fe4713530f5866e9b07ce2cc5d265525301d2f6f37765321ad4f1f8a8b546"	"downloaded with wget continuation support"
"2026-09-14 06:24:08 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/matrix/GSE114691_series_matrix.txt.gz"	"geo/GSE114691/metadata/GSE114691_series_matrix.txt.gz"	"complete"	"4266"	"2a7c799b027f0a5820d0acc469af60ac8f626fd4a1b18149ec44ccfd5b2dd7d9"	"downloaded with wget continuation support"
"2026-09-14 06:24:10 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/suppl/"	"geo/GSE114691/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:12 UTC"	"GEO_GSE40181"	"GEO"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40181/soft/GSE40181_family.soft.gz"	"geo/GSE40181/metadata/GSE40181_family.soft.gz"	"complete"	"3219"	"71fd3d658b464b5e2a561891b261817dc23ba1edf2890ceb8da98082c645f802"	"downloaded with wget continuation support"
"2026-09-14 06:24:14 UTC"	"GEO_GSE40181"	"GEO"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40181/matrix/GSE40181_series_matrix.txt.gz"	"geo/GSE40181/metadata/GSE40181_series_matrix.txt.gz"	"complete"	"3115"	"c8570a4e3614b402e99d5815d77182807bff419f449f6e60a1e88dff5ccf7114"	"downloaded with wget continuation support"
"2026-09-14 06:24:16 UTC"	"GEO_GSE40181"	"GEO"	"GSE40181"	"KLA31_07"	"GSM987942;GSM987943"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40181/suppl/"	"geo/GSE40181/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:19 UTC"	"GEO_GSE132714"	"GEO"	"GSE132714"	"KLA31_08"	"GSM3890639-GSM3890656"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132714/soft/GSE132714_family.soft.gz"	"geo/GSE132714/metadata/GSE132714_family.soft.gz"	"complete"	"3391"	"144e58b22b1c721959dcb5fabb1b04be901eec2ac03eb9d858ff0376b5c29138"	"downloaded with wget continuation support"
"2026-09-14 06:24:21 UTC"	"GEO_GSE132714"	"GEO"	"GSE132714"	"KLA31_08"	"GSM3890639-GSM3890656"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132714/matrix/GSE132714_series_matrix.txt.gz"	"geo/GSE132714/metadata/GSE132714_series_matrix.txt.gz"	"complete"	"3157"	"d7c3d7c310bf7a4d063fa8a6fc4227e36aac9b054d11ce09285969bb81fc07fb"	"downloaded with wget continuation support"
"2026-09-14 06:24:23 UTC"	"GEO_GSE132714"	"GEO"	"GSE132714"	"KLA31_08"	"GSM3890639-GSM3890656"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132714/suppl/"	"geo/GSE132714/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:24:27 UTC"	"GEO_GSE163787"	"GEO"	"GSE163787"	"KLA31_17"	"GSM4987488;SRX9725233"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE163nnn/GSE163787/soft/GSE163787_family.soft.gz"	"geo/GSE163787/metadata/GSE163787_family.soft.gz"	"complete"	"2102"	"64d2ee9bae4fa4fd672aa416594eee16a8589445b55417be8efa3d83d2fe935e"	"downloaded with wget continuation support"
