TaskID	Source	Accession	GroupIDs	SelectedSamples	RelativeTarget	State	Bytes	SHA256	Detail
ENCODE_ENCSR000COZ_REP2	ENCODE	ENCSR000COZ	KLA31_31	ENCFF770MAV;biological_replicate_2	encode/ENCSR000COZ/ENCFF770MAV_GRCh38_RSEM.tsv	complete	10900636	cdd8f7beec61eea011a4deb1d12d0fa6bf0e338379479ea9a3d6a5fffd43eaa4	downloaded with wget continuation support
ENCODE_ENCSR000COZ_REP1	ENCODE	ENCSR000COZ	KLA31_31	ENCFF779OCC;biological_replicate_1	encode/ENCSR000COZ/ENCFF779OCC_GRCh38_RSEM.tsv	complete	10855849	27cfa88a9ad244d07ebec2f33151f612c46be8f5ff645ca3256b802d80821fc7	downloaded with wget continuation support
GEO_GSE103520	GEO	GSE103520	KLA31_29	GSM2773021;GSM2773022;GSM2773023	geo/GSE103520/metadata/GSE103520_family.soft.gz	complete	6604	6f606245b60046f86173eb66272682df0ac17a595149856206ee95bde0c604f4	downloaded with wget continuation support
GEO_GSE103520	GEO	GSE103520	KLA31_29	GSM2773021;GSM2773022;GSM2773023	geo/GSE103520/metadata/GSE103520_series_matrix.txt.gz	complete	6097	feafbe6d872544ef604fbe5a8da09ca4cfa0d3c18c5db1843a95665e04a75af0	downloaded with wget continuation support
GEO_GSE103520	GEO	GSE103520	KLA31_29	GSM2773021;GSM2773022;GSM2773023	geo/GSE103520/supplement_listing	listed_no_whitelisted_matrix			No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue.
GEO_GSE114691	GEO	GSE114691	KLA31_06	GSM3147325-GSM3147345	geo/GSE114691/metadata/GSE114691_family.soft.gz	complete	5262	167fe4713530f5866e9b07ce2cc5d265525301d2f6f37765321ad4f1f8a8b546	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE114691	GEO	GSE114691	KLA31_06	GSM3147325-GSM3147345	geo/GSE114691/metadata/GSE114691_series_matrix.txt.gz	complete	4266	2a7c799b027f0a5820d0acc469af60ac8f626fd4a1b18149ec44ccfd5b2dd7d9	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE114691	GEO	GSE114691	KLA31_06	GSM3147325-GSM3147345	geo/GSE114691/supplement/GSE114691_MasterCount_ControlONLY.txt.gz	complete	4815302	3d429c4f8c4324cc5585f1a3dd85c36862b91eb6a6af1b89991f47b274ad020b	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE114691	GEO	GSE114691	KLA31_06	GSM3147325-GSM3147345	geo/GSE114691/supplement/GSE114691_MasterCount_IUGRONLY.txt.gz	complete	4175152	64f97cc1b88733f72777af4a0c778e06f822afd0a48a5f437d5ae0f492bed9c9	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE114691	GEO	GSE114691	KLA31_06	GSM3147325-GSM3147345	geo/GSE114691/supplement/GSE114691_MasterCount_PEIUGR.txt.gz	complete	4511605	7df2e09365011d3757756620d8a8f7b8a28c261a2a6b8309311c464166acd3f3	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE114691	GEO	GSE114691	KLA31_06	GSM3147325-GSM3147345	geo/GSE114691/supplement/GSE114691_MasterCount_PEONLY.txt.gz	complete	4503692	db15986421b41d4e534f49438aa87223bfac91286f9317051b35096aea937a88	already present; gzip integrity confirmed where applicable; SHA256 recalculated
GEO_GSE114691	GEO	GSE114691	KLA31_06	GSM3147325-GSM3147345	geo/GSE114691/supplement_listing	listed_no_whitelisted_matrix			No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue.
