"GSE","State","File","Genes","Samples","ExampleID","MD5"
"GSE157383","downloaded_table","raw/ncbi_counts_20260915/GSE157383_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,22,"100287102;653635;102466751","6060f30ebf75dd322f0bfb31280f8dae"
"GSE240748","downloaded_table","raw/ncbi_counts_20260915/GSE240748_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,6,"100287102;653635;102466751","ba30be74523cfc797070becc210ab7be"
"GSE171750","not_listed_or_fetch_failed","",NA,NA,"",""
"GSE203551","downloaded_table","raw/ncbi_counts_20260915/GSE203551_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,20,"100287102;653635;102466751","74778da2acf07cc04f42c65db11c9a8e"
"GSE263971","not_listed_or_fetch_failed","",NA,NA,"",""
"GSE158552","downloaded_table","raw/ncbi_counts_20260915/GSE158552_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,9,"100287102;653635;102466751","1981e17acb36bb8b8a2f8714e37db1f0"
"GSE253699","not_listed_or_fetch_failed","",NA,NA,"",""
"GSE318640","not_listed_or_fetch_failed","",NA,NA,"",""
"GSE65683","downloaded_table","raw/ncbi_counts_20260915/GSE65683_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,58,"100287102;653635;102466751","c44892a4fc5935a996fdc580701f5d9e"
"GSE81194","downloaded_table","raw/ncbi_counts_20260915/GSE81194_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,3,"100287102;653635;102466751","f73dbdbd5b0b1acd46d5ab3784e4850a"
"GSE236746","downloaded_table","raw/ncbi_counts_20260915/GSE236746_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,6,"100287102;653635;102466751","5b2a53f0fea69a6637a1f6db87069b9f"
"GSE235595","downloaded_table","raw/ncbi_counts_20260915/GSE235595_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,9,"100287102;653635;102466751","025052cea77a8551a34b6980ada84eee"
"GSE266884","downloaded_table","raw/ncbi_counts_20260915/GSE266884_raw_counts_GRCh38.p13_NCBI.tsv.gz",39376,12,"100287102;653635;102466751","64fe4ba06e6f8617bf2eecf21a47661f"
"GSE163787","not_listed_or_fetch_failed","",NA,NA,"",""
