"ReferenceKey","GroupIDs","GSE","RequestedN","MatrixN","MissingSamples","Genes","StableID","NumericQCPass","ReplicateCountGate","Condition","AnalysisReady","InputMD5"
"HK2_untreated","KLA31_27;KLA31_28","GSE240748",3,3,"",39376,"Entrez",TRUE,TRUE,"WT untreated 24h; independent culture documentation pending",FALSE,"ba30be74523cfc797070becc210ab7be"
"MCF7_DMSO7d","KLA31_13","GSE157383",3,3,"",39376,"Entrez",TRUE,TRUE,"DMSO 7 days; external baseline; concentration not specified in GEO",FALSE,"6060f30ebf75dd322f0bfb31280f8dae"
"MDAMB468_DMSO7d","KLA31_20","GSE157383",3,3,"",39376,"Entrez",TRUE,TRUE,"DMSO 7 days; external baseline; concentration not specified in GEO",FALSE,"6060f30ebf75dd322f0bfb31280f8dae"
"HepG2_DMSO24h","KLA31_18","GSE158552",3,3,"",39376,"Entrez",TRUE,TRUE,"DMSO 24h; parental reference, not SIRT1/3 knockout",FALSE,"1981e17acb36bb8b8a2f8714e37db1f0"
"HUVEC_untreated","KLA31_31","GSE203551",4,4,"",39376,"Entrez",TRUE,TRUE,"unstimulated untreated; donors 32/36/46/47; passage 3; not Pg infected",FALSE,"74778da2acf07cc04f42c65db11c9a8e"
"sperm_GroupI","KLA31_07","GSE65683",7,4,"GSM1602977;GSM1602979;GSM1602980",39376,"Entrez",TRUE,TRUE,"Group I birth-outcome reference; clinical eligibility and protocol review pending",FALSE,"c44892a4fc5935a996fdc580701f5d9e"
"tendon_nondiabetic","KLA31_01","GSE236746",3,3,"",39376,"Entrez",TRUE,TRUE,"nondiabetic torn tendon, not healthy tendon",FALSE,"5b2a53f0fea69a6637a1f6db87069b9f"
"PC3M_DMSO","KLA31_22","GSE235595",3,3,"",39376,"Entrez",TRUE,TRUE,"PC-3M DMSO 4 days; not KMI169/KMI169Ctrl",FALSE,"025052cea77a8551a34b6980ada84eee"
"HCT116_control","KLA31_14;KLA31_15;KLA31_16","GSE253699",3,3,NA,58735,"Ensembl",TRUE,TRUE,"WT control; IMEM 10% FBS; not coculture; culture independence documentation pending",FALSE,"af615604f42fe1a28a181b01082dafc2"
"RKO_DMSO","KLA31_24","GSE318640",3,3,NA,58735,"Ensembl",TRUE,TRUE,"DMSO control; duration and concentration unreported; parental not GSK3B knockout",FALSE,"25356a2ea2ed604fb57daee2fccc21c3"
