"ReferenceKey","SampleID","Genes","Counts","DetectedGenes","ZeroFraction"
"HK2_untreated","GSM7708662",39376,26399943,23234,0.409945144250305
"HK2_untreated","GSM7708663",39376,28346510,23491,0.403418325883787
"HK2_untreated","GSM7708664",39376,26960660,23960,0.391507517269403
"MCF7_DMSO7d","GSM4763907",39376,21405546,21259,0.460102600568874
"MCF7_DMSO7d","GSM4763908",39376,28995574,21786,0.446718813490451
"MCF7_DMSO7d","GSM4763909",39376,35713512,22616,0.425639983746445
"MDAMB468_DMSO7d","GSM4763917",39376,17175492,19926,0.493955709061357
"MDAMB468_DMSO7d","GSM4763918",39376,19508855,20207,0.486819382364892
"MDAMB468_DMSO7d","GSM4763919",39376,27171496,21324,0.458451848841934
"HepG2_DMSO24h","GSM4802741",39376,18036196,18509,0.529942096708655
"HepG2_DMSO24h","GSM4802742",39376,20412488,19165,0.513282202356766
"HepG2_DMSO24h","GSM4802743",39376,18862275,19054,0.516101178382771
"HUVEC_untreated","GSM6176178",39376,14898846,21083,0.46457232832182
"HUVEC_untreated","GSM6176183",39376,8533966,18483,0.530602397399431
"HUVEC_untreated","GSM6176188",39376,13235029,20426,0.481257618854124
"HUVEC_untreated","GSM6176193",39376,17121485,21113,0.463810442909386
"sperm_GroupI","GSM1602978",39376,8982170,23589,0.400929500203169
"sperm_GroupI","GSM1602981",39376,9213712,25572,0.350568874441284
"sperm_GroupI","GSM1602982",39376,6872019,22840,0.419951239333604
"sperm_GroupI","GSM1602983",39376,11207739,21583,0.451874238114588
"tendon_nondiabetic","GSM7574837",39376,41879029,28906,0.265898008939456
"tendon_nondiabetic","GSM7574838",39376,50765386,25753,0.345972165786266
"tendon_nondiabetic","GSM7574839",39376,35781573,24691,0.372942909386428
"PC3M_DMSO","GSM7506018",39376,36562068,21879,0.444356968711906
"PC3M_DMSO","GSM7506019",39376,42591849,22283,0.434096911824462
"PC3M_DMSO","GSM7506020",39376,34668945,21993,0.441461804144657
