"ReferenceKey","GSE","GSM","Condition"
"HK2_untreated","GSE240748","GSM7708662","WT untreated 24h; independent culture documentation pending"
"HK2_untreated","GSE240748","GSM7708663","WT untreated 24h; independent culture documentation pending"
"HK2_untreated","GSE240748","GSM7708664","WT untreated 24h; independent culture documentation pending"
"MCF7_DMSO7d","GSE157383","GSM4763907","DMSO 7 days; external baseline; concentration not specified in GEO"
"MCF7_DMSO7d","GSE157383","GSM4763908","DMSO 7 days; external baseline; concentration not specified in GEO"
"MCF7_DMSO7d","GSE157383","GSM4763909","DMSO 7 days; external baseline; concentration not specified in GEO"
"MDAMB468_DMSO7d","GSE157383","GSM4763917","DMSO 7 days; external baseline; concentration not specified in GEO"
"MDAMB468_DMSO7d","GSE157383","GSM4763918","DMSO 7 days; external baseline; concentration not specified in GEO"
"MDAMB468_DMSO7d","GSE157383","GSM4763919","DMSO 7 days; external baseline; concentration not specified in GEO"
"HepG2_DMSO24h","GSE158552","GSM4802741","DMSO 24h; parental reference, not SIRT1/3 knockout"
"HepG2_DMSO24h","GSE158552","GSM4802742","DMSO 24h; parental reference, not SIRT1/3 knockout"
"HepG2_DMSO24h","GSE158552","GSM4802743","DMSO 24h; parental reference, not SIRT1/3 knockout"
"HUVEC_untreated","GSE203551","GSM6176178","unstimulated untreated; donors 32/36/46/47; passage 3; not Pg infected"
"HUVEC_untreated","GSE203551","GSM6176183","unstimulated untreated; donors 32/36/46/47; passage 3; not Pg infected"
"HUVEC_untreated","GSE203551","GSM6176188","unstimulated untreated; donors 32/36/46/47; passage 3; not Pg infected"
"HUVEC_untreated","GSE203551","GSM6176193","unstimulated untreated; donors 32/36/46/47; passage 3; not Pg infected"
"sperm_GroupI","GSE65683","GSM1602978","Group I birth-outcome reference; clinical eligibility and protocol review pending"
"sperm_GroupI","GSE65683","GSM1602981","Group I birth-outcome reference; clinical eligibility and protocol review pending"
"sperm_GroupI","GSE65683","GSM1602982","Group I birth-outcome reference; clinical eligibility and protocol review pending"
"sperm_GroupI","GSE65683","GSM1602983","Group I birth-outcome reference; clinical eligibility and protocol review pending"
"tendon_nondiabetic","GSE236746","GSM7574837","nondiabetic torn tendon, not healthy tendon"
"tendon_nondiabetic","GSE236746","GSM7574838","nondiabetic torn tendon, not healthy tendon"
"tendon_nondiabetic","GSE236746","GSM7574839","nondiabetic torn tendon, not healthy tendon"
"PC3M_DMSO","GSE235595","GSM7506018","PC-3M DMSO 4 days; not KMI169/KMI169Ctrl"
"PC3M_DMSO","GSE235595","GSM7506019","PC-3M DMSO 4 days; not KMI169/KMI169Ctrl"
"PC3M_DMSO","GSE235595","GSM7506020","PC-3M DMSO 4 days; not KMI169/KMI169Ctrl"
