"Accession","URL","FetchValid","Evidence"
"GSE240748","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240748&targ=self&form=text&view=full",TRUE,"!Series_title = Effect of TGF-β1 treatment on gene expression of HK2 cells || !Series_overall_design = Comparative gene expression profiling analysis of RNA-seq data for HK2 cells and TGF-β1-treated HK2 cells. || !Series_sample_id = GSM7708662 || !Series_sample_id = GSM7708663 || !Series_sample_id = GSM7708664 || !Series_sample_id = GSM7708665 || !Series_sample_id = GSM7708666 || !Series_sample_id = GSM7708667 || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE240nnn/GSE240748/suppl/GSE240748_RAW.tar"
"GSM7708662","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7708662&targ=self&form=text&view=full",TRUE,"!Sample_title = HK2 cells, Control, 24 h, rep1 || !Sample_characteristics_ch1 = cell line: HK2 || !Sample_characteristics_ch1 = cell type: Kidney proximal tubualr epithelial cells || !Sample_characteristics_ch1 = genotype: WT || !Sample_characteristics_ch1 = treatment: Control || !Sample_characteristics_ch1 = time: 24 h || !Sample_treatment_protocol_ch1 = HK2 cells were untreated or treated with TGF-β1 for 24 h. || !Sample_growth_protocol_ch1 = HK2 cells were maintained in DMEM-F12 supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37℃ || !Sample_library_strategy = RNA-Seq || !Sample_supplementary_file_1 = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7708nnn/GSM7708662/suppl/GSM7708662_NC1.gene.txt.gz || !Sample_series_id = GSE240748 || !Sample_series_id = GSE241047"
"GSM7708663","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7708663&targ=self&form=text&view=full",TRUE,"!Sample_title = HK2 cells, Control, 24 h, rep2 || !Sample_characteristics_ch1 = cell line: HK2 || !Sample_characteristics_ch1 = cell type: Kidney proximal tubualr epithelial cells || !Sample_characteristics_ch1 = genotype: WT || !Sample_characteristics_ch1 = treatment: Control || !Sample_characteristics_ch1 = time: 24 h || !Sample_treatment_protocol_ch1 = HK2 cells were untreated or treated with TGF-β1 for 24 h. || !Sample_growth_protocol_ch1 = HK2 cells were maintained in DMEM-F12 supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37℃ || !Sample_library_strategy = RNA-Seq || !Sample_supplementary_file_1 = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7708nnn/GSM7708663/suppl/GSM7708663_NC2.gene.txt.gz || !Sample_series_id = GSE240748 || !Sample_series_id = GSE241047"
"GSM7708664","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7708664&targ=self&form=text&view=full",TRUE,"!Sample_title = HK2 cells, Control, 24 h, rep3 || !Sample_characteristics_ch1 = cell line: HK2 || !Sample_characteristics_ch1 = cell type: Kidney proximal tubualr epithelial cells || !Sample_characteristics_ch1 = genotype: WT || !Sample_characteristics_ch1 = treatment: Control || !Sample_characteristics_ch1 = time: 24 h || !Sample_treatment_protocol_ch1 = HK2 cells were untreated or treated with TGF-β1 for 24 h. || !Sample_growth_protocol_ch1 = HK2 cells were maintained in DMEM-F12 supplemented with 10% fetal bovine serum (FBS) and antibiotics in humidified atmosphere with 5% CO2 at 37℃ || !Sample_library_strategy = RNA-Seq || !Sample_supplementary_file_1 = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7708nnn/GSM7708664/suppl/GSM7708664_NC3.gene.txt.gz || !Sample_series_id = GSE240748 || !Sample_series_id = GSE241047"
"GSE81194","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81194&targ=self&form=text&view=full",TRUE,"!Series_title = A Novel RNA Sequencing Data Analysis Method for Cell Line Authentication || !Series_overall_design = RNA-sequencing of three colorectal cancer cell lines (HCT116, HKE3 and RKO) with either three (HCT116, RKO) or four (HKE3) replicates each. || !Series_sample_id = GSM2144412 || !Series_sample_id = GSM2144413 || !Series_sample_id = GSM2144414 || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81194/suppl/GSE81194_auth.collected.txt.gz || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81194/suppl/GSE81194_auth.rna.vs.cosmic.collected.txt.gz || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81194/suppl/GSE81194_auth.rna.vs.rna.collected.txt.gz || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81194/suppl/GSE81194_auth.subsamples.collected.txt.gz || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81194/suppl/GSE81194_readme_file_desriptions.txt || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81194/suppl/GSE81194_refsnp.strand.txt.gz || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81194/suppl/GSE81194_variant.calls.colo205.txt.gz || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81194/suppl/GSE81194_yu.snps.txt.gz"
"GSM2144412","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2144412&targ=self&form=text&view=full",TRUE,"!Sample_title = HCT116 || !Sample_characteristics_ch1 = cell line: HCT116 || !Sample_characteristics_ch1 = cell type: Colorectal carcinoma-derived cells || !Sample_treatment_protocol_ch1 = No treatments. || !Sample_growth_protocol_ch1 = Standard growth protocol in McCoy (HCT116, RKO) or DMEM media (HKE3), supplemented with 10 % FBS. Cells were split 1:5 every third or fourth day. || !Sample_library_strategy = RNA-Seq || !Sample_supplementary_file_1 = NONE || !Sample_series_id = GSE81194"
"GSM2144413","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2144413&targ=self&form=text&view=full",TRUE,"!Sample_title = RKO || !Sample_characteristics_ch1 = cell line: RKO || !Sample_characteristics_ch1 = cell type: Colorectal carcinoma-derived cells || !Sample_treatment_protocol_ch1 = No treatments. || !Sample_growth_protocol_ch1 = Standard growth protocol in McCoy (HCT116, RKO) or DMEM media (HKE3), supplemented with 10 % FBS. Cells were split 1:5 every third or fourth day. || !Sample_library_strategy = RNA-Seq || !Sample_supplementary_file_1 = NONE || !Sample_series_id = GSE81194"
"GSM2144414","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2144414&targ=self&form=text&view=full",TRUE,"!Sample_title = HKE3 || !Sample_characteristics_ch1 = cell line: HKE3 || !Sample_characteristics_ch1 = cell type: Colorectal carcinoma-derived cells || !Sample_treatment_protocol_ch1 = No treatments. || !Sample_growth_protocol_ch1 = Standard growth protocol in McCoy (HCT116, RKO) or DMEM media (HKE3), supplemented with 10 % FBS. Cells were split 1:5 every third or fourth day. || !Sample_library_strategy = RNA-Seq || !Sample_supplementary_file_1 = NONE || !Sample_series_id = GSE81194"
"GSE145108","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145108&targ=self&form=text&view=full",TRUE,"!Series_title = PolyA RNA-seq from RKO, A549, and H460 cells in normoxia and hypoxia || !Series_overall_design = Two independent biological replicates each of RKO, A549, and H460 cells exposed to normoxia or hypoxia for 24 hours. || !Series_sample_id = GSM4306640 || !Series_sample_id = GSM4306641 || !Series_sample_id = GSM4306642 || !Series_sample_id = GSM4306643 || !Series_sample_id = GSM4306644 || !Series_sample_id = GSM4306645 || !Series_sample_id = GSM4306646 || !Series_sample_id = GSM4306647 || !Series_sample_id = GSM4306648 || !Series_sample_id = GSM4306649 || !Series_sample_id = GSM4306650 || !Series_sample_id = GSM4306651 || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145108/suppl/GSE145108_Normoxia_Hypoxia_RKO_A549_H460_HTSeq_counts.txt.gz || !Series_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145108/suppl/GSE145108_Normoxia_Hypoxia_RKO_A549_H460_RPKM.txt.gz"
"GSM4494786","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4494786&targ=self&form=text&view=full",TRUE,"!Sample_title = Control MCF7-Replicate 3 || !Sample_characteristics_ch1 = tag: MCF7 untreated || !Sample_characteristics_ch1 = cell type: MCF7 || !Sample_characteristics_ch1 = bacterial treatment: untreated || !Sample_characteristics_ch1 = xenograft cell count: --- || !Sample_growth_protocol_ch1 = MCF7 cells were seeded in 10% serum supplemented DMEM media and allowed to grow for 24 hours. Cells were then treated with 100 ng/ml of BFT in 2% serum supplemented DMEM. Medium in the control group was changed to 2% serum supplemented DMEM. 3 days post tretment, cells were harvested in 0.25% trypsin/EDTA, neutralized with 10% FBS supplemented DMEM and centrifuged. Pellets were resuspended in serum free media and equal volume of matrigel was added to the cell suspension. 5 million cells were implanted on to the 4th mammary fat pad of SCID-NOD mice on either side with E2 supplementation. Tumors were allowed to grow for 8 weeks and monitored after which tumors were resected. The resecetd tumors were dissociated and tumor cells were isolated and subjected to in vivo limiting dilution; cells ranging from 5000 to 500000 were implanted in different mammary fat pads of SCID-NOD mice and tumors were allowed to grow. At the end of 8 weeks, resulting tumors were resected and RNA sequencing was performed. || !Sample_library_strategy = RNA-Seq || !Sample_supplementary_file_1 = NONE || !Sample_series_id = GSE149241"
