GroupID	PXD	SampleGroup	ReferenceKey	GSE	SelectedGSM	Samples	SelectedSamplePerturbation	VehicleExposure	StableID	SourceLocalAnalysisStatus
KLA31_01	PXD033146	pathological rotator cuff tendon	tendon_nondiabetic	GSE236746	GSM7574837;GSM7574838;GSM7574839	3	none	FALSE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug
KLA31_07	PXD064912	human sperm	sperm_GroupI	GSE65683	GSM1602978;GSM1602981;GSM1602982;GSM1602983	4	none	FALSE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug
KLA31_13	PXD060185	MCF7	MCF7_DMSO7d	GSE157383	GSM4763907;GSM4763908;GSM4763909	3	vehicle only	TRUE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded
KLA31_14	PXD028488	HCT116	HCT116_control	GSE253699	GSM8026675;GSM8026676;GSM8026677	3	none	FALSE	Ensembl	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug
KLA31_15	PXD053474	HCT116	HCT116_control	GSE253699	GSM8026675;GSM8026676;GSM8026677	3	none	FALSE	Ensembl	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug
KLA31_16	PXD066351	HCT116 control and Roseburia co-culture	HCT116_control	GSE253699	GSM8026675;GSM8026676;GSM8026677	3	none	FALSE	Ensembl	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug
KLA31_18	PXD050147	HepG2 WT and SIRT1 or SIRT3 KO	HepG2_DMSO24h	GSE158552	GSM4802741;GSM4802742;GSM4802743	3	vehicle only	TRUE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded
KLA31_20	PXD060185	MDA-MB-468	MDAMB468_DMSO7d	GSE157383	GSM4763917;GSM4763918;GSM4763919	3	vehicle only	TRUE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded
KLA31_22	PXD063266	PC-3M	PC3M_DMSO	GSE235595	GSM7506018;GSM7506019;GSM7506020	3	vehicle only	TRUE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded
KLA31_24	PXD078013	RKO WT and GSK3B KO	RKO_DMSO	GSE318640	GSM9499692;GSM9499693;GSM9499694	3	vehicle only	TRUE	Ensembl	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug; DMSO vehicle exposure recorded
KLA31_27	PXD058534	pretreated HK-2	HK2_untreated	GSE240748	GSM7708662;GSM7708663;GSM7708664	3	none	FALSE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug
KLA31_28	PXD078736	HK-2 control and mannitol	HK2_untreated	GSE240748	GSM7708662;GSM7708663;GSM7708664	3	none	FALSE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug
KLA31_31	PXD073311	HUVEC control and Pg infection	HUVEC_untreated	GSE203551	GSM6176178;GSM6176183;GSM6176188;GSM6176193	4	none	FALSE	Entrez	CONFIRMED: material/cell identity match; selected samples have no genetic perturbation or experimental drug
