PXD,SampleGroup,GroupID,Observed,Expected,N,MeanRNA,Excess,ExcessRate,Category,KlaProteinCount,KlaDdrFraction,DdrFractionPercentagePointDifference,logKla,ResidualAfterDepth
PXD028488,HCT116,KLA31_14,28,112.314919752574,357,5.10476072393142,-84.3149197525741,-0.23617624580553,cancer_cells,240,0.125,0.0569201995012469,5.48063892334199,0.0863082558450024
PXD028488,HEK293T,KLA31_25,37,117.337830141493,357,5.36579015484641,-80.3378301414927,-0.225035938771688,normal_cells,438,0.100456621004566,0.0413043154619486,6.08221891037645,-0.0419263560664158
PXD028488,TALL-104,KLA31_17,32,87.9629195871364,357,3.47423319380388,-55.9629195871364,-0.15675887839534,cancer_cells,368,0.10054347826087,0.0327877203604946,5.90808293816893,0.0666947774755295
PXD028737,HMC3,KLA31_26,142,124.01391810385,357,5.65886266025753,17.9860818961501,0.0503811817819331,normal_cells,1410,0.111347517730496,0.0420389723945539,7.25134498337221,-0.0373740501218028
PXD033146,pathological rotator cuff tendon,KLA31_01,25,92.4403993651299,357,4.08163028330021,-67.4403993651299,-0.188908681695042,normal_tissue,571,0.0525394045534151,0.0138847860795195,6.34738920965601,-0.0672341363336283
PXD036307,normal human lung,KLA31_02,26,93.0817608375878,357,3.98603382467509,-67.0817608375878,-0.187904091982039,normal_tissue,474,0.0654008438818565,0.0177614201191979,6.16120732169508,-0.0230946583216486
PXD046800,adjacent skin,KLA31_04,26,104.438737593108,357,4.85434032454094,-78.4387375931079,-0.219716351801423,normal_tissue,527,0.0588235294117647,0.0184607176203815,6.26720054854136,-0.0794635817914838
PXD046800,hypertrophic scar,KLA31_03,14,103.632271949771,357,4.60861923778255,-89.6322719497709,-0.251070789775269,normal_tissue,402,0.0472636815920398,0.00941598437361755,5.99645208861902,-0.048090626119388
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,KLA31_18,248,76.9428301154268,357,2.43036877739764,171.057169884573,0.479151736371354,cancer_cells,2602,0.109531129900077,0.0430810412999587,7.86403565907245,0.249447445149347
PXD050470,human hippocampus,KLA31_05,26,78.0917768915159,357,2.54950365458926,-52.0917768915159,-0.145915341432818,normal_tissue,853,0.0339976553341149,-0.00201023680662828,6.74875954749168,-0.117230854764422
PXD053474,HCT116,KLA31_15,59,112.314919752574,357,5.10476072393142,-53.3149197525741,-0.149341511911972,cancer_cells,590,0.110169491525424,0.0420896910266706,6.38012253689977,-0.035250671011701
PXD054919,A549,KLA31_19,106,113.826875900866,357,5.24659384653506,-7.8268759008663,-0.0219240221312781,cancer_cells,1220,0.0950819672131148,0.0295367235936252,7.1066061377273,-0.0761459495455565
PXD058534,pretreated HK-2,KLA31_27,200,117.160656389045,357,5.38099256629703,82.8393436109552,0.232042979302395,normal_cells,2164,0.101663585951941,0.039584762182286,7.67971363996637,0.0450426792809231
PXD060185,MCF10A,KLA31_29,103,75.0202009720979,357,2.18394799481839,27.9797990279021,0.0783747871930031,normal_cells,947,0.121436114044351,0.07142578133098,6.85329909318608,0.0828394011565964
PXD060185,MCF7,KLA31_13,118,107.538079269018,357,4.74772702245432,10.461920730982,0.0293051000867843,cancer_cells,1235,0.106882591093117,0.0394414810576221,7.11882624906208,-0.0277480003443731
PXD060185,MDA-MB-468,KLA31_20,175,109.295504443841,357,4.91267599038017,65.7044955561586,0.18404620603966,cancer_cells,1612,0.121588089330025,0.0604178765640674,7.38523092306657,0.0652720865482578
PXD060185,T-47D,KLA31_21,139,126.821811587079,357,5.89279383986964,12.1781884129205,0.0341125725852116,cancer_cells,1301,0.122213681783244,0.0573672654009911,7.17088847851251,-0.0350023802448808
PXD063047,normal pregnancy placenta,KLA31_06,11,85.3027705731422,357,3.40976980842805,-74.3027705731422,-0.208131010008802,normal_tissue,294,0.0408163265306122,-0.00404047056499082,5.68357976733868,0.0673358642400058
PXD063266,PC-3M,KLA31_22,36,111.906761062606,357,5.0250050989021,-75.9067610626058,-0.212623980567523,cancer_cells,384,0.106770833333333,0.074220205926202,5.95064255258773,0.000969402458828226
PXD064038,MEC and NEC ESCC groups,KLA31_10,82,100.476000392351,357,4.51662015827009,-18.4760003923509,-0.0517535024995825,cancer_tissue,1239,0.0742534301856336,0.0222925245812788,7.12205988162914,-0.109555775587156
PXD064912,human sperm,KLA31_07,5,77.2158121231488,357,2.51988316930208,-72.2158121231488,-0.202285188020025,normal_tissue,231,0.0303030303030303,-0.0128617637044603,5.44241771052179,0.129054459336179
PXD066054,BPH,KLA31_08,126,70.2666725745676,357,1.62950491237976,55.7333274254324,0.156115763096449,normal_tissue,2118,0.0670443814919736,0.0170994677938465,7.65822752616135,-0.025906603093172
PXD066054,prostate cancer,KLA31_11,127,95.3838255740486,357,4.06417701288146,31.6161744259514,0.0885607126777351,cancer_tissue,2125,0.0672941176470588,0.0170685904009294,7.66152708135852,-0.094226099218312
PXD066351,HCT116 control and Roseburia co-culture,KLA31_16,224,112.314919752574,357,5.10476072393142,111.685080247426,0.312843362037608,cancer_cells,2398,0.105504587155963,0.043511967229764,7.78239033558746,0.102054777102766
PXD070007,glioblastoma stem cells,KLA31_23,214,109.083807664372,357,4.96154389009263,104.916192335628,0.293882891696438,cancer_cells,2564,0.092823712948518,0.033712177242762,7.84932381804056,0.0675870610209053
PXD070007,neural stem cells,KLA31_30,159,79.6165185627373,357,2.69677632604973,79.3834814372628,0.222362693101576,normal_cells,1527,0.113294040602489,0.0499487466472029,7.33106030521863,0.116138900473589
PXD073311,HUVEC control and Pg infection,KLA31_31,168,102.226400120537,357,4.64948007362404,65.7735998794628,0.184239775572725,normal_cells,1911,0.0962846677132391,0.0305931101048224,7.55538194424027,0.0260448221180087
PXD075377,HCC,KLA31_12,106,84.7032000934603,357,3.20652755980415,21.2967999065397,0.0596549016989907,cancer_tissue,1798,0.0672969966629588,0.015061067595881,7.49443021503157,-0.0844186672330875
PXD075377,adjacent liver,KLA31_09,99,77.3837286508056,357,2.33906385059952,21.6162713491944,0.0605497796896201,normal_tissue,1775,0.0636619718309859,0.0180256509653073,7.48155570190952,-0.0805410034757792
PXD078013,RKO WT and GSK3B KO,KLA31_24,105,109.723513814482,357,4.95449470334061,-4.72351381448195,-0.0132311311330027,cancer_cells,1217,0.0928512736236647,0.0231417300552,7.10414409298753,-0.0668826484714115
PXD078736,HK-2 control and mannitol,KLA31_28,119,117.160656389045,357,5.38099256629703,1.83934361095514,0.00515222299987434,normal_cells,1250,0.1056,0.0435211762303451,7.13089883029635,-0.0546978704617209
