Model,ConnGroup,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss
M0,1,112,22,0.196428571428571,0.196428571428571,0.196428571428571,0.5,0.201348944547837,0.59476012459852
M0,2,280,21,0.075,0.075,0.075,0.5,0.185442551013687,0.562856131045747
M0,3,146,39,0.267123287671233,0.267123287671233,0.267123287671233,0.5,0.214645337188004,0.621673150969817
M0,4,146,25,0.171232876712329,0.171232876712329,0.171232876712329,0.5,0.19732792739409,0.586656681377199
M0,5,228,8,0.0350877192982456,0.0350877192982456,0.0350877192982456,0.5,0.177707554500243,0.547196568051154
M0,6,276,5,0.0181159420289855,0.0181159420289855,0.0181159420289855,0.5,0.17761786620828,0.547122442672379
M0,7,561,257,0.458110516934046,0.458110516934046,0.458110516934046,0.5,0.252052285471729,0.697471039960059
M0,8,320,157,0.490625,0.490625,0.490625,0.5,0.258658173147009,0.710869082160445
M0,9,288,82,0.284722222222222,0.284722222222222,0.284722222222222,0.5,0.21854708861997,0.629600156384746
M0,10,677,358,0.528803545051699,0.528803545051699,0.528803545051699,0.5,0.269181907043285,0.732404609655295
M0,11,1193,375,0.314333612740989,0.314333612740989,0.314333612740989,0.5,0.226753611420744,0.646309322118627
M0,12,303,228,0.752475247524752,0.752475247524752,0.752475247524752,0.5,0.321269775463568,0.838524762619821
M0,13,175,86,0.491428571428572,0.491428571428572,0.491428571428572,0.5,0.258442324719295,0.710409150802033
M0,14,177,28,0.15819209039548,0.15819209039548,0.15819209039548,0.5,0.195621871820536,0.583238574015162
M0,15,627,384,0.61244019138756,0.61244019138756,0.61244019138756,0.5,0.291420610714475,0.777929016289496
M0,16,193,90,0.466321243523316,0.466321243523316,0.466321243523316,0.5,0.253312977329909,0.700004150686475
M0,17,287,141,0.491289198606272,0.491289198606272,0.491289198606272,0.5,0.258710588767755,0.710970454130806
M0,18,432,230,0.532407407407407,0.532407407407407,0.532407407407407,0.5,0.268499911381838,0.730916804952054
M0,19,323,172,0.532507739938081,0.532507739938081,0.532507739938081,0.5,0.26786426253382,0.729584045754148
MP,1,112,22,0.196428571428571,0.760214831257374,0.755500846227903,0.869444444444445,0.179012648370709,0.526578558308318
MP,2,280,21,0.075,0.618967467720808,0.614643971347724,0.909450266593124,0.180152846459861,0.530761573324404
MP,3,146,39,0.267123287671233,0.634921249570518,0.631696818696857,0.790678169182842,0.209979844859851,0.60885899698863
MP,4,146,25,0.171232876712329,0.507072153692925,0.498366735233509,0.768595041322314,0.204734924557639,0.590105149151892
MP,5,228,8,0.0350877192982456,0.292081554191196,0.24051797929612,0.790056818181818,0.215313284783294,0.614748611284955
MP,6,276,5,0.0181159420289855,0.0445351791264003,0.0336837934716641,0.721033210332103,0.221390882791666,0.645505496730541
MP,7,561,257,0.458110516934046,0.809641730255759,0.810801579974685,0.812634394839238,0.180027778653934,0.543535576692664
MP,8,320,157,0.490625,0.816005108355322,0.816445769882797,0.791430581063655,0.188962877424044,0.567939233434807
MP,9,288,82,0.284722222222222,0.630780549548471,0.628973136237123,0.775455837082643,0.179919264453227,0.542515776736445
MP,10,677,358,0.528803545051699,0.921148186153207,0.922446030978811,0.918928740302271,0.145889675587365,0.457852184983101
MP,11,1193,375,0.314333612740989,0.556786508886677,0.548862754904855,0.721066014669927,0.211281295622712,0.612091531791435
MP,12,303,228,0.752475247524752,0.921265319834541,0.921887557474128,0.791023391812866,0.289478325240095,0.827472610090691
MP,13,175,86,0.491428571428572,0.842616443006938,0.842761195285127,0.868630781290828,0.155333547580898,0.474984934236286
MP,14,177,28,0.15819209039548,0.675545566033652,0.672173813412799,0.919103547459252,0.180645434912642,0.533620992501976
MP,15,627,384,0.61244019138756,0.875118076715491,0.876794205728734,0.815725737311385,0.232117472868872,0.668298079394011
MP,16,193,90,0.466321243523316,0.778268195285482,0.778814225262212,0.775728155339806,0.192355742983181,0.579335039004122
MP,17,287,141,0.491289198606272,0.91014612933295,0.911315937887966,0.909963081706014,0.149272002347979,0.466104700375446
MP,18,432,230,0.532407407407407,0.901948090038083,0.903332286662651,0.888570813603099,0.165606420245448,0.5031924618743
MP,19,323,172,0.532507739938081,0.854340229869587,0.856380875392742,0.817476513168027,0.196421938838919,0.583236574485018
ME,1,112,22,0.196428571428571,0.379349309363493,0.36393020362185,0.714646464646465,0.192786800787531,0.576392282479251
ME,2,280,21,0.075,0.352545471617468,0.328353136995473,0.830299687442545,0.166644338511327,0.522893565883311
ME,3,146,39,0.267123287671233,0.627640986501488,0.62324895303754,0.780254013898874,0.209441774848214,0.610932278758352
ME,4,146,25,0.171232876712329,0.270445997467497,0.247962537963492,0.625454545454546,0.17746156761626,0.544014827164486
ME,5,228,8,0.0350877192982456,0.14653932334428,0.124036019926888,0.817045454545455,0.151790953770706,0.492171021493367
ME,6,276,5,0.0181159420289855,0.0694705677464298,0.0515890318315879,0.677490774907749,0.137079052486103,0.461045952557152
ME,7,561,257,0.458110516934046,0.622320050323158,0.620972766360571,0.643124104034405,0.244462408480034,0.681910863644571
ME,8,320,157,0.490625,0.546521562334421,0.541130396020143,0.558047751162518,0.264417335162855,0.723950376386753
ME,9,288,82,0.284722222222222,0.534064545668899,0.52935826281461,0.727563343594601,0.2044166940149,0.59974613135828
ME,10,677,358,0.528803545051699,0.60951279599075,0.608138661313121,0.588982679812963,0.257208182959388,0.707888597753586
ME,11,1193,375,0.314333612740989,0.350259612236911,0.347362528150315,0.516050529747351,0.240413121793744,0.673743211045539
ME,12,303,228,0.752475247524752,0.715818859221255,0.712319380844884,0.417017543859649,0.417563323428875,1.06896150553309
ME,13,175,86,0.491428571428572,0.63835468867811,0.635106217128379,0.644107656127515,0.243917720331617,0.680782711196926
ME,14,177,28,0.15819209039548,0.292554678123871,0.286073954966818,0.601629913710451,0.213248192751331,0.618429035261019
ME,15,627,384,0.61244019138756,0.669255585186163,0.668268768602494,0.564021776406036,0.306593211987604,0.814328067679534
ME,16,193,90,0.466321243523316,0.640295909123075,0.635298741138855,0.651887810140237,0.238586889392587,0.669965941752016
ME,17,287,141,0.491289198606272,0.609694672081817,0.607521837043275,0.603711260079666,0.246505942102176,0.686154412286429
ME,18,432,230,0.532407407407407,0.594957228523913,0.592931432370413,0.557942315970728,0.257363782829601,0.708027864779214
ME,19,323,172,0.532507739938081,0.681281213672649,0.679864427906067,0.623556137378716,0.260579696829517,0.715097524324688
ME2,1,112,22,0.196428571428571,0.379349309363493,0.36393020362185,0.714646464646465,0.183569579712751,0.556390065095047
ME2,2,280,21,0.075,0.352545471617468,0.328353136995473,0.830299687442545,0.152049583443308,0.491217646319116
ME2,3,146,39,0.267123287671233,0.592728866204126,0.587895332024522,0.758686796069974,0.213236311247373,0.618463225213837
ME2,4,146,25,0.171232876712329,0.270445997467497,0.247962537963492,0.625454545454546,0.176034022621856,0.540553297450169
ME2,5,228,8,0.0350877192982456,0.14653932334428,0.124036019926888,0.817045454545455,0.159084462189042,0.507089926748376
ME2,6,276,5,0.0181159420289855,0.0694705677464298,0.0515890318315879,0.677490774907749,0.255200249068403,0.703779103596697
ME2,7,561,257,0.458110516934046,0.608768030775381,0.607286544308784,0.639194654925251,0.242397199910401,0.677729002997382
ME2,8,320,157,0.490625,0.544987720680913,0.539593084955209,0.556484701652925,0.261696575561297,0.718413787636317
ME2,9,288,82,0.284722222222222,0.534064545668899,0.52935826281461,0.727563343594601,0.201808516016474,0.593963796140732
ME2,10,677,358,0.528803545051699,0.59895132208291,0.597612574683803,0.582476664156495,0.250047740661317,0.69321579199226
ME2,11,1193,375,0.314333612740989,0.366183968440452,0.36262451252156,0.549152404237979,0.235215186762963,0.662821849896469
ME2,12,303,228,0.752475247524752,0.715818859221255,0.712319380844884,0.417017543859649,0.411232571621958,1.05284733104471
ME2,13,175,86,0.491428571428572,0.63835468867811,0.635106217128379,0.644107656127515,0.253596753747295,0.700660665333117
ME2,14,177,28,0.15819209039548,0.292554678123871,0.286073954966818,0.601629913710451,0.198014622808435,0.586494955073259
ME2,15,627,384,0.61244019138756,0.643535334097312,0.642544470232198,0.516128686556927,0.318920572418543,0.843424357575756
ME2,16,193,90,0.466321243523316,0.640295909123075,0.635298741138855,0.651887810140237,0.235892225738357,0.664500131897062
ME2,17,287,141,0.491289198606272,0.609694672081817,0.607521837043275,0.603711260079666,0.245813966269489,0.684869989547541
ME2,18,432,230,0.532407407407407,0.594957228523913,0.592931432370413,0.557942315970728,0.287678837284035,0.774077980700017
ME2,19,323,172,0.532507739938081,0.681281213672649,0.679864427906067,0.623556137378716,0.263409562057641,0.721571108588233
ME2P,1,112,22,0.196428571428571,0.752996257301478,0.749202994916252,0.865151515151515,0.161541673142473,0.49161028823997
ME2P,2,280,21,0.075,0.666659952205726,0.660386292803607,0.927376355947785,0.150270642607197,0.467670982424967
ME2P,3,146,39,0.267123287671233,0.622881023257221,0.614581112906162,0.807093218308172,0.207367586984456,0.602715451585085
ME2P,4,146,25,0.171232876712329,0.532762714618409,0.523512898632984,0.778512396694215,0.183698207685297,0.542369070685355
ME2P,5,228,8,0.0350877192982456,0.290435885707201,0.249393359151861,0.810795454545455,0.19548229063767,0.570186587221095
ME2P,6,276,5,0.0181159420289855,0.0513741718257847,0.0378932917121087,0.718819188191882,0.300112196098398,0.837464576427402
ME2P,7,561,257,0.458110516934046,0.824272683319227,0.823885198520339,0.826336268687282,0.180358707485567,0.541597375566398
ME2P,8,320,157,0.490625,0.821353721207088,0.820771672883425,0.796061115235825,0.19282359497936,0.571474926629535
ME2P,9,288,82,0.284722222222222,0.653870467832315,0.646222285313129,0.801326071513142,0.16689965378551,0.510802902360404
ME2P,10,677,358,0.528803545051699,0.923308298384018,0.923155506343106,0.919651144463319,0.151938579085416,0.47699991505578
ME2P,11,1193,375,0.314333612740989,0.570698740477813,0.570172599607694,0.718515077424613,0.211265629568313,0.61078151580899
ME2P,12,303,228,0.752475247524752,0.915198086141645,0.914938848476613,0.769181286549708,0.382770253422785,1.06193699043687
ME2P,13,175,86,0.491428571428572,0.857165593406358,0.855853381686792,0.880324013587667,0.166052712143563,0.500878296526535
ME2P,14,177,28,0.15819209039548,0.667655037442792,0.658961247044379,0.910834132310642,0.166127922655634,0.503963246965968
ME2P,15,627,384,0.61244019138756,0.870571143068967,0.870332535537071,0.79948988340192,0.264922605729802,0.742278413340902
ME2P,16,193,90,0.466321243523316,0.795718420039373,0.794372302870651,0.795145631067961,0.185796865304663,0.553960042003598
ME2P,17,287,141,0.491289198606272,0.916301737720253,0.915968902822217,0.911056057514816,0.157064281324793,0.488767692451282
ME2P,18,432,230,0.532407407407407,0.898819265108172,0.899021877903594,0.884631941455015,0.209241184951758,0.600022989102481
ME2P,19,323,172,0.532507739938081,0.86368951198873,0.863239233564072,0.82904666563992,0.205928574153699,0.600069828341639
XEN,1,112,22,0.196428571428571,0.379349309363493,0.36393020362185,0.714646464646465,0.180013533566581,0.548308082559695
XEN,2,280,21,0.075,0.352545471617468,0.328353136995473,0.830299687442545,0.146604406726901,0.478832858527207
XEN,3,146,39,0.267123287671233,0.608341395388092,0.603700450737734,0.766115504433262,0.209636103664568,0.611059415718672
XEN,4,146,25,0.171232876712329,0.270445997467497,0.247962537963492,0.625454545454546,0.172863271632785,0.53356177730352
XEN,5,228,8,0.0350877192982456,0.14653932334428,0.124036019926888,0.817045454545455,0.155197242576162,0.498983873523244
XEN,6,276,5,0.0181159420289855,0.0245403635228283,0.0164522850178748,0.322509225092251,0.3865946149207,0.973678873985263
XEN,7,561,257,0.458110516934046,0.615463328162415,0.614089442667294,0.64125537579357,0.243397273885679,0.679757875265511
XEN,8,320,157,0.490625,0.545217985286684,0.539825624255674,0.556680082841624,0.263199634793466,0.721550746443862
XEN,9,288,82,0.284722222222222,0.534064545668899,0.52935826281461,0.727563343594601,0.199492783343372,0.588842921026569
XEN,10,677,358,0.528803545051699,0.612424219160689,0.611258990720285,0.587117563615348,0.254623158520177,0.702521648108983
XEN,11,1193,375,0.314333612740989,0.339056410526715,0.33633357537088,0.525524042379788,0.242084745358422,0.677211172926542
XEN,12,303,228,0.752475247524752,0.715818859221255,0.712319380844884,0.417017543859649,0.455190485914449,1.18572469777353
XEN,13,175,86,0.491428571428572,0.63835468867811,0.635106217128379,0.644107656127515,0.247376397384194,0.688123429148356
XEN,14,177,28,0.15819209039548,0.292554678123871,0.286073954966818,0.601629913710451,0.204778297337949,0.59938540540122
XEN,15,627,384,0.61244019138756,0.640573273653636,0.639564306301154,0.503707990397805,0.321784362477602,0.852885974116001
XEN,16,193,90,0.466321243523316,0.640295909123075,0.635298741138855,0.651887810140237,0.23566125054225,0.664001510506023
XEN,17,287,141,0.491289198606272,0.609694672081817,0.607521837043275,0.603711260079666,0.245511354041845,0.684381228360053
XEN,18,432,230,0.532407407407407,0.594957228523913,0.592931432370413,0.557942315970728,0.282570706705435,0.76356394534403
XEN,19,323,172,0.532507739938081,0.681281213672649,0.679864427906067,0.623556137378716,0.265186839668673,0.725948019846375
