| Version | MeanDelta | Worse | Better | Tied |
| --- | --- | --- | --- | --- |
| v3 | 0.02028454 |  9 | 10 | 0 |
| weight_only | 0.02027301 |  9 | 10 | 0 |
| corrected_L | 0.01333777 | 10 |  9 | 0 | 
 | Model | LogLoss | AP | Brier | ROC |
| --- | --- | --- | --- | --- |
| M0 | 0.666237 | 0.361929 | 0.236549 | 0.500000 |
| MP | 0.572460 | 0.702705 | 0.193573 | 0.823947 |
| MP_cal | 0.570458 | 0.702705 | 0.193616 | 0.823947 |
| ME | 0.660872 | 0.492152 | 0.233187 | 0.639097 |
| ME2 | 0.669232 | 0.491365 | 0.237095 | 0.638264 |
| ME_P | 0.573173 | 0.710664 | 0.194132 | 0.828226 |
| ME2P | 0.586511 | 0.712194 | 0.199676 | 0.828921 |
| XEN | 0.682707 | 0.488817 | 0.242763 | 0.618593 | 
