Category,Pathway,N,PositiveMean,NegativeMean,PositiveSEM,NegativeSEM
normal_tissue,BER,32,0.160746242724036,0,0.0125955379692235,0
normal_tissue,NER,32,0.0619719959818182,0.000276548672566372,0.00870416408560837,0.000276548672566372
normal_tissue,MMR,32,0.0521547362913379,0,0.00784275604118201,0
normal_tissue,FA,32,0.0441035190884769,0,0.0132584484442576,0
normal_tissue,HR,32,0.29056680445555,0.0291548384000303,0.0177410660843472,0.00721064660902104
normal_tissue,AEJ,32,0.0370316978298857,0.00670261313007603,0.00798274381340114,0.00235699853756594
normal_tissue,NHEJ,32,0.277417360990568,0.0126935263421081,0.020118753205448,0.00400920076800192
cancer_tissue,BER,12,0.15848190508348,0,0.00820533985842796,0
cancer_tissue,NER,12,0.0838066113369475,0.00137741046831956,0.00946594440674221,0.00137741046831956
cancer_tissue,MMR,12,0.0698188099227071,0,0.00366832606500883,0
cancer_tissue,FA,12,0.0445477768617721,0,0.00469231908535955,0
cancer_tissue,HR,12,0.312660735276743,0.0295667028001581,0.0292803889237563,0.00505628895219395
cancer_tissue,AEJ,12,0.0651855554589435,0.0197849951235296,0.0104372558972962,0.0041905373131847
cancer_tissue,NHEJ,12,0.282312389277089,0.0332760471686894,0.00902192650585275,0.00481566544459651
cancer_cells,BER,35,0.177044518970037,0.000159616919393456,0.00790408132258074,0.000159616919393456
cancer_cells,NER,35,0.114317334468344,0.0055957100291545,0.00296912580261977,0.00086105606455878
cancer_cells,MMR,35,0.0772181965009558,0,0.00363264537381721,0
cancer_cells,FA,35,0.0647325660411604,0,0.00509181704267164,0
cancer_cells,HR,35,0.366739895554918,0.0503445344991723,0.0108962408280151,0.00218032742483858
cancer_cells,AEJ,35,0.0709736514790965,0.0294065267182439,0.00268010006154675,0.00229008607319228
cancer_cells,NHEJ,35,0.243318063035566,0.0345478791413301,0.00570701127896396,0.0029993996947524
normal_cells,BER,19,0.165144081802968,0,0.00641144315033271,0
normal_cells,NER,19,0.118595386193784,0.00539105461198776,0.00337274006823945,0.000984666431338862
normal_cells,MMR,19,0.0810779499729682,0,0.0037739399495695,0
normal_cells,FA,19,0.0711245502668263,0,0.00677729261265673,0
normal_cells,HR,19,0.385606247879518,0.0483055535955537,0.0102879719944966,0.00346580817033377
normal_cells,AEJ,19,0.0753026359054501,0.0428835358377322,0.00236773943261529,0.00150607282638272
normal_cells,NHEJ,19,0.240411398770991,0.027463534036853,0.00499327202811795,0.00260095202488637
