Input,PXD,SampleGroup,RegulatorBaseAccession,GeneSymbol,Value,DetectedSampleCount,QuantSampleCount
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,O15379,HDAC3,0,6,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,P56524,HDAC4,0,13,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q5SQI0,ATAT1,0,106,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q8N6T7,SIRT6,0,124,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q8WUI4,HDAC7,0,27,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q92793,CREBBP,0,64,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q9H7Z6,KAT8,0,185,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q9H8M2,BRD9,0,19,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q9H9T3,ELP3,0,192,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q9NTG7,SIRT3,0,100,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q9NXA8,SIRT5,0,108,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q9UBN7,HDAC6,0,81,401
regulator_reference_percentiles_30.csv,PXD028488,HEK293T,Q9Y232,CDYL,0,154,401
regulator_reference_percentiles_30.csv,PXD028488,TALL-104,Q5JTZ9,AARS2,0,1,3
regulator_reference_percentiles_30.csv,PXD028488,TALL-104,Q8IXJ6,SIRT2,0,1,3
regulator_reference_percentiles_30.csv,PXD028488,TALL-104,Q9H7Z6,KAT8,0,1,3
regulator_reference_percentiles_30.csv,PXD028488,TALL-104,Q9Y232,CDYL,0,1,3
regulator_reference_percentiles_30.csv,PXD046800,adjacent skin,Q92769,HDAC2,0,1,4
regulator_reference_percentiles_30.csv,PXD046800,hypertrophic scar,Q92769,HDAC2,0,1,4
regulator_reference_percentiles_30.csv,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q92830,KAT2A,0,3,9
regulator_reference_percentiles_30.csv,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9BY41,HDAC8,0,3,9
regulator_reference_percentiles_30.csv,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9H7Z6,KAT8,0,2,9
regulator_reference_percentiles_30.csv,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q9NTG7,SIRT3,0,3,9
