Sheet,Proteins,Pathway,Positive,Negative
TumorTissues,192,BER,27,0
TumorTissues,192,NER,23,2
TumorTissues,192,MMR,13,0
TumorTissues,192,FA,11,0
TumorTissues,192,HR,74,8
TumorTissues,192,AEJ,16,6
TumorTissues,192,NHEJ,46,8
NonTumorTissues,183,BER,28,0
NonTumorTissues,183,NER,20,1
NonTumorTissues,183,MMR,11,0
NonTumorTissues,183,FA,10,0
NonTumorTissues,183,HR,71,8
NonTumorTissues,183,AEJ,14,6
NonTumorTissues,183,NHEJ,47,7
CancerCellLines,381,BER,55,1
CancerCellLines,381,NER,48,2
CancerCellLines,381,MMR,22,0
CancerCellLines,381,FA,36,0
CancerCellLines,381,HR,152,17
CancerCellLines,381,AEJ,27,13
CancerCellLines,381,NHEJ,73,14
NormalCellLines,292,BER,44,0
NormalCellLines,292,NER,36,2
NormalCellLines,292,MMR,19,0
NormalCellLines,292,FA,28,0
NormalCellLines,292,HR,124,13
NormalCellLines,292,AEJ,22,13
NormalCellLines,292,NHEJ,60,13
