Plot,Category,Dataset,Term,Comparison,Test,AnalysisScale,N,Df,ResidualDf,FStatistic,PValue,QValueBH,Significance,AdjustmentFamily,Scope,Pathway,NPoint,Denominator,NCategory
Figure 1 source-sample category comparison,All (four categories),Both (Two-way ANOVA),CategoryFactor,Four-category main effect (controlling for modality),two-way ANOVA,DDR fraction percentage,210,3,202,142.807834395086,1.12450145454901e-49,4.49800581819605e-49,****,Figure 1 four-category omnibus ANOVA tests,baseline30,,,,
Figure 1 source-sample category comparison,All (four categories),Lactylome (Kla),CategoryFactor,Four-category omnibus test within Lactylome (Kla),one-way ANOVA,DDR fraction percentage,92,3,88,46.3989274410966,4.4671433172295e-18,4.4671433172295e-18,****,Figure 1 four-category omnibus ANOVA tests,baseline30,,,,
Figure 1 source-sample category comparison,All (four categories),Whole proteome,CategoryFactor,Four-category omnibus test within Whole proteome,one-way ANOVA,DDR fraction percentage,118,3,114,209.883255072123,2.97406068537657e-46,5.94812137075314e-46,****,Figure 1 four-category omnibus ANOVA tests,baseline30,,,,
Figure 1 source-sample category comparison,All (four categories),Pooled observations,CategoryFactor,Four-category omnibus test pooled across modalities,one-way ANOVA,DDR fraction percentage,210,3,206,73.4532055407222,2.40135243387171e-32,3.20180324516228e-32,****,Figure 1 four-category omnibus ANOVA tests,baseline30,,,,
DDR pathway source-sample panel: BER,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,1.0744767413967,0.361328847995073,0.392024477160992,ns,Seven pathways times three two-way ANOVA terms,baseline30,BER,92,,
DDR pathway source-sample panel: BER,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,1,176,910.870843433404,1.72947150132902e-71,1.81594507639548e-70,****,Seven pathways times three two-way ANOVA terms,baseline30,BER,92,,
DDR pathway source-sample panel: BER,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,1.04659265659006,0.37335664491523,0.392024477160992,ns,Seven pathways times three two-way ANOVA terms,baseline30,BER,92,,
DDR pathway source-sample panel: NER,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,22.6573084129597,1.88117263462194e-12,4.38940281411786e-12,****,Seven pathways times three two-way ANOVA terms,baseline30,NER,92,,
DDR pathway source-sample panel: NER,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,1,176,761.988201079896,7.49679052938435e-66,3.93581502792678e-65,****,Seven pathways times three two-way ANOVA terms,baseline30,NER,92,,
DDR pathway source-sample panel: NER,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,15.4765774428131,5.5905994514254e-09,1.17402588479933e-08,****,Seven pathways times three two-way ANOVA terms,baseline30,NER,92,,
DDR pathway source-sample panel: MMR,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,5.14547003442575,0.00196021488214798,0.00294032232322197,**,Seven pathways times three two-way ANOVA terms,baseline30,MMR,92,,
DDR pathway source-sample panel: MMR,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,1,176,471.726113461432,1.11990955947658e-51,4.70362014980162e-51,****,Seven pathways times three two-way ANOVA terms,baseline30,MMR,92,,
DDR pathway source-sample panel: MMR,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,5.14547003442577,0.00196021488214793,0.00294032232322197,**,Seven pathways times three two-way ANOVA terms,baseline30,MMR,92,,
DDR pathway source-sample panel: FA,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,1.504369914875,0.215088452847972,0.265697500576907,ns,Seven pathways times three two-way ANOVA terms,baseline30,FA,92,,
DDR pathway source-sample panel: FA,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,1,176,123.147166435098,4.95587946716033e-22,1.73455781350612e-21,****,Seven pathways times three two-way ANOVA terms,baseline30,FA,92,,
DDR pathway source-sample panel: FA,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,1.50436991487502,0.215088452847966,0.265697500576907,ns,Seven pathways times three two-way ANOVA terms,baseline30,FA,92,,
DDR pathway source-sample panel: HR,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,12.5320145600975,1.8248700489761e-07,3.48384282077255e-07,****,Seven pathways times three two-way ANOVA terms,baseline30,HR,92,,
DDR pathway source-sample panel: HR,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,1,176,1356.2174565966,1.26376218771979e-84,2.65390059421156e-83,****,Seven pathways times three two-way ANOVA terms,baseline30,HR,92,,
DDR pathway source-sample panel: HR,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,5.29618050988341,0.00161150528754291,0.00282013425320009,**,Seven pathways times three two-way ANOVA terms,baseline30,HR,92,,
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,29.5185415496674,1.6492231360613e-15,4.32921073216092e-15,****,Seven pathways times three two-way ANOVA terms,baseline30,AEJ,92,,
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,1,176,120.989023166648,9.41983891181743e-22,2.82595167354523e-21,****,Seven pathways times three two-way ANOVA terms,baseline30,AEJ,92,,
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,1.11517813886029,0.344383498994555,0.392024477160992,ns,Seven pathways times three two-way ANOVA terms,baseline30,AEJ,92,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,0.597279478030257,0.61758747350296,0.61758747350296,ns,Seven pathways times three two-way ANOVA terms,baseline30,NHEJ,92,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,1,176,896.171782034108,5.7395184939338e-71,4.01766294575366e-70,****,Seven pathways times three two-way ANOVA terms,baseline30,NHEJ,92,,
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,184,3,176,3.66170512012753,0.0135509818983748,0.0189713746577247,*,Seven pathways times three two-way ANOVA terms,baseline30,NHEJ,92,,
Figure 1 MKI67/ACTB,,,CategoryFactor,Four-category omnibus test,one-way ANOVA,log10(MKI67 / denominator),44,3,40,4.03349555085081,0.0134658015694009,0.0134658015694009,*,MKI67 ratio: three omnibus one-way ANOVA tests,baseline30,,,ACTB,4
Figure 1 MKI67/TUBB,,,CategoryFactor,Four-category omnibus test,one-way ANOVA,log10(MKI67 / denominator),51,3,47,18.7640865473875,3.83657468964375e-08,1.15097240689312e-07,****,MKI67 ratio: three omnibus one-way ANOVA tests,baseline30,,,TUBB,4
