Workbook,Sheet,Rows,Columns,NA_cells,Exact_duplicate_rows,Formula_cells
Table_14_new_ESCC_Kla_DDR_proteins.xlsx,14_New_Kla_DDR_Proteins,14,12,0,0,0
Table_S1_Kla_Data.xlsx,Group_Summary,31,28,0,0,0
Table_S1_Kla_Data.xlsx,Kla_Protein_Membership,37785,4,0,0,0
Table_S1_Kla_Data.xlsx,Kla_DDR_Membership,3460,4,0,0,0
Table_S2_Reference_Data.xlsx,Reference_Group_Summary,31,13,0,0,0
Table_S2_Reference_Data.xlsx,Reference_Protein_Membership,188218,7,1141,0,0
Table_S2_Reference_Data.xlsx,Reference_DDR_Membership,10217,7,0,0,0
Table_S3_Human_DDR_GO_Annotations.xlsx,Human_DDR_GO_Annotations,5111,14,6844,0,0
Table_S4_Venn_Membership.xlsx,AllKla_Members,5814,11,0,0,0
Table_S4_Venn_Membership.xlsx,KlaDDR_Members,401,11,0,0,0
Table_S4_Venn_Membership.xlsx,Reference_Members,24397,11,0,0,0
Table_S4_Venn_Membership.xlsx,ReferenceDDR_Members,836,11,0,0,0
Table_S4_Venn_Membership.xlsx,Set_Counts,16,3,0,0,0
Table_S4_Venn_Membership.xlsx,Region_Counts,60,3,0,0,0
Table_S5_Pathway_Protein_Ranking.xlsx,NonTumorTissues,183,12,0,0,0
Table_S5_Pathway_Protein_Ranking.xlsx,TumorTissues,192,12,0,0,0
Table_S5_Pathway_Protein_Ranking.xlsx,CancerCellLines,381,12,0,0,0
Table_S5_Pathway_Protein_Ranking.xlsx,NormalCellLines,292,12,0,0,0
Table_S6_Lactylation_Regulators.xlsx,Regulator_Annotations,50,6,12,0,0
Table_S6_Lactylation_Regulators.xlsx,Regulator_ID_Mapping,48,4,0,0,0
