"TaskID"	"GSE"	"ResolutionState"	"RowCount"
"GEO_GSE103520"	"GSE103520"	"resolved"	"12"
"GEO_GSE114691"	"GSE114691"	"resolved"	"23"
"GEO_GSE119834"	"GSE119834"	"resolved"	"18"
"GEO_GSE132714"	"GSE132714"	"resolved"	"36"
"GEO_GSE163787"	"GSE163787"	"resolved"	"2"
"GEO_GSE181540"	"GSE181540"	"resolved"	"12"
"GEO_GSE203529"	"GSE203529"	"resolved"	"2"
"GEO_GSE235595"	"GSE235595"	"resolved"	"6"
"GEO_GSE236746"	"GSE236746"	"resolved"	"6"
"GEO_GSE266884"	"GSE266884"	"resolved"	"2"
"GEO_GSE269418"	"GSE269418"	"resolved"	"10"
"GEO_GSE275256"	"GSE275256"	"resolved"	"3"
"GEO_GSE40181"	"GSE40181"	"resolved"	"5"
