TissueKey,DisplayName,PXD,FileName,SizeBytes,SourceURL,ReferenceScope
lung,健康肺组织,PXD010154,P013163_Lung_fullproteome_RNAseq_txt.zip,1055856252,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013163_Lung_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
placenta,健康胎盘组织,PXD010154,P013680_Placenta_fullproteome_RNAseq_txt.zip,807536797,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013680_Placenta_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
liver,健康肝组织,PXD010154,P012502_Liver_fullproteome_RNAseq_txt.zip,878978245,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P012502_Liver_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
stomach,健康胃组织,PXD010154,P013128_Stomach_fullproteome_RNAseq_txt.zip,819782241,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013128_Stomach_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
brain,健康脑组织,PXD010154,P013129_Brain_fullproteome_RNAseq_txt.zip,1007187835,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013129_Brain_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
urinary_bladder,健康膀胱组织,PXD010154,P013196_UrinaryBladder_fullproteome_RNAseq_txt.zip,715975568,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013196_UrinaryBladder_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
esophagus,健康食管组织,PXD010154,P013198_Esophagus_fullproteome_RNAseq_txt.zip,759548928,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013198_Esophagus_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
heart,健康心脏组织,PXD010154,P013201_Heart_fullproteome_RNAseq_txt.zip,909050778,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013201_Heart_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
endometrium,健康子宫内膜,PXD010154,P013386_Endometrium_fullproteome_RNAseq_txt.zip,828349118,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013386_Endometrium_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
colon,健康结肠组织,PXD010154,P013387_Colon_fullproteome_RNAseq_txt.zip,829082596,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013387_Colon_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
kidney,健康肾组织,PXD010154,P013560_Kidney_fullproteome_RNAseq_txt.zip,853967818,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013560_Kidney_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
prostate,健康前列腺组织,PXD010154,P013675_Prostate_fullproteome_RNAseq_txt.zip,810347788,https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/P013675_Prostate_fullproteome_RNAseq_txt.zip,29种健康人组织深度蛋白图谱
