UniProt,Term,AnnotationID,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation,Ensembl,Entrez,Symbol,Experimental,CommonMatrix
A0A024QZ64,GO:0006094,UniProtKB:A0A024QZ64!54991,involved_in,GO:0006094,IEA,ECO:0000265,GO_REF:0000107,9606,Ensembl,20260724,A0A024QZ64,FALSE,TRUE,ENSG00000109107,230,ALDOC,FALSE,TRUE
A0A024QZ64,GO:0006096,UniProtKB:A0A024QZ64!54992,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,A0A024QZ64,FALSE,TRUE,ENSG00000109107,230,ALDOC,FALSE,TRUE
A0A024R0Y5,GO:0006096,UniProtKB:A0A024R0Y5!448160186,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKM,FALSE,FALSE,ENSG00000152556,5213,PFKM,FALSE,TRUE
A0A024R0Y5,GO:0006096,UniProtKB:A0A024R0Y5!448160191,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKM,FALSE,TRUE,ENSG00000152556,5213,PFKM,FALSE,TRUE
A0A024R4F1,GO:0006094,UniProtKB:A0A024R4F1!239033555,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000117,9606,UniProt,20260727,HEL-S-17,FALSE,TRUE,ENSG00000074800,2023,ENO1,FALSE,TRUE
A0A024R4F1,GO:0006096,UniProtKB:A0A024R4F1!239033556,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HEL-S-17,FALSE,TRUE,ENSG00000074800,2023,ENO1,FALSE,TRUE
A0A024R4K3,GO:0006094,UniProtKB:A0A024R4K3!149411153,involved_in,GO:0006094,IEA,ECO:0000265,GO_REF:0000107,9606,Ensembl,20260724,A0A024R4K3,FALSE,TRUE,ENSG00000146701,4191,MDH2,FALSE,TRUE
A0A024R4K3,GO:0006099,UniProtKB:A0A024R4K3!149411154,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,A0A024R4K3,FALSE,TRUE,ENSG00000146701,4191,MDH2,FALSE,TRUE
A0A024R713,GO:0006099,UniProtKB:A0A024R713!328658536,involved_in,GO:0006099,IEA,ECO:0000265,GO_REF:0000107,9606,Ensembl,20260724,A0A024R713,FALSE,TRUE,ENSG00000091140,1738,DLD,FALSE,TRUE
A0A024R782,GO:0006096,UniProtKB:A0A024R782!119540094,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,A0A024R782,FALSE,TRUE,ENSG00000172331,669,BPGM,FALSE,TRUE
A0A087WWT1,GO:0006099,UniProtKB:A0A087WWT1!119788291,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,SDHB,FALSE,TRUE,ENSG00000117118,,SDHB,FALSE,TRUE
A0A087WXX8,GO:0006099,UniProtKB:A0A087WXX8!448407381,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,SDHB,FALSE,TRUE,ENSG00000117118,,SDHB,FALSE,TRUE
A0A087WZN1,GO:0006099,UniProtKB:A0A087WZN1!239283157,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,IDH3B,FALSE,TRUE,ENSG00000101365,3420,IDH3B,FALSE,TRUE
A0A087X2E5,GO:0006099,UniProtKB:A0A087X2E5!149661398,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,IDH3B,FALSE,TRUE,ENSG00000101365,3420,IDH3B,FALSE,TRUE
A0A0A0MRZ0,GO:0006096,UniProtKB:A0A0A0MRZ0!209617613,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,5315,PKM,FALSE,TRUE
A0A0A0MRZ0,GO:0006096,UniProtKB:A0A0A0MRZ0!209617615,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,5315,PKM,FALSE,TRUE
A0A0C4DGI3,GO:0006099,UniProtKB:A0A0C4DGI3!359141501,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,CS,FALSE,TRUE,ENSG00000062485,,CS,FALSE,TRUE
A0A0J9YX90,GO:0006094,UniProtKB:A0A0J9YX90!120543765,involved_in,GO:0006094,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,GPI,FALSE,TRUE,ENSG00000282019,,GPI,FALSE,FALSE
A0A0J9YX90,GO:0006096,UniProtKB:A0A0J9YX90!120543766,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,GPI,FALSE,TRUE,ENSG00000282019,,GPI,FALSE,FALSE
A0A0J9YXH9,GO:0006094,UniProtKB:A0A0J9YXH9!419293393,involved_in,GO:0006094,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,GPI,FALSE,TRUE,ENSG00000282019,,GPI,FALSE,FALSE
