PXD,DatasetClass,AnalysisEligibility,IndependentStudyUnit,CanonicalLactylomePXD,DecisionReason
PXD014870,excluded_teacher_qc,excluded_teacher_qc,cyclic_immonium_widespread_lactylation,PXD014870,Teacher-directed exclusion: experiment considered unsuccessful and captured only 193 Kla proteins
PXD028488,usable_global_lactylome,eligible,cyclic_immonium_widespread_lactylation,PXD028488,Human PEAKS directories are usable after excluding mouse BV2 and RAW samples
PXD028737,usable_global_lactylome,eligible,hmc3_hypoxia_lactylome,PXD028737,Independent HMC3 global lactylome with MaxQuant processed results
PXD033146,usable_global_lactylome,eligible,rotator_cuff_lactylome,PXD033146,Same study provides TPLa lactylome and TQ conventional proteome
PXD033454,usable_method_specific,method_specific_only,ynlac_chemical_reporter,PXD033454,Bioorthogonal YnLac reporter is not directly equivalent to endogenous antibody-enriched Kla
PXD036307,usable_global_lactylome,eligible,normal_human_lung_lactylome,PXD036307,Normal human lung global lactylome with usable MaxQuant results
PXD037371,usable_global_lactylome,eligible,hcc_lactylome,PXD037371,Normal liver; nonmetastatic HCC; and metastatic HCC lactylome
PXD037530,usable_global_lactylome,eligible,cirrhosis_msc_lactylome,PXD037530,Same study provides TPLa lactylome and TQ conventional proteome
PXD038880,hold,excluded_hold,nbs1_ags_cisplatin_resistance,PXD050906,iProX record is incomplete and mirrors PXD050906; teacher requested hold
PXD045967,processed_result_unavailable,pending_processed_result,hela_global_lactylome,PXD045967,Global HeLa lactylome is valid but repository currently exposes raw files and mqpar only
PXD046344,usable_global_lactylome,eligible,slc4a7_luad_lactylome,PXD046344,Same study provides SEARCH_lactylome and conventional SEARCH results
PXD046800,usable_global_lactylome,eligible,hypertrophic_scar_lactylome,PXD046800,Same study provides lactylome and ordinary protein tables
PXD047535,duplicate_under_review,pending_duplicate_resolution,oral_carcinoma_lactylome,PXD047535,Potential mirror of PXD047673; checksum comparison required
PXD047673,duplicate_under_review,pending_duplicate_resolution,oral_carcinoma_lactylome,PXD047535,Potential mirror of PXD047535; do not count independently
PXD048995,usable_method_specific,method_specific_only,kyse30_histone_lactylome,PXD048995,Histone-focused SILAC Kla experiment; repository processed site table unavailable
PXD050147,usable_global_lactylome,eligible,sirt_hepg2_lactylome,PXD050147,Global HepG2 WT; SIRT1 KO; and SIRT3 KO Kla site results are available
PXD050470,usable_global_lactylome,eligible,human_hippocampus_lactylome,PXD050470,Author supplementary tables provide usable human hippocampus Kla sites
PXD050906,hold,excluded_hold,nbs1_ags_cisplatin_resistance,PXD050906,PRIDE mirror of PXD038880; teacher requested hold
PXD052772,same_study_reference_component,reference_only,ythdc1_achn_hypoxia,PXD053029,Conventional ACHN proteome component for PXD053029
PXD053029,usable_global_lactylome,eligible,ythdc1_achn_hypoxia,PXD053029,Global ACHN lactylome component paired with PXD052772 conventional proteome
PXD053474,usable_global_lactylome,eligible,hct116_subcellular_lactylome,PXD053474,Four DDA and DIA search suites plus author supplementary table are available
PXD054919,usable_global_lactylome,eligible,hat1_rpa1_lung_adenocarcinoma,PXD054919,Repository archive is invalid but author supplementary Kla table is usable
PXD055230,excluded_teacher_virus_study,excluded_teacher,herpesvirus_lactylation,PXD055230,Teacher-directed exclusion because herpesvirus infection perturbs lactate biology and the study dominates the normal-cell union
PXD057709,excluded_teacher_virus_study,excluded_teacher,herpesvirus_lactylation,PXD055230,Teacher-directed exclusion of the same herpesvirus publication family as PXD055230
PXD058173,targeted_not_global,excluded_targeted,ythdc1_achn_hypoxia,PXD053029,YTHDC1 K82 PRM validation is targeted rather than a global lactylome
PXD058534,usable_global_lactylome,eligible,hk2_pretreated_lactylome,PXD058534,Global pretreated HK-2 lactylome with compact MaxQuant results
PXD060185,usable_global_lactylome,eligible,breast_cancer_lactylome,PXD060185,Global lactylomes for MCF10A; MCF7; MDA-MB-468; and T-47D
PXD062720,usable_global_lactylome,eligible,bladder_cancer_lactylome,PXD062720,Same study includes ordinary proteome and Kla-enriched raw components in one processed txt archive
PXD063047,usable_global_lactylome,eligible,placenta_preeclampsia_lactylome,PXD063047,Normal pregnancy and severe preeclampsia placenta global lactylome
PXD063266,usable_global_lactylome,eligible,pc3m_lactylome,PXD063266,Global PC-3M prostate cancer cell lactylome with author site spreadsheet
PXD063945,usable_global_lactylome,eligible,escc_neoadjuvant_lactylome,PXD063945,Same study provides Lac_combined and pro_combined results
PXD064038,usable_global_lactylome,eligible,escc_lactylome,PXD064038,ESCC global lactylome with MaxQuant txt and clinical sample information
PXD064912,usable_global_lactylome,eligible,human_sperm_lactylome,PXD064912,Three human sperm samples with a checksum-validated Spectronaut result
PXD065104,targeted_not_global,excluded_targeted,stat1_k193_mechanism,PXD065104,Conventional proteome after STAT1 K193 mutation; not a global Kla discovery dataset
PXD065831,usable_global_lactylome,eligible,endometrioid_cancer_lactylome,PXD065831,Normal endometrium and three tumor grades with lactylome and proteome components
PXD066054,usable_global_lactylome,eligible,prostate_cancer_bph_lactylome,PXD066054,Same study provides DPLa lactylome and DA conventional proteome
PXD066351,usable_global_lactylome,eligible,roseburia_hct116_lactylome,PXD066351,Same study provides DPLa lactylome; DPAc acetylome; and DA conventional proteome
PXD068838,unresolved_species_component,pending_species_resolution,zcwpw2_meiosis_lactylome,PXD068838,Human and mouse study component; exact species and biological material require search-result inspection
PXD070007,usable_global_lactylome,eligible,gsc_nsc_lactylome,PXD070007,Six glioblastoma stem-cell and two neural stem-cell global lactylomes
PXD070427,unresolved_species_component,pending_species_resolution,zcwpw2_meiosis_lactylome,PXD068838,Same human and mouse study family as PXD068838; do not count independently until resolved
PXD073311,usable_global_lactylome,eligible,huvec_infection_lactylome,PXD073311,HUVEC control and Porphyromonas gingivalis infection global lactylome
PXD075014,usable_global_lactylome,eligible,ac16_hypoxia_lactylome,PXD075014,Global AC16 Kla-enrichment pdResult is distinct from the PFKP IP validation files
PXD075377,usable_global_lactylome,eligible,hcc_adjacent_lactylome,PXD075377,Paired HCC and adjacent tissue lactylome; adjacent tissue is not healthy normal
PXD077426,duplicate_mirror,excluded_duplicate,hk2_aki_ckd_lactylome,PXD078736,Repository URLs resolve to PXD078736 and represent a mirror
PXD078013,usable_global_lactylome,eligible,rko_gsk3b_lactylome,PXD078013,RKO GSK3B WT and KO global lactylome
PXD078736,usable_global_lactylome,eligible,hk2_aki_ckd_lactylome,PXD078736,HK-2 control and experimental global lactylome
