"GroupID","ReferenceKey","TeacherColor","ReviewAction","PrimaryErrorBarEligible","ProposedReplacementSource","ProposedReplacementSamples","ProposedReplacementStatus","MatrixSampleN","NumericQCPass","StableID","ConditionCaveat","AnalysisReady"
"KLA31_01","torn_tendon_nondiabetic","green","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE236746","GSM7574837;GSM7574838;GSM7574839","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Entrez","nondiabetic torn tendon, not healthy tendon",FALSE
"KLA31_02","GTEx_v8_Lung","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_03","GSE181540_HS_input","yellow","input has no RIP antibody; exclude IP/peak tables; retain annotation/paper contradiction for review",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_04","GSE181540_adjacent_NS_input","yellow","input has no RIP antibody; exclude IP/peak tables; retain annotation/paper contradiction for review",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_05","GTEx_v8_Hippocampus","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_06","GSE114691_control_placenta","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_07","GSE40181_sperm_mRNA","green","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE65683","GSM1602978;GSM1602981;GSM1602982;GSM1602983","stable-ID count matrix validated; biological eligibility review remains",4,TRUE,"Entrez","Group I birth-outcome reference; clinical eligibility and protocol review pending",FALSE
"KLA31_08","GSE132714_BPH","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_09","TCGA_LIHC_normal","unmarked","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_10","TCGA_ESCA_ESCC","unmarked","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_11","TCGA_PRAD_primary","unmarked","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_12","TCGA_LIHC_primary","unmarked","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_13","DepMap_MCF7","yellow","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE157383","GSM4763907;GSM4763908;GSM4763909","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Entrez","DMSO 7 days; external baseline; concentration not specified in GEO",FALSE
"KLA31_14","DepMap_HCT116","yellow","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE253699","GSM8026675;GSM8026676;GSM8026677","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Ensembl","WT control; IMEM 10% FBS; not coculture; culture independence documentation pending",FALSE
"KLA31_15","DepMap_HCT116","yellow","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE253699","GSM8026675;GSM8026676;GSM8026677","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Ensembl","WT control; IMEM 10% FBS; not coculture; culture independence documentation pending",FALSE
"KLA31_16","DepMap_HCT116","yellow","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE253699","GSM8026675;GSM8026676;GSM8026677","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Ensembl","WT control; IMEM 10% FBS; not coculture; culture independence documentation pending",FALSE
"KLA31_17","GSE163787_TALL104","yellow","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_18","DepMap_HepG2","yellow","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE158552","GSM4802741;GSM4802742;GSM4802743","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Entrez","DMSO 24h; parental reference, not SIRT1/3 knockout",FALSE
"KLA31_19","DepMap_A549","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_20","DepMap_MDAMB468","yellow","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE157383","GSM4763917;GSM4763918;GSM4763919","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Entrez","DMSO 7 days; external baseline; concentration not specified in GEO",FALSE
"KLA31_21","DepMap_T47D","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_22","GSE235595_PC3M_DMSO","green","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE235595","GSM7506018;GSM7506019;GSM7506020","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Entrez","PC-3M DMSO 4 days; not KMI169/KMI169Ctrl",FALSE
"KLA31_23","GSE266884_MES28_shMCT1Control","green","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_24","DepMap_RKO","yellow","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE318640","GSM9499692;GSM9499693;GSM9499694","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Ensembl","DMSO control; duration and concentration unreported; parental not GSK3B knockout",FALSE
"KLA31_25","GSE203529_HEK293T_WT","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_26","GSE275256_HMC3_vehicle","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_27","GSE269418_HK2_normoxia_solvent","red","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE240748","GSM7708662;GSM7708663;GSM7708664","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Entrez","WT untreated 24h; independent culture documentation pending",FALSE
"KLA31_28","GSE269418_HK2_normoxia_solvent","red","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE240748","GSM7708662;GSM7708663;GSM7708664","stable-ID count matrix validated; biological eligibility review remains",3,TRUE,"Entrez","WT untreated 24h; independent culture documentation pending",FALSE
"KLA31_29","GSE103520_MCF10A_control","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_30","GSE119834_NSC","green","teacher green retained; confirm model/donor hierarchy before treating nine libraries as n=9",FALSE,"","","",NA,FALSE,"","",FALSE
"KLA31_31","ENCODE_ENCSR000COZ","green","use new candidate for source-local QC; retain teacher color and condition caveat",FALSE,"GSE203551","GSM6176178;GSM6176183;GSM6176188;GSM6176193","stable-ID count matrix validated; biological eligibility review remains",4,TRUE,"Entrez","unstimulated untreated; donors 32/36/46/47; passage 3; not Pg infected",FALSE
