TaskID	Source	Accession	GroupIDs	SelectedSamples	URL	RelativeTarget	Action	SelectionContract
GEO_GSE236746	GEO	GSE236746	KLA31_01	GSM7574837;GSM7574838;GSM7574839		geo/GSE236746	geo_bundle	Non-diabetic torn rotator-cuff tendon only; do not substitute healthy tendon.
GEO_GSE181540	GEO	GSE181540	KLA31_03;KLA31_04	GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089		geo/GSE181540	geo_bundle	HS and paired adjacent full-thickness normal-skin input libraries only; exclude antibody-IP libraries.
GEO_GSE114691	GEO	GSE114691	KLA31_06	GSM3147325-GSM3147345		geo/GSE114691	geo_bundle	Control placenta candidate set; gestational-age and sampling-layer filters remain pending.
GEO_GSE40181	GEO	GSE40181	KLA31_07	GSM987942;GSM987943		geo/GSE40181	geo_bundle	Sperm mRNA libraries only; exclude small-RNA samples.
GEO_GSE132714	GEO	GSE132714	KLA31_08	GSM3890639-GSM3890656		geo/GSE132714	geo_bundle	BPH candidates only; clinical and transition-zone filters remain pending.
GEO_GSE163787	GEO	GSE163787	KLA31_17	GSM4987488;SRX9725233		geo/GSE163787	geo_bundle	TALL-104 bulk library only; exclude Jurkat and mouse mixture libraries.
GEO_GSE235595	GEO	GSE235595	KLA31_22	GSM7506018;GSM7506019;GSM7506020		geo/GSE235595	geo_bundle	PC-3M DMSO four-day controls only; exclude KMI169 and KMI169Ctrl.
GEO_GSE266884	GEO	GSE266884	KLA31_23	GSM8255530;GSM8255531		geo/GSE266884	geo_bundle	MES28 shMCT1 control-vector libraries only; do not merge alternative shKU70 controls automatically.
GEO_GSE203529	GEO	GSE203529	KLA31_25	GSM6175912		geo/GSE203529	geo_bundle	HEK293T wild-type untreated library only; exclude interferon and genetic perturbations.
GEO_GSE275256	GEO	GSE275256	KLA31_26	GSM8473662;GSM8473663;GSM8473664		geo/GSE275256	geo_bundle	HMC3 vehicle baseline only; exclude SLO treatment.
GEO_GSE269418	GEO	GSE269418	KLA31_27;KLA31_28	GSM8315283;GSM8315284;GSM8315285;GSM8315286;GSM8315297		geo/GSE269418	geo_bundle	HK-2 normoxia solvent controls only; shared external baseline, not a condition-matched substitute.
GEO_GSE103520	GEO	GSE103520	KLA31_29	GSM2773021;GSM2773022;GSM2773023		geo/GSE103520	geo_bundle	Untreated MCF10A only; download full expression material before accepting differential-result tables.
GEO_GSE119834	GEO	GSE119834	KLA31_30	GSM3384847-GSM3384855		geo/GSE119834	geo_bundle	NSC libraries only; retain the exact-model mismatch flag.
GTEX_V8_GENE_READS	GTEx_v8	GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_reads	KLA31_02;KLA31_05	Lung;Brain - Hippocampus	https://storage.googleapis.com/adult-gtex/bulk-gex/v8/rna-seq/GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_reads.gct.gz	gtex_v8/GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_reads.gct.gz	direct	Use GTEx V8 only. Final donor/sample exclusions and tissue-column selection are a later QC step.
GTEX_V8_GENE_TPM	GTEx_v8	GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_tpm	KLA31_02;KLA31_05	Lung;Brain - Hippocampus	https://storage.googleapis.com/adult-gtex/bulk-gex/v8/rna-seq/GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_tpm.gct.gz	gtex_v8/GTEx_Analysis_2017-06-05_v8_RNASeQCv1.1.9_gene_tpm.gct.gz	direct	Use GTEx V8 only. TPM is retained for descriptive checks and is not a count matrix.
GTEX_V8_SAMPLE_ATTRIBUTES	GTEx_v8	GTEx_Analysis_v8_Annotations_SampleAttributesDS	KLA31_02;KLA31_05	metadata	https://storage.googleapis.com/adult-gtex/annotations/v8/metadata-files/GTEx_Analysis_v8_Annotations_SampleAttributesDS.txt	gtex_v8/GTEx_Analysis_v8_Annotations_SampleAttributesDS.txt	direct	Required for tissue and sample-level QC.
GTEX_V8_SUBJECT_PHENOTYPES	GTEx_v8	GTEx_Analysis_v8_Annotations_SubjectPhenotypesDS	KLA31_02;KLA31_05	metadata	https://storage.googleapis.com/adult-gtex/annotations/v8/metadata-files/GTEx_Analysis_v8_Annotations_SubjectPhenotypesDS.txt	gtex_v8/GTEx_Analysis_v8_Annotations_SubjectPhenotypesDS.txt	direct	Required for donor-level exclusions.
ENCODE_ENCSR000COZ_REP1	ENCODE	ENCSR000COZ	KLA31_31	ENCFF779OCC;biological_replicate_1	https://www.encodeproject.org/files/ENCFF779OCC/@@download/ENCFF779OCC.tsv	encode/ENCSR000COZ/ENCFF779OCC_GRCh38_RSEM.tsv	direct	Released GRCh38 RSEM gene quantification from ENCODE bulk-RNA pipeline (2021), HUVEC biological replicate 1.
ENCODE_ENCSR000COZ_REP2	ENCODE	ENCSR000COZ	KLA31_31	ENCFF770MAV;biological_replicate_2	https://www.encodeproject.org/files/ENCFF770MAV/@@download/ENCFF770MAV.tsv	encode/ENCSR000COZ/ENCFF770MAV_GRCh38_RSEM.tsv	direct	Released GRCh38 RSEM gene quantification from ENCODE bulk-RNA pipeline (2021), HUVEC biological replicate 2.
