"GroupID","ReferenceKey","TeacherColor","ReviewAction","PrimaryErrorBarEligible","ProposedReplacementSource","ProposedReplacementSamples","ProposedReplacementStatus"
"KLA31_01","torn_tendon_nondiabetic","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_02","GTEx_v8_Lung","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_03","GSE181540_HS_input","yellow","input has no RIP antibody; exclude IP/peak tables; retain annotation/paper contradiction for review",FALSE,"","",""
"KLA31_04","GSE181540_adjacent_NS_input","yellow","input has no RIP antibody; exclude IP/peak tables; retain annotation/paper contradiction for review",FALSE,"","",""
"KLA31_05","GTEx_v8_Hippocampus","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_06","GSE114691_control_placenta","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_07","GSE40181_sperm_mRNA","green","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","",""
"KLA31_08","GSE132714_BPH","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_09","TCGA_LIHC_normal","unmarked","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_10","TCGA_ESCA_ESCC","unmarked","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_11","TCGA_PRAD_primary","unmarked","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_12","TCGA_LIHC_primary","unmarked","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_13","DepMap_MCF7","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_14","DepMap_HCT116","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_15","DepMap_HCT116","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_16","DepMap_HCT116","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_17","GSE163787_TALL104","yellow","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","",""
"KLA31_18","DepMap_HepG2","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_19","DepMap_A549","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_20","DepMap_MDAMB468","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_21","DepMap_T47D","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_22","GSE235595_PC3M_DMSO","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_23","GSE266884_MES28_shMCT1Control","green","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","",""
"KLA31_24","DepMap_RKO","yellow","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_25","GSE203529_HEK293T_WT","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_26","GSE275256_HMC3_vehicle","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_27","GSE269418_HK2_normoxia_solvent","red","exclude old source from primary candidate; overnight serum starvation and mixed solvent control; seek replacement",FALSE,"GSE240748","GSM7708662;GSM7708663;GSM7708664","three source files inspected; gene-prefixed labels need versioned stable-ID mapping; independent culture verification pending"
"KLA31_28","GSE269418_HK2_normoxia_solvent","red","exclude old source from primary candidate; overnight serum starvation and mixed solvent control; seek replacement",FALSE,"GSE240748","GSM7708662;GSM7708663;GSM7708664","three source files inspected; gene-prefixed labels need versioned stable-ID mapping; independent culture verification pending"
"KLA31_29","GSE103520_MCF10A_control","green","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_30","GSE119834_NSC","green","teacher green retained; confirm model/donor hierarchy before treating nine libraries as n=9",FALSE,"","",""
"KLA31_31","ENCODE_ENCSR000COZ","green","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","",""
