Entry	Gene Names (primary)	Gene Names	Protein names
A0A087X1C5	CYP2D7	CYP2D7	Cytochrome P450 2D7 (EC 1.14.14.1)
A0A096LP01	SMIM26	SMIM26 LINC00493	Small integral membrane protein 26
A0A0B4J2F0	PIGBOS1	PIGBOS1	Protein PIGBOS1 (PIGB opposite strand protein 1)
A0A0C5B5G6	MT-RNR1	MT-RNR1	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)
A0A0K2S4Q6	CD300H	CD300H	Protein CD300H (CD300 antigen-like family member H)
A0A0U1RRE5	NBDY	NBDY LINC01420	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)
A0A1B0GTW7	CIROP	CIROP LMLN2	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)
A0A2R8Y7D0	TINCR	TINCR LINC00036 NCRNA00036 PLAC2	Ubiquitin domain-containing protein TINCR (Placenta-specific protein 2) (Terminal differentiation-induced cornification regulator) (pTINCR microprotein)
A0A8I5KQE6	RPSA2	RPSA2 RPSA RPSAP58	Small ribosomal subunit protein uS2B (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (40S ribosomal protein SA2) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)
A0AV02	SLC12A8	SLC12A8 CCC9	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)
A0AV96	RBM47	RBM47	RNA-binding protein 47 (RNA-binding motif protein 47)
A0AVF1	IFT56	IFT56 TTC26	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)
A0AVI4	TMEM129	TMEM129	E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)
A0AVK6	E2F8	E2F8	Transcription factor E2F8 (E2F-8)
A0AVT1	UBA6	UBA6 MOP4 UBE1L2	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)
A0FGR8	ESYT2	ESYT2 FAM62B KIAA1228	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)
A0FGR9	ESYT3	ESYT3 FAM62C	Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)
A0JLT2	MED19	MED19 LCMR1	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)
A0JNW5	BLTP3B	BLTP3B KIAA0701 SHIP164 UHRF1BP1L	Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)
A0JP26	POTEB3	POTEB3	POTE ankyrin domain family member B3
A0MZ66	SHTN1	SHTN1 KIAA1598	Shootin-1 (Shootin1)
A0PJK1	SLC5A10	SLC5A10 SGLT5	Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)
A0PJY2	FEZF1	FEZF1 FEZ ZNF312B	Fez family zinc finger protein 1 (Zinc finger protein 312B)
A0PK00	TMEM120B	TMEM120B	Transmembrane protein 120B
A0PK05	TMEM72	TMEM72 C10orf127 KSP37	Transmembrane protein 72 (Kidney-specific secretory protein of 37 kDa)
A0PK11	CLRN2	CLRN2	Clarin-2
A1A4S6	ARHGAP10	ARHGAP10 GRAF2	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (GRAF2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)
A1A4Y4	IRGM	IRGM IFI1 IRGM1 LRG47	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)
A1A519	FAM170A	FAM170A ZNFD	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)
A1A5B4	ANO9	ANO9 PIG5 TMEM16J TP53I5	Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein)
A1A5C7	SLC22A23	SLC22A23 C6orf85	Solute carrier family 22 member 23
A1E959	ODAM	ODAM APIN	Odontogenic ameloblast-associated protein (Apin)
A1KXE4	FAM168B	FAM168B KIAA0280L MANI	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)
A1KZ92	PXDNL	PXDNL VPO2	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)
A1L0T0	HACL2	HACL2 AHAS ILVBL	2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)
A1L167	UBE2QL1	UBE2QL1	Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)
A1L190	SYCE3	SYCE3 C22orf41 THEG2	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)
A1L390	PLEKHG3	PLEKHG3 KIAA0599	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)
A1L3X0	ELOVL7	ELOVL7	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)
A1L4H1	SSC5D	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)
A1L4K1	FSD2	FSD2 SPRYD1	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)
A1X283	SH3PXD2B	SH3PXD2B FAD49 KIAA1295 TKS4	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)
A1XBS5	CIBAR1	CIBAR1 FAM92A FAM92A1	CBY1-interacting BAR domain-containing protein 1
A1Z1Q3	MACROD2	MACROD2 C20orf133	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)
A2A288	ZC3H12D	ZC3H12D C6orf95 MCPIP4 TFL	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)
A2A2Y4	FRMD3	FRMD3 EPB41L4O	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)
A2IDD5	CCDC78	CCDC78 C16orf25 JFP10	Coiled-coil domain-containing protein 78 (hsCCDC78)
A2PYH4	HFM1	HFM1 SEC3D1	Probable ATP-dependent DNA helicase HFM1 (EC 5.6.2.4) (DNA 3'-5' helicase HFM1) (SEC63 domain-containing protein 1)
A2RRP1	NBAS	NBAS NAG	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)
A2RTX5	TARS3	TARS3 TARSL2	Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)
