Figure,Renderer,Input,ObservationType,InputRows,Filter
Figure_1a,build_figure1_category_boxplot.R,figure1_sample_boxplot_values.csv,sample,272,"ObservationType == ""sample"""
Figure_1b_ACTB,build_figure1_mki67_ratio_boxplots.R,figure1_mki67_ratio_sample_values.csv,sample,48,"ObservationType == ""sample"""
Figure_1b_TUBB,build_figure1_mki67_ratio_boxplots.R,figure1_mki67_ratio_sample_values.csv,sample,137,"ObservationType == ""sample"""
Figure_1b_H3C1,build_figure1_mki67_ratio_boxplots.R,figure1_mki67_ratio_sample_values.csv,sample,79,"ObservationType == ""sample"""
Figure_2c_BER,build_ddr_pathway_summary_boxplots.R,figure1_pathway_summary_sample_boxplot_values.csv,sample,72,"ObservationType == ""sample"""
Figure_2d_NER,build_ddr_pathway_summary_boxplots.R,figure1_pathway_summary_sample_boxplot_values.csv,sample,72,"ObservationType == ""sample"""
Figure_2e_MMR,build_ddr_pathway_summary_boxplots.R,figure1_pathway_summary_sample_boxplot_values.csv,sample,72,"ObservationType == ""sample"""
Figure_2f_FA,build_ddr_pathway_summary_boxplots.R,figure1_pathway_summary_sample_boxplot_values.csv,sample,72,"ObservationType == ""sample"""
Figure_2g_HR,build_ddr_pathway_summary_boxplots.R,figure1_pathway_summary_sample_boxplot_values.csv,sample,72,"ObservationType == ""sample"""
Figure_2h_AEJ,build_ddr_pathway_summary_boxplots.R,figure1_pathway_summary_sample_boxplot_values.csv,sample,72,"ObservationType == ""sample"""
Figure_2i_NHEJ,build_ddr_pathway_summary_boxplots.R,figure1_pathway_summary_sample_boxplot_values.csv,sample,72,"ObservationType == ""sample"""
Figure_S1a,build_figure_s1_dataset_plots.R,figure1_sample_boxplot_values.csv,sample,272,"ObservationType == ""sample"""
Figure_S1b,build_figure_s1_dataset_plots.R,figure1_mki67_ratio_sample_values.csv,sample,79,"ObservationType == ""sample"""
Figure_S1b_detected_only,build_figure_s1_dataset_plots.R,figure1_mki67_ratio_sample_values.csv,sample,79,"ObservationType == ""sample"""
