RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,Pathway,PositiveProteinCount,NegativeProteinCount,AnyPathwayProteinCount,KlaDdrProteinCount,PositiveFraction,NegativeFraction,SignedFraction
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,BER,5,0,5,23,0.217391304347826,0,0.217391304347826
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,NER,3,0,3,23,0.130434782608696,0,0.130434782608696
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,MMR,3,0,3,23,0.130434782608696,0,0.130434782608696
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,FA,0,0,0,23,0,0,0
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,HR,10,0,10,23,0.434782608695652,0,0.434782608695652
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,AEJ,0,0,0,23,0,0,0
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,NHEJ,8,0,8,23,0.347826086956522,0,0.347826086956522
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,BER,5,0,5,23,0.217391304347826,0,0.217391304347826
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,NER,3,0,3,23,0.130434782608696,0,0.130434782608696
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,MMR,3,0,3,23,0.130434782608696,0,0.130434782608696
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,FA,0,0,0,23,0,0,0
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,HR,10,0,10,23,0.434782608695652,0,0.434782608695652
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,AEJ,0,0,0,23,0,0,0
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,NHEJ,8,0,8,23,0.347826086956522,0,0.347826086956522
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT3,RCT3,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,BER,5,0,5,23,0.217391304347826,0,0.217391304347826
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT3,RCT3,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,NER,3,0,3,23,0.130434782608696,0,0.130434782608696
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT3,RCT3,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,MMR,3,0,3,23,0.130434782608696,0,0.130434782608696
