RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,ReferencePXD,ProteinCount,DdrProteinCount,DdrFraction,DdrFractionPercentage,FrozenKlaProteinCount,FrozenKlaDdrProteinCount,FrozenKlaDdrFraction,FrozenReferenceProteinCount,FrozenReferenceDdrProteinCount,FrozenReferenceDdrFraction
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,PXD033146,463,23,0.0496760259179266,4.96760259179266,571,30,5.25394045534151,3984,154,3.86546184738956
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,PXD033146,464,23,0.0495689655172414,4.95689655172414,571,30,5.25394045534151,3984,154,3.86546184738956
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Lactylome (Kla),RCT3,RCT3,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt,PXD033146,464,23,0.0495689655172414,4.95689655172414,571,30,5.25394045534151,3984,154,3.86546184738956
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Whole proteome,RCT1,RCT1,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TQ/proteinGroups.txt,PXD033146,3574,140,0.0391717963066592,3.91717963066592,571,30,5.25394045534151,3984,154,3.86546184738956
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Whole proteome,RCT2,RCT2,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TQ/proteinGroups.txt,PXD033146,3574,140,0.0391717963066592,3.91717963066592,571,30,5.25394045534151,3984,154,3.86546184738956
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Whole proteome,RCT3,RCT3,replicate,sample,deposited_sample_table,PXD033146/search_results/extracted_pairing/search_result-HA119TQ/proteinGroups.txt,PXD033146,3574,140,0.0391717963066592,3.91717963066592,571,30,5.25394045534151,3984,154,3.86546184738956
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,Lactylome (Kla),PTB340,PTB340,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,PXD010154,266,15,0.056390977443609,5.6390977443609,474,31,6.54008438818565,14022,668,4.76394237626587
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,Lactylome (Kla),PTB342,PTB342,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,PXD010154,262,21,0.0801526717557252,8.01526717557252,474,31,6.54008438818565,14022,668,4.76394237626587
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,Lactylome (Kla),PTB344,PTB344,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,PXD010154,199,13,0.0653266331658292,6.53266331658292,474,31,6.54008438818565,14022,668,4.76394237626587
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,Lactylome (Kla),PTB346,PTB346,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,PXD010154,335,21,0.0626865671641791,6.26865671641791,474,31,6.54008438818565,14022,668,4.76394237626587
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,Lactylome (Kla),PTB364,PTB364,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,PXD010154,346,22,0.0635838150289017,6.35838150289017,474,31,6.54008438818565,14022,668,4.76394237626587
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,Lactylome (Kla),PTB372,PTB372,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,PXD010154,264,11,0.0416666666666667,4.16666666666667,474,31,6.54008438818565,14022,668,4.76394237626587
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Lactylome (Kla),HSP1,HSP1,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,336,13,0.0386904761904762,3.86904761904762,402,19,4.72636815920398,2193,83,3.78476972184223
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Lactylome (Kla),HSP2,HSP2,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,298,13,0.0436241610738255,4.36241610738255,402,19,4.72636815920398,2193,83,3.78476972184223
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Lactylome (Kla),HSP3,HSP3,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,315,14,0.0444444444444444,4.44444444444444,402,19,4.72636815920398,2193,83,3.78476972184223
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Lactylome (Kla),HSP4,HSP4,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,333,14,0.042042042042042,4.2042042042042,402,19,4.72636815920398,2193,83,3.78476972184223
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Whole proteome,HSP1,HSP1,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,1899,75,0.0394944707740916,3.94944707740916,402,19,4.72636815920398,2193,83,3.78476972184223
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Whole proteome,HSP2,HSP2,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,1680,70,0.0416666666666667,4.16666666666667,402,19,4.72636815920398,2193,83,3.78476972184223
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Whole proteome,HSP3,HSP3,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,1871,74,0.0395510422234099,3.95510422234099,402,19,4.72636815920398,2193,83,3.78476972184223
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Whole proteome,HSP4,HSP4,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,2017,80,0.0396628656420426,3.96628656420426,402,19,4.72636815920398,2193,83,3.78476972184223
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Lactylome (Kla),NSP1,NSP1,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,484,28,0.0578512396694215,5.78512396694215,527,31,5.88235294117647,2205,89,4.03628117913832
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Lactylome (Kla),NSP2,NSP2,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,401,22,0.0548628428927681,5.48628428927681,527,31,5.88235294117647,2205,89,4.03628117913832
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Lactylome (Kla),NSP3,NSP3,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,392,18,0.0459183673469388,4.59183673469388,527,31,5.88235294117647,2205,89,4.03628117913832
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Lactylome (Kla),NSP4,NSP4,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,386,19,0.0492227979274611,4.92227979274611,527,31,5.88235294117647,2205,89,4.03628117913832
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Whole proteome,NSP1,NSP1,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,1986,82,0.0412890231621349,4.12890231621349,527,31,5.88235294117647,2205,89,4.03628117913832
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Whole proteome,NSP2,NSP2,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,1958,81,0.0413687436159346,4.13687436159346,527,31,5.88235294117647,2205,89,4.03628117913832
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Whole proteome,NSP3,NSP3,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,1963,83,0.0422822210901681,4.22822210901681,527,31,5.88235294117647,2205,89,4.03628117913832
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Whole proteome,NSP4,NSP4,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,1900,78,0.0410526315789474,4.10526315789474,527,31,5.88235294117647,2205,89,4.03628117913832
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Lactylome (Kla),H072,H072,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,PXD050470,853,29,0.0339976553341149,3.39976553341149,853,29,3.39976553341149,6082,219,3.60078921407432
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Lactylome (Kla),H081,H081,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,PXD050470,853,29,0.0339976553341149,3.39976553341149,853,29,3.39976553341149,6082,219,3.60078921407432
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Lactylome (Kla),H187,H187,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,PXD050470,853,29,0.0339976553341149,3.39976553341149,853,29,3.39976553341149,6082,219,3.60078921407432
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Whole proteome,H072,H072,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,PXD050470,6082,219,0.0360078921407432,3.60078921407432,853,29,3.39976553341149,6082,219,3.60078921407432
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Whole proteome,H081,H081,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,PXD050470,6082,219,0.0360078921407432,3.60078921407432,853,29,3.39976553341149,6082,219,3.60078921407432
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Whole proteome,H187,H187,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,PXD050470,6082,219,0.0360078921407432,3.60078921407432,853,29,3.39976553341149,6082,219,3.60078921407432
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,Lactylome (Kla),Con_1,Con_1,replicate,sample,deposited_sample_table,PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,PXD010154,205,9,0.0439024390243902,4.39024390243902,294,12,4.08163265306122,12395,556,4.48567970956031
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,Lactylome (Kla),Con_2,Con_2,replicate,sample,deposited_sample_table,PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,PXD010154,215,9,0.0418604651162791,4.18604651162791,294,12,4.08163265306122,12395,556,4.48567970956031
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,Lactylome (Kla),Con_3,Con_3,replicate,sample,deposited_sample_table,PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,PXD010154,221,7,0.0316742081447964,3.16742081447964,294,12,4.08163265306122,12395,556,4.48567970956031
7,PXD064912,human sperm,normal_tissue,Human sperm,Lactylome (Kla),Rep 1,Rep 1,replicate,sample,deposited_supplementary_table,PXD064912/supplementary/europepmc/mmc1.xlsx,PXD066517,203,5,0.0246305418719212,2.46305418719212,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Lactylome (Kla),Rep 2,Rep 2,replicate,sample,deposited_supplementary_table,PXD064912/supplementary/europepmc/mmc1.xlsx,PXD066517,208,7,0.0336538461538462,3.36538461538462,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Lactylome (Kla),Rep 3,Rep 3,replicate,sample,deposited_supplementary_table,PXD064912/supplementary/europepmc/mmc1.xlsx,PXD066517,200,7,0.035,3.5,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L1,L1,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8400,327,0.0389285714285714,3.89285714285714,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L10,L10,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8240,333,0.0404126213592233,4.04126213592233,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L11,L11,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8566,345,0.0402755078216204,4.02755078216204,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L12,L12,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8560,349,0.0407710280373832,4.07710280373832,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L13,L13,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8511,350,0.0411232522617789,4.11232522617789,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L14,L14,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8291,326,0.0393197443010493,3.93197443010493,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L15,L15,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8375,333,0.0397611940298508,3.97611940298508,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L16,L16,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8488,339,0.0399387370405278,3.99387370405278,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L17,L17,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8254,344,0.0416767627816816,4.16767627816816,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L2,L2,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8427,345,0.040939836240655,4.0939836240655,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L3,L3,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8713,360,0.0413175714449673,4.13175714449673,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L4,L4,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8604,358,0.0416085541608554,4.16085541608554,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L5,L5,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8364,321,0.0383787661406026,3.83787661406026,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L6,L6,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8668,350,0.0403784033225658,4.03784033225658,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L7,L7,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8497,335,0.0394256796516418,3.94256796516418,231,7,3.03030303030303,10680,461,4.31647940074906
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L8,L8,L sperm,sample,deposited_sample_table,PXD066517/search_results/20240275.tsv,PXD066517,8708,343,0.0393890675241158,3.93890675241158,231,7,3.03030303030303,10680,461,4.31647940074906
