RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,ReferencePXD,ProteinCount,DdrProteinCount,DdrFraction,DdrFractionPercentage,FrozenKlaProteinCount,FrozenKlaDdrProteinCount,FrozenKlaDdrFraction,FrozenReferenceProteinCount,FrozenReferenceDdrProteinCount,FrozenReferenceDdrFraction,SourceKey,ReusedAcrossSampleGroups
12,PXD075377,HCC,cancer_tissue,HCC tissue,Whole proteome,Non-rec1,Non-rec1,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,5188,271,0.0522359290670779,5.22359290670779,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD065775|Non-rec1|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Non-rec1,Non-rec1,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD065775|Non-rec1|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
12,PXD075377,HCC,cancer_tissue,HCC tissue,Whole proteome,Non-rec2,Non-rec2,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,5188,271,0.0522359290670779,5.22359290670779,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD065775|Non-rec2|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Non-rec2,Non-rec2,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD065775|Non-rec2|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
12,PXD075377,HCC,cancer_tissue,HCC tissue,Whole proteome,Non-rec3,Non-rec3,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,5188,271,0.0522359290670779,5.22359290670779,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD065775|Non-rec3|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Non-rec3,Non-rec3,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD065775|Non-rec3|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
12,PXD075377,HCC,cancer_tissue,HCC tissue,Whole proteome,Non-rec4,Non-rec4,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,5188,271,0.0522359290670779,5.22359290670779,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD065775|Non-rec4|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Non-rec4,Non-rec4,Non-rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD065775|Non-rec4|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
12,PXD075377,HCC,cancer_tissue,HCC tissue,Whole proteome,Rec1,Rec1,Rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,5188,271,0.0522359290670779,5.22359290670779,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD065775|Rec1|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,Whole proteome,Rec1,Rec1,Rec,sample,deposited_supplementary_table,PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD065775|Rec1|PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,TRUE
