Plot,Category,Dataset,Pathway,Term,Comparison,Test,AnalysisScale,N,NPoint,Df,ResidualDf,FStatistic,PValue,QValueBH,Significance,AdjustmentFamily
DDR pathway source-sample panel: BER,,Lactylome (Kla),BER,CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,0.784121862443435,0.504751882645041,0.557883659765572,ns,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: BER,,Lactylome (Kla),BER,DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,1,136,597.643795604649,1.27593708508398e-51,8.93155959558787e-51,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: BER,,Lactylome (Kla),BER,CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,0.784121862443436,0.504751882645041,0.557883659765572,ns,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: NER,,Lactylome (Kla),NER,CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,10.8280094169454,1.9995256939975e-06,4.66555995266083e-06,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: NER,,Lactylome (Kla),NER,DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,1,136,352.143952286875,1.45702374881957e-39,7.64937468130273e-39,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: NER,,Lactylome (Kla),NER,CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,6.76468043321965,0.000275492174702895,0.00057853356687608,***,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: MMR,,Lactylome (Kla),MMR,CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,4.54852522812626,0.00452783293480803,0.00731419166392071,**,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: MMR,,Lactylome (Kla),MMR,DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,1,136,314.218032033792,3.62247978080607e-37,1.52144150793855e-36,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: MMR,,Lactylome (Kla),MMR,CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,4.54852522812625,0.00452783293480806,0.00731419166392071,**,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: FA,,Lactylome (Kla),FA,CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,0.493995316530824,0.68704050623714,0.68704050623714,ns,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: FA,,Lactylome (Kla),FA,DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,1,136,58.9990831330881,2.78881033282327e-12,8.36643099846981e-12,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: FA,,Lactylome (Kla),FA,CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,0.493995316530824,0.687040506237139,0.68704050623714,ns,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: HR,,Lactylome (Kla),HR,CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,5.10569082662681,0.00222669001150333,0.00425095365832455,**,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: HR,,Lactylome (Kla),HR,DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,1,136,634.622985345162,4.47977379049628e-53,9.40752496004219e-52,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: HR,,Lactylome (Kla),HR,CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,1.15603169289484,0.329006968991884,0.460609756588638,ns,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),AEJ,CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,14.2098228293717,4.1449708326176e-08,1.08805484356212e-07,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),AEJ,DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,1,136,63.3768124253807,6.01868311334489e-13,2.10653908967071e-12,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: AEJ,,Lactylome (Kla),AEJ,CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,0.906882394215726,0.43960756277852,0.543044636373466,ns,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),NHEJ,CategoryFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,1.00667570769193,0.391947239015936,0.514430751208416,ns,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),NHEJ,DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,1,136,608.506905392367,4.68862412074604e-52,4.92305532678334e-51,****,Seven pathways times three two-way ANOVA terms
DDR pathway source-sample panel: NHEJ,,Lactylome (Kla),NHEJ,CategoryFactor:DirectionFactor,Four categories by Pro versus Inh pathway state,two-way ANOVA,Kla-DDR pathway fraction percentage,144,72,3,136,2.82903585170053,0.0408807898788512,0.0613211848182768,ns,Seven pathways times three two-way ANOVA terms
