RowOrder,PXD,SampleGroup,Category,DisplayGroup,BiologicalMaterial,Dataset,DatasetPXD,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,ReferencePXD,ProteinCount,DdrProteinCount,DdrFraction,DdrFractionPercentage,FrozenKlaProteinCount,FrozenKlaDdrProteinCount,FrozenKlaDdrFraction,FrozenReferenceProteinCount,FrozenReferenceDdrProteinCount,FrozenReferenceDdrFraction,DatasetPointID,DatasetPointLabel
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,diseased tendon tissue,Lactylome (Kla),PXD033146,PXD033146_Kla_dataset_union,Pathological rotator-cuff tendon,diseased tendon tissue,dataset_union,validated_publication_group_union,data/PXD033146/search_results/search_result-HA119TPLa.zip,PXD033146,571,30,0.0525394045534151,5.25394045534151,571,30,5.25394045534151,3984,154,3.86546184738956,PXD033146__pathological rotator cuff tendon__Lactylome (Kla),PXD033146 / pathological rotator cuff tendon
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,diseased tendon tissue,Whole proteome,PXD033146,PXD033146_reference_dataset_union,PXD033146 tumor/reference union,diseased tendon tissue,dataset_union,validated_reference_group_union,data/PXD033146/search_results/search_result-HA119TQ.zip,PXD033146,3984,154,0.0386546184738956,3.86546184738956,571,30,5.25394045534151,3984,154,3.86546184738956,PXD033146__pathological rotator cuff tendon__Whole proteome,PXD033146 / pathological rotator cuff tendon
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,normal lung tissue,Lactylome (Kla),PXD036307,PXD036307_Kla_dataset_union,Normal human lung tissue,normal lung tissue,dataset_union,validated_publication_group_union,data/PXD036307/search_results/extracted/txt/La (K)Sites.txt,PXD010154,474,31,0.0654008438818565,6.54008438818565,474,31,6.54008438818565,14022,668,4.76394237626587,PXD036307__normal human lung__Lactylome (Kla),PXD036307 / normal human lung
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,normal lung tissue,Whole proteome,PXD010154,PXD010154_reference_dataset_union,PXD010154 tumor/reference union,normal lung tissue,dataset_union,validated_reference_group_union,data/PXD010154/search_results/extracted_healthy_tissues/lung/P013163_lung_proteinGroups.txt,PXD010154,14022,668,0.0476394237626587,4.76394237626587,474,31,6.54008438818565,14022,668,4.76394237626587,PXD036307__normal human lung__Whole proteome,PXD036307 / normal human lung
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,hypertrophic scar tissue,Lactylome (Kla),PXD046800,PXD046800_Kla_dataset_union,Hypertrophic scar tissue,hypertrophic scar tissue,dataset_union,validated_publication_group_union,data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,402,19,0.0472636815920398,4.72636815920398,402,19,4.72636815920398,2193,83,3.78476972184223,PXD046800__hypertrophic scar__Lactylome (Kla),PXD046800 / hypertrophic scar
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,hypertrophic scar tissue,Whole proteome,PXD046800,PXD046800_reference_dataset_union,PXD046800 tumor/reference union,hypertrophic scar tissue,dataset_union,validated_reference_group_union,data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,2193,83,0.0378476972184223,3.78476972184223,402,19,4.72636815920398,2193,83,3.78476972184223,PXD046800__hypertrophic scar__Whole proteome,PXD046800 / hypertrophic scar
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,adjacent skin tissue,Lactylome (Kla),PXD046800,PXD046800_Kla_dataset_union,Adjacent skin tissue,adjacent skin tissue,dataset_union,validated_publication_group_union,data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,527,31,0.0588235294117647,5.88235294117647,527,31,5.88235294117647,2205,89,4.03628117913832,PXD046800__adjacent skin__Lactylome (Kla),PXD046800 / adjacent skin
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,adjacent skin tissue,Whole proteome,PXD046800,PXD046800_reference_dataset_union,PXD046800 tumor/reference union,adjacent skin tissue,dataset_union,validated_reference_group_union,data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,PXD046800,2205,89,0.0403628117913832,4.03628117913832,527,31,5.88235294117647,2205,89,4.03628117913832,PXD046800__adjacent skin__Whole proteome,PXD046800 / adjacent skin
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,human hippocampus tissue,Lactylome (Kla),PXD050470,PXD050470_Kla_dataset_union,Human hippocampus tissue,human hippocampus tissue,dataset_union,validated_publication_group_union,data/PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx;data/PXD050470/supplementary/prca2331-sup-0014-tables12.xlsx,PXD050470,853,29,0.0339976553341149,3.39976553341149,853,29,3.39976553341149,6082,219,3.60078921407432,PXD050470__human hippocampus__Lactylome (Kla),PXD050470 / human hippocampus
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,human hippocampus tissue,Whole proteome,PXD050470,PXD050470_reference_dataset_union,PXD050470 tumor/reference union,human hippocampus tissue,dataset_union,validated_reference_group_union,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,PXD050470,6082,219,0.0360078921407432,3.60078921407432,853,29,3.39976553341149,6082,219,3.60078921407432,PXD050470__human hippocampus__Whole proteome,PXD050470 / human hippocampus
