RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,ReferencePXD,ObsKey,SourceFile,Parser,QuantitationField,QuantitationTransform,QuantitationColumn,SourceColumnStatus,MKI67_SourceValue,MKI67_Intensity,MKI67_RowCount,MKI67_ReportedGroup,ACTB_SourceValue,ACTB_Intensity,ACTB_RowCount,ACTB_ReportedGroup,TUBB_SourceValue,TUBB_Intensity,TUBB_RowCount,TUBB_ReportedGroup,H3C1_SourceValue,H3C1_Intensity,H3C1_RowCount,H3C1_ReportedGroup,MKI67_over_ACTB,MKI67_over_ACTB_Status,MKI67_over_TUBB,MKI67_over_TUBB_Status,MKI67_over_H3C1,MKI67_over_H3C1_Status
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Whole proteome,RCT1,RCT1,replicate,sample,PXD033146,PXD033146__pathological rotator cuff tendon__RCT1,PXD033146/search_results/extracted_pairing/search_result-HA119TQ/proteinGroups.txt,MaxQuant reporter proteinGroups,Reporter intensity corrected,identity,Reporter intensity corrected 1,sample_column_found,,,0,,67848,67848,1,P60709,37502,37502,1,P07437,28099,28099,1,Q71DI3;Q16695;P84243;P68431;Q6NXT2,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Whole proteome,RCT2,RCT2,replicate,sample,PXD033146,PXD033146__pathological rotator cuff tendon__RCT2,PXD033146/search_results/extracted_pairing/search_result-HA119TQ/proteinGroups.txt,MaxQuant reporter proteinGroups,Reporter intensity corrected,identity,Reporter intensity corrected 2,sample_column_found,,,0,,65380,65380,1,P60709,39563,39563,1,P07437,31322,31322,1,Q71DI3;Q16695;P84243;P68431;Q6NXT2,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,Whole proteome,RCT3,RCT3,replicate,sample,PXD033146,PXD033146__pathological rotator cuff tendon__RCT3,PXD033146/search_results/extracted_pairing/search_result-HA119TQ/proteinGroups.txt,MaxQuant reporter proteinGroups,Reporter intensity corrected,identity,Reporter intensity corrected 3,sample_column_found,,,0,,67684,67684,1,P60709,37492,37492,1,P07437,28515,28515,1,Q71DI3;Q16695;P84243;P68431;Q6NXT2,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,Whole proteome,PXD010154_aggregate,PXD010154_aggregate,aggregate,aggregate,PXD010154,PXD036307__normal human lung__PXD010154_aggregate,PXD010154/search_results/extracted_healthy_tissues/lung/P013163_lung_proteinGroups.txt,MaxQuant aggregate proteinGroups,Intensity,identity,Intensity,sample_column_found,,,0,,,,0,,,,0,,,,0,,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Whole proteome,HSP1,HSP1,replicate,sample,PXD046800,PXD046800__hypertrophic scar__HSP1,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Proteome Discoverer protein table,Abundance:,identity,"Abundance: F1: Sample, HSP1",sample_column_found,,,0,,821047360.125,821047360.125,1,P60709,48774938.5,48774938.5,1,P07437,5323333.375,5323333.375,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Whole proteome,HSP2,HSP2,replicate,sample,PXD046800,PXD046800__hypertrophic scar__HSP2,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Proteome Discoverer protein table,Abundance:,identity,"Abundance: F2: Sample, HSP2",sample_column_found,,,0,,379290922.304688,379290922.304688,1,P60709,20792463.125,20792463.125,1,P07437,3550749.3125,3550749.3125,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Whole proteome,HSP3,HSP3,replicate,sample,PXD046800,PXD046800__hypertrophic scar__HSP3,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Proteome Discoverer protein table,Abundance:,identity,"Abundance: F3: Sample, HSP3",sample_column_found,,,0,,748209039.8125,748209039.8125,1,P60709,51640230.75,51640230.75,1,P07437,3479146.46875,3479146.46875,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,Whole proteome,HSP4,HSP4,replicate,sample,PXD046800,PXD046800__hypertrophic scar__HSP4,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Proteome Discoverer protein table,Abundance:,identity,"Abundance: F4: Sample, HSP4",sample_column_found,,,0,,1183821321.0625,1183821321.0625,1,P60709,91432428.625,91432428.625,1,P07437,7645594.25,7645594.25,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Whole proteome,NSP1,NSP1,replicate,sample,PXD046800,PXD046800__adjacent skin__NSP1,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Proteome Discoverer protein table,Abundance:,identity,"Abundance: F5: Sample, NSP1",sample_column_found,,,0,,539020369.179688,539020369.179688,1,P60709,38284400.875,38284400.875,1,P07437,7094476.5625,7094476.5625,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Whole proteome,NSP2,NSP2,replicate,sample,PXD046800,PXD046800__adjacent skin__NSP2,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Proteome Discoverer protein table,Abundance:,identity,"Abundance: F6: Sample, NSP2",sample_column_found,,,0,,448358052.445313,448358052.445313,1,P60709,31865228.6875,31865228.6875,1,P07437,6834266.625,6834266.625,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
