RowOrder,PXD,SampleGroup,Category,DisplayGroup,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction,KlaDdrFractionPercentage,ReferenceFraction,ReferenceDdr,ReferenceTotal
1,PXD033146,pathological rotator cuff tendon,normal_tissue,Pathological rotator-cuff tendon,TMT_plex,TMT_plex,plex_channel,dataset_union,validated_publication_membership,data/publication_input/kla_protein_membership_30.csv,571,30,0.0525394045534151,5.25394045534151,3.86546184738956,154,3984
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,PTB340,PTB340,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,266,15,0.056390977443609,5.6390977443609,4.76394237626587,668,14022
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,PTB342,PTB342,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,262,21,0.0801526717557252,8.01526717557252,4.76394237626587,668,14022
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,PTB344,PTB344,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,199,13,0.0653266331658292,6.53266331658292,4.76394237626587,668,14022
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,PTB346,PTB346,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,335,21,0.0626865671641791,6.26865671641791,4.76394237626587,668,14022
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,PTB364,PTB364,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,346,22,0.0635838150289017,6.35838150289017,4.76394237626587,668,14022
2,PXD036307,normal human lung,normal_tissue,Normal human lung tissue,PTB372,PTB372,replicate,sample,deposited_sample_table,PXD036307/search_results/extracted/txt/La (K)Sites.txt,264,11,0.0416666666666667,4.16666666666667,4.76394237626587,668,14022
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,HSP1,HSP1,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,336,13,0.0386904761904762,3.86904761904762,3.78476972184223,83,2193
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,HSP2,HSP2,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,298,13,0.0436241610738255,4.36241610738255,3.78476972184223,83,2193
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,HSP3,HSP3,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,315,14,0.0444444444444444,4.44444444444444,3.78476972184223,83,2193
3,PXD046800,hypertrophic scar,normal_tissue,Hypertrophic scar tissue,HSP4,HSP4,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,333,14,0.042042042042042,4.2042042042042,3.78476972184223,83,2193
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,NSP1,NSP1,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,484,28,0.0578512396694215,5.78512396694215,4.03628117913832,89,2205
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,NSP2,NSP2,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,401,22,0.0548628428927681,5.48628428927681,4.03628117913832,89,2205
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,NSP3,NSP3,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,392,18,0.0459183673469388,4.59183673469388,4.03628117913832,89,2205
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,NSP4,NSP4,replicate,sample,deposited_sample_table,PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,386,19,0.0492227979274611,4.92227979274611,4.03628117913832,89,2205
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,H072,H072,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,853,29,0.0339976553341149,3.39976553341149,3.60078921407432,219,6082
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,H081,H081,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,853,29,0.0339976553341149,3.39976553341149,3.60078921407432,219,6082
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,H187,H187,replicate,sample,deposited_supplementary_table,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,853,29,0.0339976553341149,3.39976553341149,3.60078921407432,219,6082
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,Con_1,Con_1,replicate,sample,deposited_sample_table,PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,205,9,0.0439024390243902,4.39024390243902,4.48567970956031,556,12395
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,Con_2,Con_2,replicate,sample,deposited_sample_table,PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,215,9,0.0418604651162791,4.18604651162791,4.48567970956031,556,12395
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,Con_3,Con_3,replicate,sample,deposited_sample_table,PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,221,7,0.0316742081447964,3.16742081447964,4.48567970956031,556,12395
7,PXD064912,human sperm,normal_tissue,Human sperm,Rep 1,Rep 1,replicate,sample,deposited_supplementary_table,PXD064912/supplementary/europepmc/mmc1.xlsx,203,5,0.0246305418719212,2.46305418719212,4.31647940074906,461,10680
7,PXD064912,human sperm,normal_tissue,Human sperm,Rep 2,Rep 2,replicate,sample,deposited_supplementary_table,PXD064912/supplementary/europepmc/mmc1.xlsx,208,7,0.0336538461538462,3.36538461538462,4.31647940074906,461,10680
7,PXD064912,human sperm,normal_tissue,Human sperm,Rep 3,Rep 3,replicate,sample,deposited_supplementary_table,PXD064912/supplementary/europepmc/mmc1.xlsx,200,7,0.035,3.5,4.31647940074906,461,10680
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,NAT1,NAT1,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2091,140,0.0669536107125777,6.69536107125777,4.99449136981271,408,8169
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,NAT2,NAT2,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,1978,133,0.0672396359959555,6.72396359959555,4.99449136981271,408,8169
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,NAT3,NAT3,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,1979,129,0.0651844365841334,6.51844365841334,4.99449136981271,408,8169
