SampleKey,PXD,SampleID,PublicationGroup,Category,ConditionLabel,EvidenceTier,Pathway,PositiveProteinCount,NegativeProteinCount,AnyPathwayProteinCount,KlaDdrProteinCount,FractionOfKlaDdrProteins
PXD046800__NSP1,PXD046800,NSP1,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,AEJ,0,0,0,28,0
PXD046800__NSP1,PXD046800,NSP1,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,BER,5,0,5,28,0.178571428571429
PXD046800__NSP1,PXD046800,NSP1,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,FA,1,0,1,28,0.0357142857142857
PXD046800__NSP1,PXD046800,NSP1,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,HR,7,0,7,28,0.25
PXD046800__NSP1,PXD046800,NSP1,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,MMR,0,0,0,28,0
PXD046800__NSP1,PXD046800,NSP1,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,NER,3,0,3,28,0.107142857142857
PXD046800__NSP1,PXD046800,NSP1,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,NHEJ,8,0,8,28,0.285714285714286
PXD046800__NSP2,PXD046800,NSP2,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,AEJ,0,1,1,22,0.0454545454545455
PXD046800__NSP2,PXD046800,NSP2,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,BER,5,0,5,22,0.227272727272727
PXD046800__NSP2,PXD046800,NSP2,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,FA,1,0,1,22,0.0454545454545455
PXD046800__NSP2,PXD046800,NSP2,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,HR,7,0,7,22,0.318181818181818
PXD046800__NSP2,PXD046800,NSP2,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,MMR,2,0,2,22,0.0909090909090909
PXD046800__NSP2,PXD046800,NSP2,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,NER,3,0,3,22,0.136363636363636
PXD046800__NSP2,PXD046800,NSP2,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,NHEJ,7,0,7,22,0.318181818181818
PXD046800__NSP3,PXD046800,NSP3,adjacent skin,normal_tissue,Adjacent skin,A_same_source_same_sample,AEJ,0,0,0,18,0
