PXD,SampleGroup,DisplayLabel,BiologicalMaterial,KlaEvidenceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction,PairedAnalysisIncluded,ReferencePXD,ReferenceEvidenceFile,ReferenceProteinCount,ReferenceDdrProteinCount,ReferenceDdrFraction,DdrFractionPercentagePointDifference,ReferenceMatchNote,MatchMode,SymbolFallbackCount,RowOrder,KlaLabelEn,KlaLabelZh,ReferenceLabelEn,ReferenceLabelZh,NamingBasis,Category,CategoryZh,CategoryEn,EnglishDisplayLabel
PXD033146,pathological rotator cuff tendon,病理性肩袖肌腱 · PXD033146 / 病理性肩袖肌腱 · PXD033146,diseased tendon tissue,data/PXD033146/search_results/search_result-HA119TPLa.zip,571,30,0.0525394045534151,TRUE,PXD033146,data/PXD033146/search_results/search_result-HA119TQ.zip,3984,154,0.0386546184738956,0.0138847860795195,同研究同样本精确匹配,BaseAccession_only,0,1,Pathological rotator-cuff tendon,病理性肩袖肌腱,Pathological rotator-cuff tendon,病理性肩袖肌腱,Matched pathological tendon samples,normal_tissue,非肿瘤组织,non-tumor tissues,Pathological rotator-cuff tendon · PXD033146 / Pathological rotator-cuff tendon · PXD033146
PXD036307,normal human lung,正常人肺组织 · PXD036307 / 健康人肺组织 · PXD010154,normal lung tissue,data/PXD036307/search_results/extracted/txt/La (K)Sites.txt,474,31,0.0654008438818565,TRUE,PXD010154,data/PXD010154/search_results/extracted_healthy_tissues/lung/P013163_lung_proteinGroups.txt,14022,668,0.0476394237626587,0.0177614201191979,器官组织精确匹配,BaseAccession_only,0,2,Normal human lung tissue,正常人肺组织,Healthy human lung tissue,健康人肺组织,Independent healthy whole-lung reference,normal_tissue,非肿瘤组织,non-tumor tissues,Normal human lung tissue · PXD036307 / Healthy human lung tissue · PXD010154
PXD046800,hypertrophic scar,增生性瘢痕组织 · PXD046800 / 增生性瘢痕组织 · PXD046800,hypertrophic scar tissue,data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,402,19,0.0472636815920398,TRUE,PXD046800,data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,2193,83,0.0378476972184223,0.00941598437361755,同研究同样本精确匹配,BaseAccession_only,0,3,Hypertrophic scar tissue,增生性瘢痕组织,Hypertrophic scar tissue,增生性瘢痕组织,Same-study HSP1-HSP4 samples,normal_tissue,非肿瘤组织,non-tumor tissues,Hypertrophic scar tissue · PXD046800 / Hypertrophic scar tissue · PXD046800
PXD046800,adjacent skin,邻近皮肤组织 · PXD046800 / 邻近皮肤组织 · PXD046800,adjacent skin tissue,data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,527,31,0.0588235294117647,TRUE,PXD046800,data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,2205,89,0.0403628117913832,0.0184607176203815,同研究同样本精确匹配,BaseAccession_only,0,4,Adjacent skin tissue,邻近皮肤组织,Adjacent skin tissue,邻近皮肤组织,Same-study NSP1-NSP4 samples,normal_tissue,非肿瘤组织,non-tumor tissues,Adjacent skin tissue · PXD046800 / Adjacent skin tissue · PXD046800
PXD050470,human hippocampus,人海马组织 · PXD050470 / 人海马组织 · PXD050470,human hippocampus tissue,data/PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx;data/PXD050470/supplementary/prca2331-sup-0014-tables12.xlsx,853,29,0.0339976553341149,TRUE,PXD050470,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,6082,219,0.0360078921407432,-0.00201023680662828,同一生物样本精确匹配,BaseAccession_only,0,5,Human hippocampus tissue,人海马组织,Human hippocampus tissue,人海马组织,Same three hippocampus samples,normal_tissue,非肿瘤组织,non-tumor tissues,Human hippocampus tissue · PXD050470 / Human hippocampus tissue · PXD050470
PXD063047,normal pregnancy placenta,正常妊娠胎盘 · PXD063047 / 健康人胎盘 · PXD010154,normal placenta tissue,data/PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,294,12,0.0408163265306122,TRUE,PXD010154,data/PXD010154/search_results/extracted_healthy_tissues/placenta/P013680_placenta_proteinGroups.txt,12395,556,0.0448567970956031,-0.00404047056499082,器官组织精确匹配,BaseAccession_only,0,6,Normal-pregnancy placenta,正常妊娠胎盘,Healthy human placenta,健康人胎盘,Independent healthy placenta reference,normal_tissue,非肿瘤组织,non-tumor tissues,Normal-pregnancy placenta · PXD063047 / Healthy human placenta · PXD010154
PXD064912,human sperm,人精子 · PXD064912 / 人精子 · PXD066517,normal human sperm biospecimen,data/PXD064912/supplementary/europepmc/mmc1.xlsx,231,7,0.0303030303030303,TRUE,PXD066517,data/PXD066517/search_results/20240275.tsv,10680,461,0.0431647940074906,-0.0128617637044603,精确生物样本匹配,BaseAccession_only,0,7,Human sperm,人精子,Human sperm,人精子,Independent conventional DIA sperm proteome,normal_tissue,非肿瘤组织,non-tumor tissues,Human sperm · PXD064912 / Human sperm · PXD066517
PXD066054,BPH,良性前列腺增生组织 · PXD066054 / 良性前列腺增生组织 · PXD066054,benign prostatic hyperplasia tissue,data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2118,142,0.0670443814919736,TRUE,PXD066054,data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,8169,408,0.0499449136981271,0.0170994677938465,同研究同样本精确匹配,BaseAccession_only,0,8,Benign prostatic hyperplasia tissue,良性前列腺增生组织,Benign prostatic hyperplasia tissue,良性前列腺增生组织,Same-study NAT1-NAT5 BPH samples,normal_tissue,非肿瘤组织,non-tumor tissues,Benign prostatic hyperplasia tissue · PXD066054 / Benign prostatic hyperplasia tissue · PXD066054
PXD075377,adjacent liver,邻近肝组织 · PXD075377 / 邻近肝组织 · PXD065775,adjacent liver tissue,data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,1775,113,0.0636619718309859,TRUE,PXD065775,data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,4251,194,0.0456363208656787,0.0180256509653073,邻近组织精确匹配,BaseAccession_only,0,9,Adjacent liver tissue,邻近肝组织,Adjacent liver tissue,邻近肝组织,Independent ANTs adjacent-liver cohort,normal_tissue,非肿瘤组织,non-tumor tissues,Adjacent liver tissue · PXD075377 / Adjacent liver tissue · PXD065775
PXD066054,prostate cancer,前列腺癌组织 · PXD066054 / 前列腺癌组织 · PXD066054,prostate cancer tissue,data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2125,143,0.0672941176470588,TRUE,PXD066054,data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,8203,412,0.0502255272461295,0.0170685904009294,同研究同样本精确匹配,BaseAccession_only,0,11,Prostate cancer tissue,前列腺癌组织,Prostate cancer tissue,前列腺癌组织,Same-study PCa1-PCa5 samples,cancer_tissue,肿瘤组织,tumor tissues,Prostate cancer tissue · PXD066054 / Prostate cancer tissue · PXD066054
