PXD,SampleGroup,ReferencePXD,SourceProteinID,IdentifierType,MappedBaseAccessions,IsDdr
PXD033146,pathological rotator cuff tendon,PXD033146,A0A024RBG1,UniProtKB,A0A024RBG1,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A075B6H7,UniProtKB,A0A075B6H7,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A075B6I0,UniProtKB,A0A075B6I0,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A075B6I9,UniProtKB,A0A075B6I9,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A075B6K5,UniProtKB,A0A075B6K5,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A075B6R2,UniProtKB,A0A075B6R2,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A075B6R9,UniProtKB,A0A075B6R9,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A075B6S2,UniProtKB,A0A075B6S2,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A075B6S5,UniProtKB,A0A075B6S5,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A087WSY4,UniProtKB,A0A087WSY4,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A087WSY6,UniProtKB,A0A087WSY6,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A0A0MRZ8,UniProtKB,A0A0A0MRZ8,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A0A0MS15,UniProtKB,A0A0A0MS15,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A0B4J1V0,UniProtKB,A0A0B4J1V0,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A0B4J1V1,UniProtKB,A0A0B4J1V1,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A0B4J1V6,UniProtKB,A0A0B4J1V6,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,A0A0B4J1Y9,UniProtKB,A0A0B4J1Y9,FALSE
