PXD,SampleGroup,RegulatorBaseAccession,GeneSymbol,WholeProteomeRelativePercentile,DetectedSampleCount,QuantSampleCount,DetectedSampleFraction,MedianLog2SignalDetected,Measurement,SourceFile
PXD028488,HCT116,O14929,HAT1,37.2970272295778,1,1,1,2.09942734747767,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,O15379,HDAC3,0,0,1,0,,"",""
PXD028488,HCT116,O60885,BRD4,14.2393205096178,1,1,1,1.75101576555873,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,O75607,NPM3,81.0392205845616,1,1,1,2.75093837403743,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,O95251,KAT7,14.4641518860854,1,1,1,1.75508404224598,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,P05783,KRT18,99.8501124156882,1,1,1,3.65672279136954,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,P41227,NAA10,57.1571321508868,1,1,1,2.37625601612132,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,P42568,MLLT3,0,0,1,0,,"",""
PXD028488,HCT116,P49588,AARS1,89.7826630027479,1,1,1,2.94928284165894,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,P51532,SMARCA4,60.0299775168624,1,1,1,2.41571671098902,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,P56524,HDAC4,0,0,1,0,,"",""
PXD028488,HCT116,Q09472,EP300,0,0,1,0,,"",""
PXD028488,HCT116,Q13547,HDAC1,42.5680739445416,1,1,1,2.1729550140873,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q56NI9,ESCO2,0,0,1,0,,"",""
PXD028488,HCT116,Q5JTZ9,AARS2,19.1356482638021,1,1,1,1.84285868684643,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q5SQI0,ATAT1,3.19760179865101,1,1,1,1.28206431140378,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q8IXJ6,SIRT2,0,0,1,0,,"",""
PXD028488,HCT116,Q8N6T7,SIRT6,6.64501623782163,1,1,1,1.50837176696959,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q8WUI4,HDAC7,0,0,1,0,,"",""
PXD028488,HCT116,Q8WYB5,KAT6B,0,0,1,0,,"",""
PXD028488,HCT116,Q92769,HDAC2,21.2340744441669,1,1,1,1.87859697040786,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q92785,DPF2,46.9897576817387,1,1,1,2.23795487420944,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q92793,CREBBP,0,0,1,0,,"",""
PXD028488,HCT116,Q92794,KAT6A,0,0,1,0,,"",""
PXD028488,HCT116,Q92830,KAT2A,0,0,1,0,,"",""
PXD028488,HCT116,Q92831,KAT2B,0,0,1,0,,"",""
PXD028488,HCT116,Q92993,KAT5,0,0,1,0,,"",""
PXD028488,HCT116,Q969S8,HDAC10,0,0,1,0,,"",""
PXD028488,HCT116,Q96DB2,HDAC11,0,0,1,0,,"",""
PXD028488,HCT116,Q96EB6,SIRT1,22.2083437421934,1,1,1,1.89031617465466,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q99497,PARK7,97.1271546340245,1,1,1,3.25110281248246,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q9BWD1,ACAT2,61.7037222083437,1,1,1,2.44116753454694,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q9BY41,HDAC8,0,0,1,0,,"",""
PXD028488,HCT116,Q9H7Z6,KAT8,15.0637022233325,1,1,1,1.7678337415889,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q9H8E8,CSRP2BP,0,0,1,0,,"",""
PXD028488,HCT116,Q9H8M2,BRD9,0,0,1,0,,"",""
PXD028488,HCT116,Q9H9T3,ELP3,41.1441418935798,1,1,1,2.15074970715721,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD028488,HCT116,Q9NRC8,SIRT7,0,0,1,0,,"",""
PXD028488,HCT116,Q9NTG7,SIRT3,12.6655008743442,1,1,1,1.71597272727568,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
