GroupID,PXD,SampleGroup,ReferencePXD,ReferenceEvidenceFile,NamingBasis,MaterialAssessment,ReadinessCaveat,EvidenceURL
KLA31_01,PXD033146,pathological rotator cuff tendon,PXD033146,data/PXD033146/search_results/search_result-HA119TQ.zip,Matched pathological tendon samples,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD033146
KLA31_02,PXD036307,normal human lung,PXD010154,data/PXD010154/search_results/extracted_healthy_tissues/lung/P013163_lung_proteinGroups.txt,Independent healthy whole-lung reference,consistent_with_registered_material,Organ-matched healthy-tissue atlas; anatomical subregion/placental layer not locked.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010154
KLA31_03,PXD046800,hypertrophic scar,PXD046800,data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Same-study HSP1-HSP4 samples,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD046800
KLA31_04,PXD046800,adjacent skin,PXD046800,data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Same-study NSP1-NSP4 samples,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD046800
KLA31_05,PXD050470,human hippocampus,PXD050470,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,Same three hippocampus samples,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD050470
KLA31_06,PXD063047,normal pregnancy placenta,PXD010154,data/PXD010154/search_results/extracted_healthy_tissues/placenta/P013680_placenta_proteinGroups.txt,Independent healthy placenta reference,consistent_with_registered_material,Organ-matched healthy-tissue atlas; anatomical subregion/placental layer not locked.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010154
KLA31_07,PXD064912,human sperm,PXD066517,data/PXD066517/search_results/20240275.tsv,Independent conventional DIA sperm proteome,consistent_with_registered_material,"Source is sperm, but current table includes L and N samples; donor phenotype of L/N remains unverified. Do not label all as healthy.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD066517
KLA31_08,PXD066054,BPH,PXD066054,data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,Same-study NAT1-NAT5 BPH samples,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD066054
KLA31_09,PXD075377,adjacent liver,PXD065775,data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,Independent ANTs adjacent-liver cohort,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD065775
KLA31_10,PXD064038,MEC and NEC ESCC groups,PXD065830,data/PXD065830/supplementary/Dataset1.xlsx,TCR paper defines MEC/NEC as two ESCC tumor subgroups; combined as one representative ESCC tissue group,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD065830
