"GroupID","RouteTier","RouteSource","InputUnit","StableAnalysisID","WhyThisRoute","CrossSourceMerge","AnalysisReady"
"KLA31_01","strict_raw_reprocess","GSE236746 selected ENA FASTQ","FASTQ to one declared gene-count/TPM pipeline","Ensembl gene ID","The only released matrix is transcript-level ENST FPKM; selected raw reads are needed for gene-level values.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_02","source_release_quantification","GTEx v8 gene reads/TPM","gene reads and TPM as released","Ensembl gene ID","Fixed standard release for normal lung.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_03","source_native_gene_matrix","GSE181540 mRNA Expression Profiling.xlsx","reported Ensembl count columns and FPKM","Ensembl gene ID","The paper documents paired hypertrophic-scar and adjacent full-thickness normal-skin sampling.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_04","source_native_gene_matrix","GSE181540 mRNA Expression Profiling.xlsx","reported Ensembl count columns and FPKM","Ensembl gene ID","The paper documents paired hypertrophic-scar and adjacent full-thickness normal-skin sampling.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_05","source_release_quantification","GTEx v8 gene reads/TPM","gene reads and TPM as released","Ensembl gene ID","Fixed standard release for hippocampus.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_06","uniform_recount3_gene_counts","recount3 SRP148556 G026","gene counts","Ensembl gene ID","All 21 selected SRR accessions are present in the same recount3 gene-count matrix.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_07","uniform_recount3_gene_counts","recount3 SRP014899 G026","gene counts","Ensembl gene ID","All five selected sperm mRNA SRRs are present in the same recount3 gene-count matrix.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_08","source_native_gene_matrix","GSE132714 per-sample RPKM archive","per-sample RPKM","Ensembl gene ID","The source archive contains all 18 selected BPH samples as versioned-Ensembl RPKM files.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_09","source_release_quantification","GDC TCGA-LIHC STAR Counts","STAR gene-count fields","Ensembl gene ID","Adjacent liver must remain TCGA Solid Tissue Normal.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_10","source_release_quantification","GDC TCGA-ESCA STAR Counts","STAR gene-count fields","Ensembl gene ID","ESCC must remain squamous-filtered TCGA-ESCA Primary Tumor.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_11","source_release_quantification","GDC TCGA-PRAD STAR Counts","STAR gene-count fields","Ensembl gene ID","Primary prostate tumour remains TCGA-PRAD.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
