ReferenceKey,GroupIDs,StableID,SampleID,LibrarySize,GenesInput,GenesDetected,ZeroFraction,GenesCPM1,SelectedSamplePerturbation,VehicleExposure
tendon_nondiabetic,KLA31_01,Entrez,GSM7574837,41879029,39376,28906,0.265898008939456,17613,none,FALSE
tendon_nondiabetic,KLA31_01,Entrez,GSM7574838,50765386,39376,25753,0.345972165786266,16282,none,FALSE
tendon_nondiabetic,KLA31_01,Entrez,GSM7574839,35781573,39376,24691,0.372942909386428,17710,none,FALSE
sperm_GroupI,KLA31_07,Entrez,GSM1602978,8982170,39376,23589,0.400929500203169,16231,none,FALSE
sperm_GroupI,KLA31_07,Entrez,GSM1602981,9213712,39376,25572,0.350568874441284,17254,none,FALSE
sperm_GroupI,KLA31_07,Entrez,GSM1602982,6872019,39376,22840,0.419951239333604,15234,none,FALSE
sperm_GroupI,KLA31_07,Entrez,GSM1602983,11207739,39376,21583,0.451874238114588,14461,none,FALSE
MCF7_DMSO7d,KLA31_13,Entrez,GSM4763907,21405546,39376,21259,0.460102600568875,14091,vehicle only,TRUE
MCF7_DMSO7d,KLA31_13,Entrez,GSM4763908,28995574,39376,21786,0.446718813490451,14222,vehicle only,TRUE
MCF7_DMSO7d,KLA31_13,Entrez,GSM4763909,35713512,39376,22616,0.425639983746445,14259,vehicle only,TRUE
HCT116_control,KLA31_14;KLA31_15;KLA31_16,Ensembl,GSM8026675,16804669,58735,25159,0.571652336766834,14352,none,FALSE
HCT116_control,KLA31_14;KLA31_15;KLA31_16,Ensembl,GSM8026676,17727244,58735,24210,0.587809653528561,13780,none,FALSE
HCT116_control,KLA31_14;KLA31_15;KLA31_16,Ensembl,GSM8026677,17107027,58735,24967,0.574921256491019,14027,none,FALSE
HepG2_DMSO24h,KLA31_18,Entrez,GSM4802741,18036196,39376,18509,0.529942096708655,10763,vehicle only,TRUE
HepG2_DMSO24h,KLA31_18,Entrez,GSM4802742,20412488,39376,19165,0.513282202356766,11202,vehicle only,TRUE
HepG2_DMSO24h,KLA31_18,Entrez,GSM4802743,18862275,39376,19054,0.516101178382771,11274,vehicle only,TRUE
MDAMB468_DMSO7d,KLA31_20,Entrez,GSM4763917,17175492,39376,19926,0.493955709061357,13532,vehicle only,TRUE
MDAMB468_DMSO7d,KLA31_20,Entrez,GSM4763918,19508855,39376,20207,0.486819382364892,13593,vehicle only,TRUE
MDAMB468_DMSO7d,KLA31_20,Entrez,GSM4763919,27171496,39376,21324,0.458451848841934,13748,vehicle only,TRUE
PC3M_DMSO,KLA31_22,Entrez,GSM7506018,36562068,39376,21879,0.444356968711906,13943,vehicle only,TRUE
PC3M_DMSO,KLA31_22,Entrez,GSM7506019,42591849,39376,22283,0.434096911824462,14002,vehicle only,TRUE
PC3M_DMSO,KLA31_22,Entrez,GSM7506020,34668945,39376,21993,0.441461804144657,14036,vehicle only,TRUE
RKO_DMSO,KLA31_24,Ensembl,GSM9499692,15778418,58735,20984,0.642734315144292,12626,vehicle only,TRUE
RKO_DMSO,KLA31_24,Ensembl,GSM9499693,15480220,58735,21397,0.635702732612582,12646,vehicle only,TRUE
RKO_DMSO,KLA31_24,Ensembl,GSM9499694,15343614,58735,21196,0.639124882948838,12626,vehicle only,TRUE
HK2_untreated,KLA31_27;KLA31_28,Entrez,GSM7708662,26399943,39376,23234,0.409945144250305,14865,none,FALSE
HK2_untreated,KLA31_27;KLA31_28,Entrez,GSM7708663,28346510,39376,23491,0.403418325883787,14945,none,FALSE
HK2_untreated,KLA31_27;KLA31_28,Entrez,GSM7708664,26960660,39376,23960,0.391507517269403,15081,none,FALSE
HUVEC_untreated,KLA31_31,Entrez,GSM6176178,14898846,39376,21083,0.46457232832182,14350,none,FALSE
HUVEC_untreated,KLA31_31,Entrez,GSM6176183,8533966,39376,18483,0.530602397399431,13409,none,FALSE
HUVEC_untreated,KLA31_31,Entrez,GSM6176188,13235029,39376,20426,0.481257618854124,13978,none,FALSE
HUVEC_untreated,KLA31_31,Entrez,GSM6176193,17121485,39376,21113,0.463810442909387,14155,none,FALSE
