PXD,SampleGroup,GroupID,SampleID,DDRExpressionMedian,DdrFractionPercentage,ReferenceKey,GroupIDs,Category,ReferenceLabelEn,RowOrder,CategoryLabel
PXD028488,HCT116,KLA31_14,HCT_NC_1,5.02870062810244,3.0328418230563,HCT116_control,KLA31_14;KLA31_15;KLA31_16,cancer_cells,HCT116 cells,15,"cancer
cell lines"
PXD028488,HCT116,KLA31_14,HCT_NC_2,4.97473623986131,3.02446380697051,HCT116_control,KLA31_14;KLA31_15;KLA31_16,cancer_cells,HCT116 cells,15,"cancer
cell lines"
PXD028488,HCT116,KLA31_14,HCT_NC_3,4.96949155409674,3.0328418230563,HCT116_control,KLA31_14;KLA31_15;KLA31_16,cancer_cells,HCT116 cells,15,"cancer
cell lines"
PXD028488,HEK293T,KLA31_25,GSM6175912,5.15505111420006,2.95906625020549,GSE203529_HEK293T_WT,KLA31_25,normal_cells,HEK293T cells (control lysate),28,"normal
cell lines"
PXD028488,HEK293T,KLA31_25,GSM6175918,5.17732557163881,2.9508466217327,GSE203529_HEK293T_WT,KLA31_25,normal_cells,HEK293T cells (control lysate),28,"normal
cell lines"
PXD028488,HEK293T,KLA31_25,GSM6175922,5.16033143472305,2.95906625020549,GSE203529_HEK293T_WT,KLA31_25,normal_cells,HEK293T cells (control lysate),28,"normal
cell lines"
PXD028488,TALL-104,KLA31_17,8486_Tall,5.19456710379611,3.27675410728874,GSE163787_TALL104,KLA31_17,cancer_cells,TALL-104 cells (sodium lactate),18,"cancer
cell lines"
PXD028737,HMC3,KLA31_26,VEH_1,5.43235951310292,3.11719624558684,GSE275256_HMC3_vehicle,KLA31_26,normal_cells,HMC3 cells (normoxia and hypoxia),29,"normal
cell lines"
PXD028737,HMC3,KLA31_26,VEH_2,5.39967329183007,3.12580728493929,GSE275256_HMC3_vehicle,KLA31_26,normal_cells,HMC3 cells (normoxia and hypoxia),29,"normal
cell lines"
PXD028737,HMC3,KLA31_26,VEH_3,5.41616015341987,3.12580728493929,GSE275256_HMC3_vehicle,KLA31_26,normal_cells,HMC3 cells (normoxia and hypoxia),29,"normal
cell lines"
