GroupID,ReferenceKey,PXD,SampleGroup,Category,CategoryLabel,ReferenceLabelEn,RowOrder,KlaExpressionMedian,KlaExpressionMean,KlaExpressionSD,KlaExpressionSEM,KlaExpressionIQR,N,X
KLA31_14,HCT116_control,PXD028488,HCT116,cancer_cells,"cancer
cell lines",HCT116 cells,15,4.58988092077036,4.59307115917343,0.00847825646795302,0.00489492365403136,0.00801546111805518,3,4
KLA31_25,GSE203529_HEK293T_WT,PXD028488,HEK293T,normal_cells,"normal
cell lines",HEK293T cells (control lysate),28,4.75375010222184,4.75808138198928,0.0149751719755788,0.00864591957126139,0.0144977856026447,3,3
KLA31_17,GSE163787_TALL104,PXD028488,TALL-104,cancer_cells,"cancer
cell lines",TALL-104 cells (sodium lactate),18,4.78609203291233,4.78609203291233,,,0,1,4
KLA31_26,GSE275256_HMC3_vehicle,PXD028737,HMC3,normal_cells,"normal
cell lines",HMC3 cells (normoxia and hypoxia),29,5.00386342977333,4.9996593950149,0.00988038475608669,0.00570444279862373,0.0091851277476529,3,3
KLA31_01,tendon_nondiabetic,PXD033146,pathological rotator cuff tendon,normal_tissue,"non-tumor
tissues",Pathological rotator-cuff tendon,1,4.01361257651468,4.02048089604798,0.0426606123050117,0.0246301159980928,0.0422439046766501,3,1
KLA31_02,GTEx_v8_Lung,PXD036307,normal human lung,normal_tissue,"non-tumor
tissues",Healthy human lung tissue,2,4.19878465656866,4.197873671027,0.0402215706927136,0.00167299678745835,0.0539537717010195,578,1
KLA31_04,GSE181540_adjacent_NS_input,PXD046800,adjacent skin,normal_tissue,"non-tumor
tissues",Adjacent skin tissue,4,4.74243911863234,4.75171891011057,0.0220858089796725,0.0127512477596846,0.0205717539572321,3,1
KLA31_03,GSE181540_HS_input,PXD046800,hypertrophic scar,normal_tissue,"non-tumor
tissues",Hypertrophic scar tissue,3,4.57291454603702,4.56546496046153,0.0221272411087656,0.0127751686105696,0.0211658346197501,3,1
KLA31_18,HepG2_DMSO24h,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"cancer
cell lines","HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",19,2.6028459761494,2.6031366898631,0.00392709149817985,0.00226730733360643,0.00391901285881691,3,4
KLA31_05,GTEx_v8_Hippocampus,PXD050470,human hippocampus,normal_tissue,"non-tumor
tissues",Human hippocampus tissue,5,3.12470406917595,3.13231772304396,0.0457070645161284,0.00325649351038121,0.0608480143053098,197,1
KLA31_19,GSE171750_A549_untreated,PXD054919,A549,cancer_cells,"cancer
cell lines",A549 cells,20,4.85194198781049,4.84812719746509,0.00945868681987814,0.00546097538163701,0.00886297282642978,3,4
KLA31_27,HK2_untreated,PXD058534,pretreated HK-2,normal_cells,"normal
cell lines",Untreated HK-2 cells,30,4.75215507055292,4.75293217769665,0.00276368958707407,0.00159561692705378,0.00268049594274533,3,3
KLA31_29,GSE103520_MCF10A_control,PXD060185,MCF10A,normal_cells,"normal
cell lines",MCF10A cells (baseline),32,2.64177786127332,2.64838933948048,0.0179380904961692,0.0103565613767112,0.01699974580945,3,3
KLA31_13,MCF7_DMSO7d,PXD060185,MCF7,cancer_cells,"cancer
cell lines",MCF7 cells,14,4.30043511537305,4.30482649834501,0.0110022521145185,0.00635215322000939,0.0103240674293925,3,4
KLA31_20,MDAMB468_DMSO7d,PXD060185,MDA-MB-468,cancer_cells,"cancer
cell lines",MDA-MB-468 cells,21,4.52906455709103,4.52207651333427,0.0122168825598318,0.00705342043457696,0.01061261762342,3,4
KLA31_21,GSE283812_T47D_vehicle,PXD060185,T-47D,cancer_cells,"cancer
cell lines",T-47D cells,22,5.09805733987187,5.09899510127731,0.00771086056321611,0.00385543028160805,0.0110091844479223,4,4
KLA31_06,GSE114691_control_placenta,PXD063047,normal pregnancy placenta,normal_tissue,"non-tumor
tissues",Healthy human placenta,6,3.62705475585602,3.62769681682468,0.0190602452036029,0.00415928649571092,0.0298275945030548,21,1
KLA31_22,PC3M_DMSO,PXD063266,PC-3M,cancer_cells,"cancer
cell lines",Heavy SILAC-labeled PC-3M cells,23,4.5706265070631,4.56968057771414,0.00592458908345899,0.00342056310217296,0.00586768004052019,3,4
KLA31_10,TCGA_ESCA_ESCC,PXD064038,MEC and NEC ESCC groups,cancer_tissue,"tumor
tissues",Independent ESCC tumor whole proteome,10,4.34146827788851,4.3411706355047,0.0540459619513261,0.00554499869796785,0.0710778683806925,95,2
KLA31_07,sperm_GroupI,PXD064912,human sperm,normal_tissue,"non-tumor
tissues",Human sperm,7,2.79477632369786,2.77653304132055,0.0545590186780382,0.0272795093390191,0.0587080580201342,4,1
KLA31_08,GSE132714_BPH,PXD066054,BPH,normal_tissue,"non-tumor
tissues",Benign prostatic hyperplasia tissue,8,4.30822615920829,4.30308012919109,0.0571394639872331,0.013467900819579,0.0730989264208164,18,1
KLA31_11,TCGA_PRAD_primary,PXD066054,prostate cancer,cancer_tissue,"tumor
tissues",Prostate cancer tissue,11,4.21229244150263,4.21090129225841,0.0566967464452071,0.00253302382451352,0.0652281998388595,501,2
KLA31_23,GSE266884_MES28_vector_control,PXD070007,glioblastoma stem cells,cancer_cells,"cancer
cell lines",Glioblastoma stem-cell models,24,4.48441181631181,4.48313201924166,0.00985966069984078,0.00492983034992039,0.00708293900592594,4,4
KLA31_30,GSE119834_NSC,PXD070007,neural stem cells,normal_cells,"normal
cell lines",Neural stem-cell models,33,3.05181041720212,3.05526331874997,0.0562496937180756,0.0198872699338588,0.0884492914809836,8,3
KLA31_31,HUVEC_untreated,PXD073311,HUVEC control and Pg infection,normal_cells,"normal
cell lines",HUVECs (A0h baseline),34,4.36861549749768,4.37789520940883,0.0433046637787419,0.021652331889371,0.0603230625706228,4,3
KLA31_12,TCGA_LIHC_primary,PXD075377,HCC,cancer_tissue,"tumor
tissues",Primary HCC tissue,12,3.57993600436706,3.58186004616927,0.0585976781185207,0.00304223986539575,0.0766393403648298,371,2
KLA31_09,TCGA_LIHC_normal,PXD075377,adjacent liver,normal_tissue,"non-tumor
tissues",Adjacent liver tissue,9,3.06330356603296,3.06359312368641,0.0341275670111088,0.00482636681179067,0.042816677648394,50,1
KLA31_24,RKO_DMSO,PXD078013,RKO WT and GSK3B KO,cancer_cells,"cancer
cell lines",RKO cells,25,4.53832161934781,4.54369875651923,0.0231473620246514,0.0133641356959622,0.0226741078232431,3,4
