PXD,SampleGroup,GroupID,SampleID,KlaExpressionMedian,ReferenceKey,GroupIDs,Category,ReferenceLabelEn,RowOrder,CategoryLabel
PXD028488,HCT116,KLA31_14,HCT_NC_1,4.58988092077036,HCT116_control,KLA31_14;KLA31_15;KLA31_16,cancer_cells,HCT116 cells,15,"cancer
cell lines"
PXD028488,HCT116,KLA31_14,HCT_NC_2,4.60268173949302,HCT116_control,KLA31_14;KLA31_15;KLA31_16,cancer_cells,HCT116 cells,15,"cancer
cell lines"
PXD028488,HCT116,KLA31_14,HCT_NC_3,4.58665081725691,HCT116_control,KLA31_14;KLA31_15;KLA31_16,cancer_cells,HCT116 cells,15,"cancer
cell lines"
PXD028488,HEK293T,KLA31_25,GSM6175912,4.77474480747565,GSE203529_HEK293T_WT,KLA31_25,normal_cells,HEK293T cells (control lysate),28,"normal
cell lines"
PXD028488,HEK293T,KLA31_25,GSM6175918,4.75375010222184,GSE203529_HEK293T_WT,KLA31_25,normal_cells,HEK293T cells (control lysate),28,"normal
cell lines"
PXD028488,HEK293T,KLA31_25,GSM6175922,4.74574923627036,GSE203529_HEK293T_WT,KLA31_25,normal_cells,HEK293T cells (control lysate),28,"normal
cell lines"
PXD028488,TALL-104,KLA31_17,8486_Tall,4.78609203291233,GSE163787_TALL104,KLA31_17,cancer_cells,TALL-104 cells (sodium lactate),18,"cancer
cell lines"
PXD028737,HMC3,KLA31_26,VEH_1,5.00386342977333,GSE275256_HMC3_vehicle,KLA31_26,normal_cells,HMC3 cells (normoxia and hypoxia),29,"normal
cell lines"
PXD028737,HMC3,KLA31_26,VEH_2,5.00674250538333,GSE275256_HMC3_vehicle,KLA31_26,normal_cells,HMC3 cells (normoxia and hypoxia),29,"normal
cell lines"
PXD028737,HMC3,KLA31_26,VEH_3,4.98837224988803,GSE275256_HMC3_vehicle,KLA31_26,normal_cells,HMC3 cells (normoxia and hypoxia),29,"normal
cell lines"
PXD033146,pathological rotator cuff tendon,KLA31_01,GSM7574837,4.01361257651468,tendon_nondiabetic,KLA31_01,normal_tissue,Pathological rotator-cuff tendon,1,"non-tumor
tissues"
PXD033146,pathological rotator cuff tendon,KLA31_01,GSM7574838,3.98167115113798,tendon_nondiabetic,KLA31_01,normal_tissue,Pathological rotator-cuff tendon,1,"non-tumor
tissues"
PXD033146,pathological rotator cuff tendon,KLA31_01,GSM7574839,4.06615896049128,tendon_nondiabetic,KLA31_01,normal_tissue,Pathological rotator-cuff tendon,1,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-111CU-0326-SM-5GZXO,4.27448093143318,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-111FC-1126-SM-5GZWU,4.18000105146993,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-111VG-0726-SM-5GIDC,4.13792222552673,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-111YS-0626-SM-5GZXV,4.23943522188779,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1122O-0126-SM-5GICA,4.16585470526589,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1128S-0726-SM-5N9D6,4.16832660420911,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-117YW-0526-SM-5H11C,4.1557305131255,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-117YX-1326-SM-5H125,4.22496486610738,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11DXX-0626-SM-5Q5AG,4.20371436888028,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11DXZ-0726-SM-5N9C4,4.22635862942971,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11DZ1-0426-SM-5H11A,4.18969484065558,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11EI6-0826-SM-5985V,4.14212917207825,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11EMC-0126-SM-5EGKV,4.20529276353932,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11EQ9-0226-SM-5A5JX,4.26424803376546,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11GSP-0726-SM-5986L,4.21092488530474,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11I78-0126-SM-5HL6F,4.16726149758668,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11LCK-0426-SM-5A5M8,4.25266829909238,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11NSD-0326-SM-5A5LS,4.16620640934938,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11NUK-0826-SM-5HL4U,4.18000884803335,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11NV4-1126-SM-5HL6J,4.17499328930085,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11O72-1326-SM-5BC5A,4.23851927842373,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11OF3-1126-SM-5986C,4.24357599015269,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11P7K-0326-SM-59871,4.17639752038059,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11P81-0226-SM-5HL5M,4.20777079337256,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11PRG-0926-SM-5EGI8,4.13862853310486,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11TT1-1626-SM-5EQL7,4.25931744946303,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
