PXD,SampleGroup,GroupID,ReferenceKey,RegulatorBaseAccession,Role,DisplayName,GeneSymbol,EnsemblGeneID,QsmoothLog2TPM,Category,ReferenceLabelEn,RowOrder,QsmoothZScore
PXD028488,HCT116,KLA31_14,HCT116_control,O14929,Writer,HAT1,HAT1,ENSG00000128708,5.66604042827181,cancer_cells,HCT116 cells,15,0.758679629056872
PXD028488,HCT116,KLA31_14,HCT116_control,O15379,Writer-Eraser,HDAC3,HDAC3,ENSG00000171720,5.76024592891185,cancer_cells,HCT116 cells,15,0.758345782793443
PXD028488,HCT116,KLA31_14,HCT116_control,O60885,Reader,BRD4,BRD4,ENSG00000141867,4.3522673607379,cancer_cells,HCT116 cells,15,-0.101198724304499
PXD028488,HCT116,KLA31_14,HCT116_control,O75607,Writer,NPM3,NPM3,ENSG00000107833,8.89130395917116,cancer_cells,HCT116 cells,15,1.70034033739593
PXD028488,HCT116,KLA31_14,HCT116_control,O95251,Writer,KAT7,KAT7,ENSG00000136504,4.41867525395621,cancer_cells,HCT116 cells,15,0.681482581943876
PXD028488,HCT116,KLA31_14,HCT116_control,P05783,Writer,KRT18,KRT18,ENSG00000111057,9.46480764424408,cancer_cells,HCT116 cells,15,0.789586880339137
PXD028488,HCT116,KLA31_14,HCT116_control,P41227,Writer,NAA10,NAA10,ENSG00000102030,4.5266917312,cancer_cells,HCT116 cells,15,0.133981005676983
PXD028488,HCT116,KLA31_14,HCT116_control,P42568,Reader,MLLT3,MLLT3,ENSG00000171843,2.165679895619,cancer_cells,HCT116 cells,15,-0.277989572049363
PXD028488,HCT116,KLA31_14,HCT116_control,P49588,Writer,AARS1,AARS1,ENSG00000090861,7.56487129368853,cancer_cells,HCT116 cells,15,1.27388008016107
PXD028488,HCT116,KLA31_14,HCT116_control,P51532,Reader,SMARCA4,SMARCA4,ENSG00000127616,5.35061297561842,cancer_cells,HCT116 cells,15,0.381647624676468
PXD028488,HCT116,KLA31_14,HCT116_control,P56524,Eraser,HDAC4,HDAC4,ENSG00000068024,2.98997636433815,cancer_cells,HCT116 cells,15,0.518582463754369
PXD028488,HCT116,KLA31_14,HCT116_control,Q09472,Writer,EP300,EP300,ENSG00000100393,5.20198527904691,cancer_cells,HCT116 cells,15,0.312643394417857
PXD028488,HCT116,KLA31_14,HCT116_control,Q13547,Writer-Eraser,HDAC1,HDAC1,ENSG00000116478,8.01562151323772,cancer_cells,HCT116 cells,15,1.00113007285555
PXD028488,HCT116,KLA31_14,HCT116_control,Q56NI9,Writer,ESCO2,ESCO2,ENSG00000171320,4.28429558547559,cancer_cells,HCT116 cells,15,1.13777760091919
PXD028488,HCT116,KLA31_14,HCT116_control,Q5JTZ9,Writer,AARS2,AARS2,ENSG00000124608,3.87870024891525,cancer_cells,HCT116 cells,15,0.121581539030437
