ReferenceKey,SameKeys,MaxAbsLog2Change
GSE103520_MCF10A_control,TRUE,0
GSE114691_control_placenta,TRUE,0
GSE119834_NSC,TRUE,0
GSE132714_BPH,TRUE,6.5011661236036
GSE163787_TALL104,TRUE,5.2195133260099
GSE171750_A549_untreated,TRUE,0
GSE181540_adjacent_NS_input,TRUE,0
GSE181540_HS_input,TRUE,0
GSE203529_HEK293T_WT,TRUE,0
GSE266884_MES28_vector_control,TRUE,0
GSE275256_HMC3_vehicle,TRUE,0
GSE283812_T47D_vehicle,TRUE,0
GTEx_v8_Hippocampus,TRUE,0
GTEx_v8_Lung,TRUE,0
HCT116_control,TRUE,0
HepG2_DMSO24h,TRUE,0
HK2_untreated,TRUE,0
HUVEC_untreated,TRUE,0
MCF7_DMSO7d,TRUE,0
MDAMB468_DMSO7d,TRUE,0
PC3M_DMSO,TRUE,0
RKO_DMSO,TRUE,0
sperm_GroupI,TRUE,0
TCGA_ESCA_ESCC,TRUE,0
TCGA_LIHC_normal,TRUE,0
TCGA_LIHC_primary,TRUE,0
TCGA_PRAD_primary,TRUE,0
tendon_nondiabetic,TRUE,0
