Ensembl,Symbol,Module,Term,Origin
ENSG00000132326,PER2,lactate metabolic process,GO:0006089,GO annotation
ENSG00000134333,LDHA,lactate metabolic process,GO:0006089,GO annotation
ENSG00000288299,LDHA,lactate metabolic process,GO:0006089,GO annotation
ENSG00000111716,LDHB,lactate metabolic process,GO:0006089,GO annotation
ENSG00000166796,LDHC,lactate metabolic process,GO:0006089,GO annotation
ENSG00000166800,LDHAL6A,lactate metabolic process,GO:0006089,GO annotation
ENSG00000166816,LDHD,lactate metabolic process,GO:0006089,GO annotation
ENSG00000180902,D2HGDH,lactate metabolic process,GO:0006089,GO annotation
ENSG00000116288,PARK7,lactate metabolic process,GO:0006089,GO annotation
ENSG00000171989,LDHAL6B,lactate metabolic process,GO:0006089,GO annotation
ENSG00000124532,MRS2,lactate metabolic process,GO:0006089,GO annotation
ENSG00000109107,ALDOC,gluconeogenesis,GO:0006094,GO annotation
ENSG00000074800,ENO1,gluconeogenesis,GO:0006094,GO annotation
ENSG00000146701,MDH2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000282019,GPI,gluconeogenesis,GO:0006094,GO annotation
ENSG00000100889,PCK2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000285241,PCK2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000120053,GOT1,gluconeogenesis,GO:0006094,GO annotation
ENSG00000105220,GPI,gluconeogenesis,GO:0006094,GO annotation
ENSG00000136872,ALDOB,gluconeogenesis,GO:0006094,GO annotation
ENSG00000165140,FBP1,gluconeogenesis,GO:0006094,GO annotation
ENSG00000124253,PCK1,gluconeogenesis,GO:0006094,GO annotation
ENSG00000173599,PC,gluconeogenesis,GO:0006094,GO annotation
ENSG00000111640,GAPDH,gluconeogenesis,GO:0006094,GO annotation
ENSG00000108515,ENO3,gluconeogenesis,GO:0006094,GO annotation
ENSG00000131482,G6PC1,gluconeogenesis,GO:0006094,GO annotation
ENSG00000109819,PPARGC1A,gluconeogenesis,GO:0006094,GO annotation
ENSG00000111674,ENO2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000008405,CRY1,gluconeogenesis,GO:0006094,GO annotation
ENSG00000149925,ALDOA,gluconeogenesis,GO:0006094,GO annotation
ENSG00000266953,pgi,gluconeogenesis,GO:0006094,GO annotation
ENSG00000130957,FBP2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000105679,GAPDHS,gluconeogenesis,GO:0006094,GO annotation
ENSG00000132326,PER2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000281500,SLC37A4,gluconeogenesis,GO:0006094,GO annotation
ENSG00000123836,PFKFB2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000102144,PGK1,gluconeogenesis,GO:0006094,GO annotation
ENSG00000138207,RBP4,gluconeogenesis,GO:0006094,GO annotation
ENSG00000170950,PGK2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000164708,PGAM2,gluconeogenesis,GO:0006094,GO annotation
ENSG00000158571,PFKFB1,gluconeogenesis,GO:0006094,GO annotation
