EvidenceID	Source	EvidenceType	Model	SupportedClaim	Boundary
PMID28985563	https://pubmed.ncbi.nlm.nih.gov/28985563/	primary isotope tracing	human NSCLC and mouse tumors	Lactate carbon can contribute to tumor TCA metabolites	Does not establish flux in this liver/prostate RNA collection
PMID39561764	https://pubmed.ncbi.nlm.nih.gov/39561764/	primary biochemical and cellular study	brain tumor models	ACSS2 lactyl-CoA synthesis and KAT2A coupling reported	RNA cannot establish nuclear localization or substrate-specific activity
PMID39642882	https://pmc.ncbi.nlm.nih.gov/articles/PMC11798710/	primary structure and mechanism	glioma models	Nuclear GTPSCS involving SUCLG1/SUCLG2 can synthesize lactyl-CoA	Canonical mitochondrial function and nuclear noncanonical activity must be distinguished
DOI07992	https://www.nature.com/articles/s41586-024-07992-y	primary biochemical and cellular study	purified enzymes; cells; mice	AARS1/2 ATP-dependent lactylation through lactyl-AMP formation	Not proof of dominance in every tissue or condition
PMID31767537	https://pubmed.ncbi.nlm.nih.gov/31767537/	primary metabolic and cellular study	GLO2 perturbation in cells	LGSH can transfer a lactoyl group to lysine; GLO2 hydrolysis generates D-lactate	D branch distinct from main L-lactate route; MS isomer resolution not established here
PMID30931947	https://pubmed.ncbi.nlm.nih.gov/30931947/	primary human genetic and functional study	human LDHD loss-of-function and zebrafish	LDHD deficiency associated with increased D-lactate	Not an L-lactate oxidation marker
PMID11788376	https://pubmed.ncbi.nlm.nih.gov/11788376/	primary isotope and renal balance study	24 postabsorptive humans	Kidney contributes to lactate disposal and gluconeogenesis	Organ contributions depend on physiological state; do not use fixed 90/10 weights
PMID35562085	https://pubmed.ncbi.nlm.nih.gov/35562085/	primary isotope tracer study	6 fasting healthy humans	Glycerol can contribute carbon to lactate outside glucose intermediate	Whole-body observation cannot assign flux to each tissue in this project
PMID11101640	https://pubmed.ncbi.nlm.nih.gov/11101640/	primary transporter characterization	human MCT4 in Xenopus oocytes	Human MCT4 has measured lactate transport activity	Expression alone does not fix net transport direction
PMID28425966	https://pubmed.ncbi.nlm.nih.gov/28425966/	primary randomized metabolic study	sedentary men; glucose-fructose ingestion/exercise	Nutrient supply and exercise affect lactate appearance/disposal	Does not quantify fructose flux in stored tumor RNA
Reactome70221	https://reactome.org/content/detail/R-HSA-70221	curated human pathway	human biochemistry	Glycogen breakdown feeds glucose phosphate pools	Potential upstream carbon supply; not a measured lactate contribution
Reactome70350	https://reactome.org/content/detail/R-HSA-70350	curated human pathway	human liver kidney intestine	Fructose catabolism feeds glycolytic triose intermediates	Main route represented; minor alternatives not claimed absent
Reactome70268	https://reactome.org/content/detail/R-HSA-70268	curated human pathway	human biochemistry	Pyruvate links oxidation gluconeogenesis and other reactions	Shared carbon node rather than lactate-specific activity
PMC11888385	https://pmc.ncbi.nlm.nih.gov/articles/PMC11888385/	primary competing mechanism study	cell and biochemical experimental contexts	Multiple mechanisms and context-dependent contributions to lactylation reported	No universal ranking of lactylation mechanisms inferred; existing writer panel not reanalyzed
