GroupID,ReferenceKey,SharedReference,PXD,SampleGroup,KlaProteinCount,ReferenceProteinCount,KlaDdrProteinCount,KlaDdrFraction,ReferenceDdrProteinCount,ReferenceDdrFraction,ReferencePXD,ReferenceMatchNote,MetricBoundary
KLA31_01,tendon_nondiabetic,FALSE,PXD033146,pathological rotator cuff tendon,571,3984,30,0.0525394045534151,154,0.0386546184738956,PXD033146,同研究同样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_02,GTEx_v8_Lung,FALSE,PXD036307,normal human lung,474,14022,31,0.0654008438818565,668,0.0476394237626587,PXD010154,器官组织精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_03,GSE181540_HS_input,FALSE,PXD046800,hypertrophic scar,402,2193,19,0.0472636815920398,83,0.0378476972184223,PXD046800,同研究同样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_04,GSE181540_adjacent_NS_input,FALSE,PXD046800,adjacent skin,527,2205,31,0.0588235294117647,89,0.0403628117913832,PXD046800,同研究同样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_05,GTEx_v8_Hippocampus,FALSE,PXD050470,human hippocampus,853,6082,29,0.0339976553341149,219,0.0360078921407432,PXD050470,同一生物样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_06,GSE114691_control_placenta,FALSE,PXD063047,normal pregnancy placenta,294,12395,12,0.0408163265306122,556,0.0448567970956031,PXD010154,器官组织精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_07,sperm_GroupI,FALSE,PXD064912,human sperm,231,10680,7,0.0303030303030303,461,0.0431647940074906,PXD066517,精确生物样本匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_08,GSE132714_BPH,FALSE,PXD066054,BPH,2118,8169,142,0.0670443814919736,408,0.0499449136981271,PXD066054,同研究同样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_09,TCGA_LIHC_normal,FALSE,PXD075377,adjacent liver,1775,4251,113,0.0636619718309859,194,0.0456363208656787,PXD065775,邻近组织精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_10,TCGA_ESCA_ESCC,FALSE,PXD064038,MEC and NEC ESCC groups,1239,8083,92,0.0742534301856336,420,0.0519609056043548,PXD065830,"External ESCC tumor ordinary-proteome reference from iProX/PXD065830 Dataset1.xlsx, sheet 2.a protein raw information: only the 94 ESCC T samples are used; the 24 N non-tumor samples are excluded. The T union contains 8083 BaseAccessions and 420 DDR BaseAccessions. This is an independent ESCC tumor cohort, not a same-specimen paired measurement; comparison is by BaseAccession. PXD053809 is not selected because its deposited processed XLS is encrypted and is not currently auditable; PXD010154 remains healthy-esophagus background only.",Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_11,TCGA_PRAD_primary,FALSE,PXD066054,prostate cancer,2125,8203,143,0.0672941176470588,412,0.0502255272461295,PXD066054,同研究同样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_12,TCGA_LIHC_primary,FALSE,PXD075377,HCC,1798,5188,121,0.0672969966629588,271,0.0522359290670779,PXD065775,疾病组织精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_13,MCF7_DMSO7d,FALSE,PXD060185,MCF7,1235,3099,132,0.106882591093117,209,0.0674411100354953,PXD030304,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_14,HCT116_control,TRUE,PXD028488,HCT116,240,4010,30,0.125,273,0.0680798004987531,PXD030304,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_15,HCT116_control,TRUE,PXD053474,HCT116,590,4010,65,0.110169491525424,273,0.0680798004987531,PXD030304,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_16,HCT116_control,TRUE,PXD066351,HCT116 control and Roseburia co-culture,2398,8130,253,0.105504587155963,504,0.0619926199261993,PXD066351,同研究同样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_17,GSE163787_TALL104,FALSE,PXD028488,TALL-104,368,3734,37,0.10054347826087,253,0.0677557579003749,PXD028488,同研究同样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_18,HepG2_DMSO24h,FALSE,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,2602,6772,285,0.109531129900077,450,0.0664500886001181,PXD050147,同研究但方法属性需确认,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_19,GSE171750_A549_untreated,FALSE,PXD054919,A549,1220,3448,116,0.0950819672131148,226,0.0655452436194896,PXD030304,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_20,MDAMB468_DMSO7d,FALSE,PXD060185,MDA-MB-468,1612,3760,196,0.121588089330025,230,0.0611702127659574,PXD030304,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
