Ensembl,Symbol,MaxAbsADelta,MaterialSpearman
ENSG00000004799,PDK4,1.82812339710736e-08,1
ENSG00000004864,SLC25A13,0,1
ENSG00000005882,PDK2,0,1
ENSG00000008405,CRY1,0,1
ENSG00000014641,MDH1,0,1
ENSG00000060762,MPC1,0,1
ENSG00000062485,CS,0,1
ENSG00000063854,HAGH,0,1
ENSG00000067057,PFKP,0,1
ENSG00000067225,PKM,0,1
ENSG00000067829,IDH3G,0,1
ENSG00000067992,PDK3,0,1
ENSG00000068976,PYGM,2.62596250300007e-08,0.999863154292893
ENSG00000073578,SDHA,0,1
ENSG00000074800,ENO1,0,1
ENSG00000076555,ACACB,0,1
ENSG00000079739,PGM1,0,1
ENSG00000087299,L2HGDH,0,1
ENSG00000090861,AARS1,0,1
ENSG00000091140,DLD,0,1
ENSG00000091483,FH,0,1
ENSG00000100156,SLC16A8,3.67960729663608e-08,0.99230757807341
ENSG00000100412,ACO2,0,1
ENSG00000100504,PYGL,0,1
ENSG00000100889,PCK2,0,1
ENSG00000100994,PYGB,0,1
ENSG00000101365,IDH3B,0,1
ENSG00000102144,PGK1,0,1
ENSG00000104635,SLC39A14,0,1
ENSG00000105220,GPI,0,1
ENSG00000105679,GAPDHS,6.50641980293187e-08,0.983442564415485
ENSG00000105953,OGDH,0,1
ENSG00000106633,GCK,3.12995159790219e-08,0.960067503556278
ENSG00000108515,ENO3,2.32436440095185e-08,1
ENSG00000108528,SLC25A11,0,1
ENSG00000109107,ALDOC,0,1
ENSG00000109819,PPARGC1A,2.67758879513025e-08,0.998630699070153
ENSG00000111640,GAPDH,0,1
ENSG00000111669,TPI1,0,1
ENSG00000111674,ENO2,0,1
ENSG00000111716,LDHB,2.61845789495396e-08,0.999452504749544
ENSG00000112992,NNT,2.67758879513025e-08,0.999863154292893
ENSG00000114021,NIT2,0,1
ENSG00000114268,PFKFB4,0,1
ENSG00000115159,GPD2,1.82812339710736e-08,1
ENSG00000116288,PARK7,0,1
ENSG00000117118,SDHB,0,1
ENSG00000118596,SLC16A7,2.37923609702762e-08,1
ENSG00000119689,DLST,0,1
ENSG00000120053,GOT1,0,1
ENSG00000123836,PFKFB2,0,1
ENSG00000124253,PCK1,3.83794529490444e-08,0.93567030903148
ENSG00000124532,MRS2,0,1
ENSG00000124608,AARS2,0,1
ENSG00000124767,GLO1,0,1
ENSG00000128272,ATF4,0,1
ENSG00000130957,FBP2,3.91547949618598e-08,0.977161197842068
ENSG00000131069,ACSS2,0,1
ENSG00000131482,G6PC1,6.19449550542939e-08,0.82946557269666
ENSG00000131828,PDHA1,0,1
ENSG00000132326,PER2,0,1
ENSG00000134056,KGD4,0,1
ENSG00000134333,LDHA,0,1
ENSG00000135094,SDS,3.67960729663608e-08,0.988438917815802
ENSG00000136143,SUCLA2,0,1
ENSG00000136872,ALDOB,3.67960729663608e-08,0.960067503556278
ENSG00000137700,SLC37A4,0,1
ENSG00000138030,KHK,0,1
ENSG00000138207,RBP4,3.7789442020042e-08,0.988438917815802
ENSG00000138400,MDH1B,2.20005329509831e-08,1
ENSG00000138413,IDH1,0,1
ENSG00000141349,G6PC3,0,1
ENSG00000141526,SLC16A3,0,1
ENSG00000141959,PFKL,0,1
ENSG00000143158,MPC2,0,1
ENSG00000143252,SDHC,0,1
ENSG00000143627,PKLR,2.67758879513025e-08,0.995199204148947
ENSG00000146701,MDH2,0,1
ENSG00000148942,SLC5A12,3.91547949618598e-08,0.969428702255883
ENSG00000149476,TKFC,0,1
ENSG00000149925,ALDOA,0,1
ENSG00000150768,DLAT,0,1
ENSG00000152254,G6PC2,9.17891099794232e-08,0.760620839382331
ENSG00000152256,PDK1,0,1
ENSG00000152556,PFKM,0,1
ENSG00000154079,SDHAF4,0,1
ENSG00000155380,SLC16A1,0,1
ENSG00000156510,HKDC1,2.71582980548857e-08,0.998630699070153
ENSG00000156515,HK1,1.82812339710736e-08,1
ENSG00000158571,PFKFB1,2.71582980548857e-08,1
ENSG00000159322,ADPGK,0,1
ENSG00000159399,HK2,0,1
ENSG00000160741,CRTC2,0,1
ENSG00000160883,HK3,2.91790509532319e-08,0.977161197842068
ENSG00000162688,AGL,0,1
ENSG00000163541,SUCLG1,0,1
ENSG00000164951,PDP1,0,1
ENSG00000165140,FBP1,3.7789442020042e-08,0.995199204148947
ENSG00000166123,GPT2,0,1
ENSG00000166411,IDH3A,0,1
ENSG00000166796,LDHC,3.7789442020042e-08,0.983442564415485
ENSG00000166800,LDHAL6A,2.71582980548857e-08,0.99230757807341
ENSG00000166816,LDHD,0,1
ENSG00000167588,GPD1,0,1
ENSG00000167701,GPT,2.2058314952389e-08,1
ENSG00000167985,SDHAF2,0,1
ENSG00000168291,PDHB,0,1
ENSG00000170525,PFKFB3,0,1
ENSG00000170571,EMB,0,1
ENSG00000170950,PGK2,6.50641980293187e-08,0.797505690055249
ENSG00000171314,PGAM1,0,1
ENSG00000171989,LDHAL6B,3.67960729663608e-08,0.969428702255883
ENSG00000172270,BSG,0,1
ENSG00000172331,BPGM,0,1
ENSG00000172340,SUCLG2,0,1
ENSG00000172840,PDP2,0,1
ENSG00000173599,PC,0,1
ENSG00000175567,UCP2,0,1
ENSG00000180902,D2HGDH,0,1
ENSG00000182054,IDH2,0,1
ENSG00000183048,SLC25A10,0,1
ENSG00000188316,ENO4,2.20005329509831e-08,1
ENSG00000197444,OGDHL,2.71582980548857e-08,0.999452504749544
ENSG00000198814,GK,0,1
ENSG00000204370,SDHD,0,1
ENSG00000214756,CSKMT,0,1
ENSG00000226784,PGAM4,2.2058314952389e-08,0.999863154292893
ENSG00000256870,SLC5A8,5.6272721038475e-08,0.760620839382331
