DisplayName,Role,EnsemblGeneID,n_refs,min,max,median,sd
AARS1,Writer,ENSG00000090861,28,2.90100946484433,8.44377914306555,5.80001846500645,1.3840738179481
AARS2,Writer,ENSG00000124608,28,0.701128503692154,5.74024386556681,3.92195705000082,1.23341481320648
ACAT2,Writer,ENSG00000120437,28,3.05656163517119,7.85403916695963,5.24410308361168,1.37563934381884
ATAT1,Writer,ENSG00000137343,28,-0.99999997669185,4.76954846249554,3.22302348271603,1.44469436511358
BRD4,Reader,ENSG00000141867,28,1.43340929034455,6.25356732592876,4.73918278836412,1.25111964433168
BRD9,Reader,ENSG00000028310,28,0.182902630362785,5.13215092405796,3.94212201484549,1.25769658980544
CDYL,Reader,ENSG00000153046,28,1.8104719044132,6.37404887542926,4.94743573556093,1.16797259751906
CREBBP,Writer,ENSG00000005339,28,1.59288108577476,6.31829483063231,4.66022256920923,1.12437840695057
CSRP2BP,Writer,ENSG00000149474,28,1.41924575290881,5.62412667669104,3.62686656647744,1.02351466973112
DPF2,Reader,ENSG00000133884,28,1.34009225523357,5.7652115493397,4.40547706608352,1.16603939414286
ELP3,Writer,ENSG00000134014,28,1.39347106082307,5.79352700232026,4.06951936523316,1.05153583689839
EP300,Writer,ENSG00000100393,28,1.67572493064204,6.99715080613183,5.12819006898115,1.37255597462567
ESCO2,Writer,ENSG00000171320,28,-0.877160908819668,6.14140759995871,1.83523616107329,2.0324047314115
GCN5 (KAT2A),Writer,ENSG00000108773,28,-0.999999973740375,6.94907038121253,5.64575159496648,1.87057837424591
GTF3C4,Writer,ENSG00000125484,28,1.89793646439657,6.94239270441475,4.81340569267062,1.52253261424323
HAT1,Writer,ENSG00000128708,28,1.93603238395714,7.16137739394444,4.73434895244316,1.42244719561635
HDAC1,Writer-Eraser,ENSG00000116478,28,2.24051810155475,8.51755979324211,6.60691408615541,1.73884532623257
HDAC10,Writer-Eraser,ENSG00000100429,28,-0.666677183690417,5.263478843098,1.6625505169107,1.71109035338658
HDAC11,Eraser,ENSG00000163517,28,-0.335306650122461,5.84724850421506,3.18866560800191,1.38265611617371
HDAC2,Writer-Eraser,ENSG00000196591,28,0.873950408855894,6.60793214959469,4.64241054151934,1.46155396753632
HDAC3,Writer-Eraser,ENSG00000171720,28,2.16152070798321,6.90277196662007,4.88029230739948,1.22774512311513
HDAC4,Eraser,ENSG00000068024,28,-0.013560153805175,4.75301091571286,2.41520300659725,1.32345027148331
HDAC5,Eraser,ENSG00000108840,28,0.399124656019941,6.32764425768922,4.37796969017331,1.30653030606013
HDAC6,Writer-Eraser,ENSG00000094631,28,-0.0306546805378302,5.3787193034442,3.52906228139494,1.24029314905176
HDAC7,Eraser,ENSG00000061273,28,0.478164959038861,6.31133260246822,4.39953492655348,1.58652397940385
HDAC8,Eraser,ENSG00000147099,28,-0.404610472524265,3.74580478657739,1.2211870548091,1.11989557347044
HDAC8,Writer-Eraser,ENSG00000147099,28,-0.404610472524265,3.74580478657739,1.2211870548091,1.11989557347044
HDAC9,Eraser,ENSG00000048052,28,-0.999999981718766,4.0408977853526,1.08646735743068,1.25066268086184
KAT2B,Writer,ENSG00000114166,28,-0.151517244137003,8.12746579442074,4.03495352822299,1.65384431964581
KAT5,Writer,ENSG00000172977,28,1.14470051357421,6.12788392643499,4.57465732033328,1.39830506172981
KAT6A,Writer,ENSG00000083168,28,1.3998545648312,6.52924358860502,3.58002256518295,1.40317271585741
KAT6B,Writer,ENSG00000156650,28,-0.282594116589492,5.44396044232375,2.24754368743929,1.37620183537076
KAT7,Writer,ENSG00000136504,28,0.852579918655768,5.85236673540202,3.66992459273162,1.29760589274032
KAT8,Writer,ENSG00000103510,28,0.922362412870647,5.28446879448,4.11310542151153,1.02085334051955
KRT18,Writer,ENSG00000111057,28,0.266295243841114,11.8599907379757,7.50236278402524,3.5470858254551
MLLT3,Reader,ENSG00000171843,28,-0.691054596724865,5.33357494442528,2.76377103742806,1.37121619060058
NAA10,Writer,ENSG00000102030,28,1.95075157964542,6.90355244051223,4.32810813966056,1.35960630985277
NPM3,Writer,ENSG00000107833,28,2.10032573206966,8.89130395917116,5.11190459161254,1.90390920158994
PARK7,Writer-Eraser,ENSG00000116288,28,2.91788977213957,8.82251231717221,7.26826618423472,1.42334262154658
SIRT1,Eraser,ENSG00000096717,28,1.91337411322111,6.57456900820145,4.62241066836143,1.27892654599873
SIRT2,Eraser,ENSG00000068903,28,1.1431488217484,7.49227848925878,4.26910725654084,1.20776833461159
SIRT3,Eraser,ENSG00000142082,28,0.268638593912257,4.6191330360619,3.43914408149276,0.951710018800755
SIRT4,Eraser,ENSG00000089163,28,-0.999999976756356,7.06307668316068,2.00470094493131,1.74350830926695
SIRT5,Eraser,ENSG00000124523,28,-0.0261591447101045,4.26394245337027,2.4883364107515,0.957179458710084
SIRT6,Eraser,ENSG00000077463,28,0.363470307861158,5.89060489573467,3.91326805294979,1.30746685539407
SIRT7,Eraser,ENSG00000187531,28,-0.0118539512110582,5.45796967795784,3.62461020179886,1.39289349052641
SMARCA4,Reader,ENSG00000127616,28,1.24071682771672,7.41176280002252,5.27936674386297,1.68715679497876
TRIM33,Reader,ENSG00000197323,28,2.37806588726834,6.53987359027524,4.75830618364285,1.17790670585372
YEATS2,Reader,ENSG00000163872,28,0.682004261567162,6.48776947894499,4.30495929543122,1.52394460242483
