ObservationID,GroupID,ReferenceKey,RNASource,ProteomeSource,StudyID,MaterialType,LabelDefinition,LabelUnit,LabelLevel,Linkage,SharedSource,BatchNote,ComparabilityLimit,PXD,SampleGroup,Category,KlaProteinCount,ReferenceProteinCount,KlaDdrProteinCount,SharedReference,DisplayLabel,BiologicalMaterial,KlaEvidenceFile,KlaDdrFraction,PairedAnalysisIncluded,ReferencePXD,ReferenceEvidenceFile,ReferenceDdrProteinCount,ReferenceDdrFraction,DdrFractionPercentagePointDifference,ReferenceMatchNote,MatchMode,SymbolFallbackCount,RowOrder,KlaLabelEn,KlaLabelZh,ReferenceLabelEn,ReferenceLabelZh,NamingBasis,CategoryZh,CategoryEn,EnglishDisplayLabel,ConnGroup
OBS_05_PXD033146_pathological_rotator_cuff_tendon,KLA31_01,tendon_nondiabetic,tendon_nondiabetic,data/PXD033146/search_results/search_result-HA119TPLa.zip,PXD033146,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD033146; RNA source=tendon_nondiabetic; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD033146,pathological rotator cuff tendon,normal_tissue,571,3984,30,FALSE,病理性肩袖肌腱 · PXD033146 / 病理性肩袖肌腱 · PXD033146,diseased tendon tissue,data/PXD033146/search_results/search_result-HA119TPLa.zip,0.0525394045534151,TRUE,PXD033146,data/PXD033146/search_results/search_result-HA119TQ.zip,154,0.0386546184738956,0.0138847860795195,同研究同样本精确匹配,BaseAccession_only,0,1,Pathological rotator-cuff tendon,病理性肩袖肌腱,Pathological rotator-cuff tendon,病理性肩袖肌腱,Matched pathological tendon samples,非肿瘤组织,non-tumor tissues,Pathological rotator-cuff tendon · PXD033146 / Pathological rotator-cuff tendon · PXD033146,1
OBS_06_PXD036307_normal_human_lung,KLA31_02,GTEx_v8_Lung,GTEx_v8_Lung,data/PXD036307/search_results/extracted/txt/La (K)Sites.txt,PXD036307,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD036307; RNA source=GTEx_v8_Lung; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD036307,normal human lung,normal_tissue,474,14022,31,FALSE,正常人肺组织 · PXD036307 / 健康人肺组织 · PXD010154,normal lung tissue,data/PXD036307/search_results/extracted/txt/La (K)Sites.txt,0.0654008438818565,TRUE,PXD010154,data/PXD010154/search_results/extracted_healthy_tissues/lung/P013163_lung_proteinGroups.txt,668,0.0476394237626587,0.0177614201191979,器官组织精确匹配,BaseAccession_only,0,2,Normal human lung tissue,正常人肺组织,Healthy human lung tissue,健康人肺组织,Independent healthy whole-lung reference,非肿瘤组织,non-tumor tissues,Normal human lung tissue · PXD036307 / Healthy human lung tissue · PXD010154,2
OBS_08_PXD046800_hypertrophic_scar,KLA31_03,GSE181540_HS_input,GSE181540_HS_input,data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,same_study_different_RNA_ref,none,Proteome study=PXD046800; RNA source=GSE181540_HS_input; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD046800,hypertrophic scar,normal_tissue,402,2193,19,FALSE,增生性瘢痕组织 · PXD046800 / 增生性瘢痕组织 · PXD046800,hypertrophic scar tissue,data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,0.0472636815920398,TRUE,PXD046800,data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,83,0.0378476972184223,0.00941598437361755,同研究同样本精确匹配,BaseAccession_only,0,3,Hypertrophic scar tissue,增生性瘢痕组织,Hypertrophic scar tissue,增生性瘢痕组织,Same-study HSP1-HSP4 samples,非肿瘤组织,non-tumor tissues,Hypertrophic scar tissue · PXD046800 / Hypertrophic scar tissue · PXD046800,3
OBS_07_PXD046800_adjacent_skin,KLA31_04,GSE181540_adjacent_NS_input,GSE181540_adjacent_NS_input,data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,PXD046800,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,same_study_different_RNA_ref,none,Proteome study=PXD046800; RNA source=GSE181540_adjacent_NS_input; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD046800,adjacent skin,normal_tissue,527,2205,31,FALSE,邻近皮肤组织 · PXD046800 / 邻近皮肤组织 · PXD046800,adjacent skin tissue,data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt,0.0588235294117647,TRUE,PXD046800,data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,89,0.0403628117913832,0.0184607176203815,同研究同样本精确匹配,BaseAccession_only,0,4,Adjacent skin tissue,邻近皮肤组织,Adjacent skin tissue,邻近皮肤组织,Same-study NSP1-NSP4 samples,非肿瘤组织,non-tumor tissues,Adjacent skin tissue · PXD046800 / Adjacent skin tissue · PXD046800,3
OBS_10_PXD050470_human_hippocampus,KLA31_05,GTEx_v8_Hippocampus,GTEx_v8_Hippocampus,data/PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx;data/PXD050470/supplementary/prca2331-sup-0014-tables12.xlsx,PXD050470,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,same_study_external_RNA,none,Proteome study=PXD050470; RNA source=GTEx_v8_Hippocampus; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD050470,human hippocampus,normal_tissue,853,6082,29,FALSE,人海马组织 · PXD050470 / 人海马组织 · PXD050470,human hippocampus tissue,data/PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx;data/PXD050470/supplementary/prca2331-sup-0014-tables12.xlsx,0.0339976553341149,TRUE,PXD050470,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,219,0.0360078921407432,-0.00201023680662828,同一生物样本精确匹配,BaseAccession_only,0,5,Human hippocampus tissue,人海马组织,Human hippocampus tissue,人海马组织,Same three hippocampus samples,非肿瘤组织,non-tumor tissues,Human hippocampus tissue · PXD050470 / Human hippocampus tissue · PXD050470,4
OBS_18_PXD063047_normal_pregnancy_placenta,KLA31_06,GSE114691_control_placenta,GSE114691_control_placenta,data/PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,PXD063047,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD063047; RNA source=GSE114691_control_placenta; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD063047,normal pregnancy placenta,normal_tissue,294,12395,12,FALSE,正常妊娠胎盘 · PXD063047 / 健康人胎盘 · PXD010154,normal placenta tissue,data/PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,0.0408163265306122,TRUE,PXD010154,data/PXD010154/search_results/extracted_healthy_tissues/placenta/P013680_placenta_proteinGroups.txt,556,0.0448567970956031,-0.00404047056499082,器官组织精确匹配,BaseAccession_only,0,6,Normal-pregnancy placenta,正常妊娠胎盘,Healthy human placenta,健康人胎盘,Independent healthy placenta reference,非肿瘤组织,non-tumor tissues,Normal-pregnancy placenta · PXD063047 / Healthy human placenta · PXD010154,5
OBS_21_PXD064912_human_sperm,KLA31_07,sperm_GroupI,sperm_GroupI,data/PXD064912/supplementary/europepmc/mmc1.xlsx,PXD064912,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD064912; RNA source=sperm_GroupI; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD064912,human sperm,normal_tissue,231,10680,7,FALSE,人精子 · PXD064912 / 人精子 · PXD066517,normal human sperm biospecimen,data/PXD064912/supplementary/europepmc/mmc1.xlsx,0.0303030303030303,TRUE,PXD066517,data/PXD066517/search_results/20240275.tsv,461,0.0431647940074906,-0.0128617637044603,精确生物样本匹配,BaseAccession_only,0,7,Human sperm,人精子,Human sperm,人精子,Independent conventional DIA sperm proteome,非肿瘤组织,non-tumor tissues,Human sperm · PXD064912 / Human sperm · PXD066517,6
OBS_22_PXD066054_BPH,KLA31_08,GSE132714_BPH,GSE132714_BPH,data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,same_study_external_RNA,none,Proteome study=PXD066054; RNA source=GSE132714_BPH; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD066054,BPH,normal_tissue,2118,8169,142,FALSE,良性前列腺增生组织 · PXD066054 / 良性前列腺增生组织 · PXD066054,benign prostatic hyperplasia tissue,data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,0.0670443814919736,TRUE,PXD066054,data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,408,0.0499449136981271,0.0170994677938465,同研究同样本精确匹配,BaseAccession_only,0,8,Benign prostatic hyperplasia tissue,良性前列腺增生组织,Benign prostatic hyperplasia tissue,良性前列腺增生组织,Same-study NAT1-NAT5 BPH samples,非肿瘤组织,non-tumor tissues,Benign prostatic hyperplasia tissue · PXD066054 / Benign prostatic hyperplasia tissue · PXD066054,7
OBS_29_PXD075377_adjacent_liver,KLA31_09,TCGA_LIHC_normal,TCGA_LIHC_normal,data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,PXD075377,normal_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD075377; RNA source=TCGA_LIHC_normal; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD075377,adjacent liver,normal_tissue,1775,4251,113,FALSE,邻近肝组织 · PXD075377 / 邻近肝组织 · PXD065775,adjacent liver tissue,data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,0.0636619718309859,TRUE,PXD065775,data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,194,0.0456363208656787,0.0180256509653073,邻近组织精确匹配,BaseAccession_only,0,9,Adjacent liver tissue,邻近肝组织,Adjacent liver tissue,邻近肝组织,Independent ANTs adjacent-liver cohort,非肿瘤组织,non-tumor tissues,Adjacent liver tissue · PXD075377 / Adjacent liver tissue · PXD065775,8
OBS_20_PXD064038_MEC_and_NEC_ESCC_groups,KLA31_10,TCGA_ESCA_ESCC,TCGA_ESCA_ESCC,data/PXD064038/search_results/extracted_pairing/txt/txt/La (K)Sites.txt,PXD064038,cancer_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD064038; RNA source=TCGA_ESCA_ESCC; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD064038,MEC and NEC ESCC groups,cancer_tissue,1239,8083,92,FALSE,ESCC MEC/NEC groups · PXD064038,ESCC tumor tissue,data/PXD064038/search_results/extracted_pairing/txt/txt/La (K)Sites.txt,0.0742534301856336,TRUE,PXD065830,data/PXD065830/supplementary/Dataset1.xlsx,420,0.0519609056043548,0.0222925245812788,"External ESCC tumor ordinary-proteome reference from iProX/PXD065830 Dataset1.xlsx, sheet 2.a protein raw information: only the 94 ESCC T samples are used; the 24 N non-tumor samples are excluded. The T union contains 8083 BaseAccessions and 420 DDR BaseAccessions. This is an independent ESCC tumor cohort, not a same-specimen paired measurement; comparison is by BaseAccession. PXD053809 is not selected because its deposited processed XLS is encrypted and is not currently auditable; PXD010154 remains healthy-esophagus background only.",BaseAccession_external_ESCC_tumor,0,10,ESCC MEC/NEC groups,ESCC MEC/NEC组,Independent ESCC tumor whole proteome,独立ESCC肿瘤非乳酸化全蛋白组,TCR paper defines MEC/NEC as two ESCC tumor subgroups; combined as one representative ESCC tissue group,肿瘤组织,tumor tissues,ESCC MEC/NEC groups · PXD064038,9
