Model,selected_lambda,converged,failed,fail_reason,iterations,irls_weight_underflow_detected,n_train_rows,n_features,fallback_rate_eval,ConnGroup
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6632,1,0,1
ME,1,TRUE,FALSE,,4,FALSE,6632,1,0,1
ME2,1,TRUE,FALSE,,4,FALSE,6632,2,0,1
ME_P,1,TRUE,FALSE,,5,FALSE,6632,2,0,1
ME2P,1,TRUE,FALSE,,5,FALSE,6632,3,0,1
XEN,1,TRUE,FALSE,,5,FALSE,6632,3,0,1
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6464,1,0.00357142857142857,2
ME,1,TRUE,FALSE,,4,FALSE,6464,1,0.00357142857142857,2
ME2,1,TRUE,FALSE,,4,FALSE,6464,2,0.00357142857142857,2
ME_P,1,TRUE,FALSE,,5,FALSE,6464,2,0.00357142857142857,2
ME2P,1,TRUE,FALSE,,5,FALSE,6464,3,0.00357142857142857,2
XEN,1,TRUE,FALSE,,4,FALSE,6464,3,0.00357142857142857,2
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6598,1,0,3
ME,1,TRUE,FALSE,,4,FALSE,6598,1,0,3
ME2,1,TRUE,FALSE,,4,FALSE,6598,2,0,3
ME_P,1,TRUE,FALSE,,5,FALSE,6598,2,0,3
ME2P,1,TRUE,FALSE,,5,FALSE,6598,3,0,3
XEN,1,TRUE,FALSE,,5,FALSE,6598,3,0,3
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6598,1,0,4
ME,1,TRUE,FALSE,,4,FALSE,6598,1,0,4
ME2,1,TRUE,FALSE,,4,FALSE,6598,2,0,4
ME_P,1,TRUE,FALSE,,5,FALSE,6598,2,0,4
ME2P,1,TRUE,FALSE,,5,FALSE,6598,3,0,4
XEN,1,TRUE,FALSE,,5,FALSE,6598,3,0,4
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6516,1,0,5
ME,1,TRUE,FALSE,,4,FALSE,6516,1,0,5
ME2,1,TRUE,FALSE,,4,FALSE,6516,2,0,5
ME_P,1,TRUE,FALSE,,5,FALSE,6516,2,0,5
ME2P,1,TRUE,FALSE,,5,FALSE,6516,3,0,5
XEN,1,TRUE,FALSE,,4,FALSE,6516,3,0,5
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6468,1,0.0072463768115942,6
ME,1,TRUE,FALSE,,4,FALSE,6468,1,0.0072463768115942,6
ME2,1,TRUE,FALSE,,4,FALSE,6468,2,0.0072463768115942,6
ME_P,1,TRUE,FALSE,,5,FALSE,6468,2,0.0072463768115942,6
ME2P,1,TRUE,FALSE,,5,FALSE,6468,3,0.0072463768115942,6
XEN,1,TRUE,FALSE,,5,FALSE,6468,3,0.0072463768115942,6
MP_cal,1,TRUE,FALSE,,5,FALSE,6183,1,0,7
ME,1,TRUE,FALSE,,4,FALSE,6183,1,0,7
ME2,1,TRUE,FALSE,,4,FALSE,6183,2,0,7
ME_P,1,TRUE,FALSE,,5,FALSE,6183,2,0,7
ME2P,1,TRUE,FALSE,,5,FALSE,6183,3,0,7
XEN,1,TRUE,FALSE,,5,FALSE,6183,3,0,7
MP_cal,1,TRUE,FALSE,,5,FALSE,6424,1,0,8
ME,1,TRUE,FALSE,,4,FALSE,6424,1,0,8
ME2,1,TRUE,FALSE,,4,FALSE,6424,2,0,8
ME_P,1,TRUE,FALSE,,5,FALSE,6424,2,0,8
ME2P,1,TRUE,FALSE,,5,FALSE,6424,3,0,8
XEN,1,TRUE,FALSE,,5,FALSE,6424,3,0,8
MP_cal,1,TRUE,FALSE,,5,FALSE,6456,1,0,9
ME,1,TRUE,FALSE,,4,FALSE,6456,1,0,9
ME2,1,TRUE,FALSE,,4,FALSE,6456,2,0,9
ME_P,1,TRUE,FALSE,,5,FALSE,6456,2,0,9
ME2P,1,TRUE,FALSE,,5,FALSE,6456,3,0,9
XEN,1,TRUE,FALSE,,5,FALSE,6456,3,0,9
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6067,1,0.00147710487444609,10
ME,1,TRUE,FALSE,,4,FALSE,6067,1,0.00147710487444609,10
ME2,1,TRUE,FALSE,,4,FALSE,6067,2,0.00147710487444609,10
ME_P,0.05,TRUE,FALSE,,5,FALSE,6067,2,0.00147710487444609,10
ME2P,1,TRUE,FALSE,,5,FALSE,6067,3,0.00147710487444609,10
XEN,1,TRUE,FALSE,,5,FALSE,6067,3,0.00147710487444609,10
MP_cal,0.05,TRUE,FALSE,,5,FALSE,5551,1,0.00167644593461861,11
ME,1,TRUE,FALSE,,4,FALSE,5551,1,0.00167644593461861,11
ME2,1,TRUE,FALSE,,4,FALSE,5551,2,0.00167644593461861,11
ME_P,0.05,TRUE,FALSE,,5,FALSE,5551,2,0.00167644593461861,11
ME2P,0.05,TRUE,FALSE,,5,FALSE,5551,3,0.00167644593461861,11
XEN,1,TRUE,FALSE,,5,FALSE,5551,3,0.00167644593461861,11
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6441,1,0,12
ME,1,TRUE,FALSE,,5,FALSE,6441,1,0,12
ME2,1,TRUE,FALSE,,5,FALSE,6441,2,0,12
ME_P,0.05,TRUE,FALSE,,6,FALSE,6441,2,0,12
ME2P,0.05,TRUE,FALSE,,6,FALSE,6441,3,0,12
XEN,1,TRUE,FALSE,,5,FALSE,6441,3,0,12
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6569,1,0,13
ME,1,TRUE,FALSE,,4,FALSE,6569,1,0,13
ME2,1,TRUE,FALSE,,4,FALSE,6569,2,0,13
ME_P,0.05,TRUE,FALSE,,5,FALSE,6569,2,0,13
ME2P,1,TRUE,FALSE,,5,FALSE,6569,3,0,13
XEN,1,TRUE,FALSE,,5,FALSE,6569,3,0,13
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6567,1,0,14
ME,1,TRUE,FALSE,,4,FALSE,6567,1,0,14
ME2,1,TRUE,FALSE,,4,FALSE,6567,2,0,14
ME_P,0.05,TRUE,FALSE,,5,FALSE,6567,2,0,14
ME2P,1,TRUE,FALSE,,5,FALSE,6567,3,0,14
XEN,1,TRUE,FALSE,,5,FALSE,6567,3,0,14
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6117,1,0.00318979266347687,15
ME,1,TRUE,FALSE,,5,FALSE,6117,1,0.00318979266347687,15
ME2,1,TRUE,FALSE,,5,FALSE,6117,2,0.00318979266347687,15
ME_P,1,TRUE,FALSE,,5,FALSE,6117,2,0.00318979266347687,15
ME2P,1,TRUE,FALSE,,5,FALSE,6117,3,0.00318979266347687,15
XEN,1,TRUE,FALSE,,5,FALSE,6117,3,0.00318979266347687,15
MP_cal,0.05,TRUE,FALSE,,5,FALSE,6551,1,0,16
ME,1,TRUE,FALSE,,4,FALSE,6551,1,0,16
ME2,1,TRUE,FALSE,,4,FALSE,6551,2,0,16
ME_P,1,TRUE,FALSE,,5,FALSE,6551,2,0,16
ME2P,1,TRUE,FALSE,,5,FALSE,6551,3,0,16
XEN,1,TRUE,FALSE,,5,FALSE,6551,3,0,16
MP_cal,1,TRUE,FALSE,,5,FALSE,6457,1,0,17
ME,1,TRUE,FALSE,,4,FALSE,6457,1,0,17
ME2,1,TRUE,FALSE,,4,FALSE,6457,2,0,17
ME_P,1,TRUE,FALSE,,5,FALSE,6457,2,0,17
ME2P,1,TRUE,FALSE,,5,FALSE,6457,3,0,17
XEN,1,TRUE,FALSE,,5,FALSE,6457,3,0,17
MP_cal,1,TRUE,FALSE,,5,FALSE,6312,1,0,18
ME,1,TRUE,FALSE,,4,FALSE,6312,1,0,18
ME2,1,TRUE,FALSE,,5,FALSE,6312,2,0,18
ME_P,1,TRUE,FALSE,,5,FALSE,6312,2,0,18
ME2P,1,TRUE,FALSE,,5,FALSE,6312,3,0,18
XEN,1,TRUE,FALSE,,5,FALSE,6312,3,0,18
MP_cal,1,TRUE,FALSE,,5,FALSE,6421,1,0.00619195046439629,19
ME,1,TRUE,FALSE,,4,FALSE,6421,1,0.00619195046439629,19
ME2,1,TRUE,FALSE,,4,FALSE,6421,2,0.00619195046439629,19
ME_P,1,TRUE,FALSE,,5,FALSE,6421,2,0.00619195046439629,19
ME2P,1,TRUE,FALSE,,5,FALSE,6421,3,0.00619195046439629,19
XEN,1,TRUE,FALSE,,5,FALSE,6421,3,0.00619195046439629,19
