ConnGroup,Model,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
1,ME,112,22,0.196428571428571,0.379349309363493,0.36393020362185,0.714646464646465,0.19279129716684,0.576402401085563,""
2,ME,280,21,0.075,0.352545471617468,0.328353136995473,0.830299687442545,0.166655053545391,0.52291730782217,""
3,ME,146,39,0.267123287671233,0.627640986501488,0.62324895303754,0.780254013898874,0.209442921752146,0.610935013062588,""
4,ME,146,25,0.171232876712329,0.270445997467497,0.247962537963492,0.625454545454546,0.177471926458478,0.544038083938858,""
5,ME,228,8,0.0350877192982456,0.14653932334428,0.124036019926888,0.817045454545455,0.151805923534161,0.492204016654421,""
6,ME,276,5,0.0181159420289855,0.0694705677464298,0.0515890318315879,0.677490774907749,0.137101733540443,0.461096203356855,""
7,ME,561,257,0.458110516934046,0.622320050323158,0.620972766360571,0.643124104034405,0.244466259296513,0.681918513715047,""
8,ME,320,157,0.490625,0.546521562334421,0.541130396020143,0.558047751162518,0.264410764209395,0.723934665119574,""
9,ME,288,82,0.284722222222222,0.534064545668899,0.52935826281461,0.727563343594601,0.204424316111453,0.59976278937235,""
10,ME,677,358,0.528803545051699,0.60951279599075,0.608138661313121,0.588982679812963,0.257213405461652,0.707898866258615,""
11,ME,1193,375,0.314333612740989,0.350259612236911,0.347362528150315,0.516050529747351,0.240397745157377,0.673712104555657,""
12,ME,303,228,0.752475247524752,0.715818859221255,0.712319380844884,0.417017543859649,0.417493346648271,1.06876699810025,""
13,ME,175,86,0.491428571428572,0.63835468867811,0.635106217128379,0.644107656127515,0.243924795215392,0.680796975946184,""
14,ME,177,28,0.15819209039548,0.292554678123871,0.286073954966818,0.601629913710451,0.213233840573084,0.618400722438184,""
15,ME,627,384,0.61244019138756,0.669255585186163,0.668268768602494,0.564021776406036,0.306578091278746,0.814288706532725,""
16,ME,193,90,0.466321243523316,0.640295909123075,0.635298741138855,0.651887810140237,0.238594030734564,0.669980386717813,""
17,ME,287,141,0.491289198606272,0.609694672081817,0.607521837043275,0.603711260079666,0.246511418891886,0.686165327851417,""
18,ME,432,230,0.532407407407407,0.594957228523913,0.592931432370413,0.557942315970728,0.257369102329719,0.70803868332774,""
19,ME,323,172,0.532507739938081,0.681281213672649,0.679864427906067,0.623556137378716,0.26058315021586,0.715103785672504,""
