ConnGroup,Model,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
1,ME2P,112,22,0.196428571428571,0.752996257301478,0.749202994916252,0.865151515151515,0.161519377395368,0.49158537338009,""
2,ME2P,280,21,0.075,0.666659952205726,0.660386292803607,0.927376355947785,0.150249726393829,0.46765464740917,""
3,ME2P,146,39,0.267123287671233,0.622881023257221,0.614581112906162,0.807093218308172,0.207323076786502,0.602599537877383,""
4,ME2P,146,25,0.171232876712329,0.532762714618409,0.523512898632984,0.778512396694215,0.18365210426285,0.542275066862308,""
5,ME2P,228,8,0.0350877192982456,0.290435885707201,0.249393359151861,0.810795454545455,0.195424565406249,0.570063811692634,""
6,ME2P,276,5,0.0181159420289855,0.0513741718257847,0.0378932917121087,0.718819188191882,0.300048782287087,0.837213590922828,""
7,ME2P,561,257,0.458110516934046,0.824259837328525,0.82387233314991,0.826323469178784,0.180382128693697,0.541655543754828,""
8,ME2P,320,157,0.490625,0.821353721207088,0.820771672883425,0.796061115235825,0.192837781899433,0.571504422505245,""
9,ME2P,288,82,0.284722222222222,0.653635153532495,0.645984445971191,0.801326071513142,0.166902240823523,0.510822465365798,""
10,ME2P,677,358,0.528803545051699,0.92328863847133,0.923135812226376,0.919633631635173,0.151993094009755,0.477140656414924,""
11,ME2P,1193,375,0.314333612740989,0.570714994827432,0.570188928626919,0.718531377343113,0.211265459447364,0.610782485739556,""
12,ME2P,303,228,0.752475247524752,0.915223843255688,0.914964680972734,0.769239766081871,0.382799756600106,1.062026365068,""
13,ME2P,175,86,0.491428571428572,0.857165593406358,0.855853381686792,0.880324013587667,0.16608553577356,0.500973035768053,""
14,ME2P,177,28,0.15819209039548,0.667655037442792,0.658961247044379,0.910834132310642,0.166110172343629,0.503947727278529,""
15,ME2P,627,384,0.61244019138756,0.870565831044925,0.870327218506933,0.799479166666667,0.264927354342677,0.742242873269687,""
16,ME2P,193,90,0.466321243523316,0.795718420039373,0.794372302870651,0.795145631067961,0.185803897229932,0.553979561609776,""
17,ME2P,287,141,0.491289198606272,0.916270872718946,0.915937978246918,0.911007480812203,0.157109386395513,0.488885357210821,""
18,ME2P,432,230,0.532407407407407,0.898899356641353,0.89910233459574,0.884718037021093,0.20927654936294,0.600100011216948,""
19,ME2P,323,172,0.532507739938081,0.863714427276751,0.863264196014617,0.829085168643154,0.205949044567452,0.600109836163424,""
