ConnGroup,Model,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
1,XEN,112,22,0.196428571428571,0.379349309363493,0.36393020362185,0.714646464646465,0.180020401395218,0.548324208208209,""
2,XEN,280,21,0.075,0.352545471617468,0.328353136995473,0.830299687442545,0.146619058147129,0.478866915299674,""
3,XEN,146,39,0.267123287671233,0.608341395388092,0.603700450737734,0.766115504433262,0.20963665733033,0.611061277117493,""
4,XEN,146,25,0.171232876712329,0.270445997467497,0.247962537963492,0.625454545454546,0.172872714755793,0.53358351765629,""
5,XEN,228,8,0.0350877192982456,0.14653932334428,0.124036019926888,0.817045454545455,0.155209922026328,0.49901198058203,""
6,XEN,276,5,0.0181159420289855,0.0245403635228283,0.0164522850178748,0.322509225092251,0.386551072965804,0.973584896577041,""
7,XEN,561,257,0.458110516934046,0.615463328162415,0.614089442667294,0.64125537579357,0.243399822892719,0.679762833302213,""
8,XEN,320,157,0.490625,0.545217985286684,0.539825624255674,0.556680082841624,0.263194212673892,0.721537676472117,""
9,XEN,288,82,0.284722222222222,0.534064545668899,0.52935826281461,0.727563343594601,0.19949993206295,0.588859080580265,""
10,XEN,677,358,0.528803545051699,0.612424219160689,0.611258990720285,0.587117563615348,0.254628946317705,0.70253323918138,""
11,XEN,1193,375,0.314333612740989,0.339055454230688,0.336332679283787,0.525520782396088,0.242071463738899,0.677182409792419,""
12,XEN,303,228,0.752475247524752,0.715818859221255,0.712319380844884,0.417017543859649,0.455152907551517,1.18559335535209,""
13,XEN,175,86,0.491428571428572,0.63835468867811,0.635106217128379,0.644107656127515,0.247381600378137,0.688133453311702,""
14,XEN,177,28,0.15819209039548,0.292554678123871,0.286073954966818,0.601629913710451,0.204767129134327,0.59936426888077,""
15,XEN,627,384,0.61244019138756,0.640559235396855,0.639550252665935,0.503686556927298,0.321765305055268,0.852831923059248,""
16,XEN,193,90,0.466321243523316,0.640295909123075,0.635298741138855,0.651887810140237,0.2356668087434,0.664012833577437,""
17,XEN,287,141,0.491289198606272,0.609694672081817,0.607521837043275,0.603711260079666,0.245514995296003,0.684388211476166,""
18,XEN,432,230,0.532407407407407,0.594957228523913,0.592931432370413,0.557942315970728,0.282571219952217,0.763562639506658,""
19,XEN,323,172,0.532507739938081,0.681281213672649,0.679864427906067,0.623556137378716,0.265186687180525,0.725945464119438,""
