Comparison,ConnGroup,delta_LogLoss,delta_AP,delta_Brier
ME2P vs ME_P (with MP background),1,-0.017277577634817,-0.00354500337021801,-0.00741028608476499
ME2P vs ME_P (with MP background),2,-0.024004502987716,0.00447084826029309,-0.010373110934244
ME2P vs ME_P (with MP background),3,0.0111048849322649,-0.0144867801119121,0.004096885761394
ME2P vs ME_P (with MP background),4,-0.003841387673027,0.0102997321487419,-0.00186236077980401
ME2P vs ME_P (with MP background),5,0.0146885321764579,-0.020346455049835,0.00584054489010699
ME2P vs ME_P (with MP background),6,0.268836179382944,0.0027507537708085,0.105386566128629
ME2P vs ME_P (with MP background),7,-0.0033664137921039,0.00185127651555106,-0.001400717391775
ME2P vs ME_P (with MP background),8,-0.00423593266713795,-0.000284297377605935,-0.00150133855855503
ME2P vs ME_P (with MP background),9,-0.004383370273225,0.00753641584554099,-0.001806438257037
ME2P vs ME_P (with MP background),10,-0.00821353154217702,-0.002786055658758,-0.00421690443480499
ME2P vs ME_P (with MP background),11,-0.00682016395441809,0.00552942257358002,-0.00299153695869001
ME2P vs ME_P (with MP background),12,0.0691443176493359,0.00068772956915697,0.02322673021061
ME2P vs ME_P (with MP background),13,0.0146279858037139,0.00391713699250096,0.008011960838127
ME2P vs ME_P (with MP background),14,-0.0195920518061941,0.00287812934843601,-0.008381953856957
ME2P vs ME_P (with MP background),15,0.0278202020538779,-0.00982999928239203,0.01016751330381
ME2P vs ME_P (with MP background),16,-0.00572077056467102,0.00466471267107904,-0.00208729046044698
ME2P vs ME_P (with MP background),17,0.000167347889565017,0.000902478349735003,0.000184715454425
ME2P vs ME_P (with MP background),18,0.070046741308616,-0.00276501382429895,0.033344307843609
ME2P vs ME_P (with MP background),19,0.0064257083813849,0.00150816027682799,0.002975788024384
ME2 vs ME (without MP background),1,-0.019978827846027,0,-0.00920689701368399
ME2 vs ME (without MP background),2,-0.0316345752334661,0,-0.01457658787368
ME2 vs ME (without MP background),3,0.00751800128751201,-0.034912120297362,0.00378774877704502
ME2 vs ME (without MP background),4,-0.00345313531381497,0,-0.00142414624881801
ME2 vs ME (without MP background),5,0.014913733064916,0,0.007290568275961
ME2 vs ME (without MP background),6,0.24254530736019,0,0.118030771744065
ME2 vs ME (without MP background),7,-0.00417741653275194,-0.013582133285865,-0.00206296900115599
ME2 vs ME (without MP background),8,-0.0055356104543991,-0.00153384165350801,-0.00271989048356502
ME2 vs ME (without MP background),9,-0.00577316926263594,0,-0.00260428235179902
ME2 vs ME (without MP background),10,-0.0146608560135459,-0.010551713891763,-0.00715467974668399
ME2 vs ME (without MP background),11,-0.010907702762091,0.015915040835387,-0.00519171841626701
ME2 vs ME (without MP background),12,-0.0160304734120502,0,-0.00629877012236396
ME2 vs ME (without MP background),13,0.0198572026035859,0,0.0096693376443
ME2 vs ME (without MP background),14,-0.031902193903577,0,-0.015218826326308
ME2 vs ME (without MP background),15,0.029042950287914,-0.025691133251352,0.012307219688626
ME2 vs ME (without MP background),16,-0.00545929837907599,0,-0.00269152396861699
ME2 vs ME (without MP background),17,-0.00128237751457705,0,-0.000690813182488981
ME2 vs ME (without MP background),18,0.065968038092196,0,0.030280017335416
ME2 vs ME (without MP background),19,0.00646461157881506,0,0.00282640405218204
