ConnGroup,Model,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
1,M0,112,22,0.196428571428571,0.196428571428571,0.196428571428571,0.5,0.201348944547837,0.59476012459852,""
2,M0,280,21,0.075,0.075,0.075,0.5,0.185442551013687,0.562856131045747,""
3,M0,146,39,0.267123287671233,0.267123287671233,0.267123287671233,0.5,0.214645337188004,0.621673150969817,""
4,M0,146,25,0.171232876712329,0.171232876712329,0.171232876712329,0.5,0.19732792739409,0.586656681377199,""
5,M0,228,8,0.0350877192982456,0.0350877192982456,0.0350877192982456,0.5,0.177707554500243,0.547196568051153,""
6,M0,276,5,0.0181159420289855,0.0181159420289855,0.0181159420289855,0.5,0.17761786620828,0.547122442672379,""
7,M0,561,257,0.458110516934046,0.458110516934046,0.458110516934046,0.5,0.252052285471729,0.697471039960059,""
8,M0,320,157,0.490625,0.490625,0.490625,0.5,0.258658173147009,0.710869082160444,""
9,M0,288,82,0.284722222222222,0.284722222222222,0.284722222222222,0.5,0.21854708861997,0.629600156384745,""
10,M0,677,358,0.528803545051699,0.528803545051699,0.528803545051699,0.5,0.269181907043285,0.732404609655295,""
11,M0,1193,375,0.314333612740989,0.314333612740989,0.314333612740989,0.5,0.226753611420743,0.646309322118626,""
12,M0,303,228,0.752475247524752,0.752475247524752,0.752475247524752,0.5,0.321269775463568,0.838524762619821,""
13,M0,175,86,0.491428571428572,0.491428571428572,0.491428571428572,0.5,0.258442324719295,0.710409150802034,""
14,M0,177,28,0.15819209039548,0.15819209039548,0.15819209039548,0.5,0.195621871820536,0.583238574015162,""
15,M0,627,384,0.61244019138756,0.61244019138756,0.61244019138756,0.5,0.291420610714475,0.777929016289496,""
16,M0,193,90,0.466321243523316,0.466321243523316,0.466321243523316,0.5,0.253312977329909,0.700004150686475,""
17,M0,287,141,0.491289198606272,0.491289198606272,0.491289198606272,0.5,0.258710588767755,0.710970454130806,""
18,M0,432,230,0.532407407407407,0.532407407407407,0.532407407407407,0.5,0.268499911381838,0.730916804952054,""
19,M0,323,172,0.532507739938081,0.532507739938081,0.532507739938081,0.5,0.267864262533819,0.729584045754148,""
