ConnGroup,Model,N,Pos,PosRate,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
1,ME2,112,22,0.196428571428571,0.379349309363493,0.36393020362185,0.714646464646465,0.188427772970533,0.566936540803009,""
2,ME2,280,21,0.075,0.352545471617468,0.328353136995473,0.830299687442545,0.161234523869824,0.51106381936435,""
3,ME2,146,39,0.267123287671233,0.641153016850182,0.637028099717733,0.785046728971963,0.210002112267843,0.611942790967169,""
4,ME2,146,25,0.171232876712329,0.270445997467497,0.247962537963492,0.625454545454546,0.180749091322995,0.550870861629445,""
5,ME2,228,8,0.0350877192982456,0.14653932334428,0.124036019926888,0.817045454545455,0.15624484352571,0.501245153255345,""
6,ME2,276,5,0.0181159420289855,0.0694705677464298,0.0515890318315879,0.677490774907749,0.193071996689673,0.577843704881859,""
7,ME2,561,257,0.458110516934046,0.613960313266752,0.612504135433307,0.642804116321933,0.241094691961516,0.675071013155775,""
8,ME2,320,157,0.490625,0.547558040730932,0.542170459085816,0.559141885819233,0.256901363239969,0.70783887504228,""
9,ME2,288,82,0.284722222222222,0.534064545668899,0.52935826281461,0.727563343594601,0.203360305995334,0.597378456877331,""
10,ME2,677,358,0.528803545051699,0.596220575203243,0.594512483020204,0.582546715469081,0.251975516192301,0.697300981045362,""
11,ME2,1193,375,0.314333612740989,0.359581159880666,0.356777226084105,0.532738386308068,0.237431243535886,0.667590717309081,""
12,ME2,303,228,0.752475247524752,0.715818859221255,0.712319380844884,0.417017543859649,0.41175085508815,1.05423246853623,""
13,ME2,175,86,0.491428571428572,0.63835468867811,0.635106217128379,0.644107656127515,0.248756624855908,0.690566003599176,""
14,ME2,177,28,0.15819209039548,0.292554678123871,0.286073954966818,0.601629913710451,0.20005059229041,0.59092006251691,""
15,ME2,627,384,0.61244019138756,0.652087319817088,0.651095426729316,0.5323859739369,0.320208655484843,0.846325310357116,""
16,ME2,193,90,0.466321243523316,0.640295909123075,0.635298741138855,0.651887810140237,0.236616049681258,0.665972764092038,""
17,ME2,287,141,0.491289198606272,0.609694672081817,0.607521837043275,0.603711260079666,0.248460925094551,0.690286099152136,""
18,ME2,432,230,0.532407407407407,0.594957228523913,0.592931432370413,0.557942315970728,0.292886419042946,0.78597141399962,""
19,ME2,323,172,0.532507739938081,0.681281213672649,0.679864427906067,0.623556137378716,0.265582806451761,0.726046680325307,""
