Type,Model,dropped_group,LogLoss,AP
S1 (Eval Drop),MP,1,0.575008862393374,0.699510429867667
S1 (Eval Drop),ME_P,1,0.576746083355592,0.708115376749861
S1 (Eval Drop),ME2P,1,0.591218677346281,0.709796127108132
S1 (Eval Drop),MP,2,0.574776472670258,0.707357505619699
S1 (Eval Drop),ME_P,2,0.577701850056593,0.713357163234653
S1 (Eval Drop),ME2P,2,0.592281107788938,0.714790773680573
S1 (Eval Drop),MP,3,0.570437726911134,0.706471184405826
S1 (Eval Drop),ME_P,3,0.572155433248358,0.714736124377781
S1 (Eval Drop),ME2P,3,0.586042804396914,0.715658260185241
S1 (Eval Drop),MP,4,0.571479607346508,0.713573911954581
S1 (Eval Drop),ME_P,4,0.574676444271123,0.721119725538862
S1 (Eval Drop),ME2P,4,0.588397216163807,0.722158200715861
S1 (Eval Drop),MP,5,0.570110526116894,0.725517834149121
S1 (Eval Drop),ME_P,5,0.574162065105521,0.732879761189564
S1 (Eval Drop),ME2P,5,0.587767250892703,0.734513953739025
S1 (Eval Drop),MP,6,0.568401810258806,0.73927041054161
S1 (Eval Drop),ME_P,6,0.573439724437537,0.747444145784123
S1 (Eval Drop),ME2P,6,0.580498472559474,0.748946746403348
S1 (Eval Drop),MP,7,0.574066805816465,0.696764491034424
S1 (Eval Drop),ME_P,7,0.574737249659368,0.704456082297568
S1 (Eval Drop),ME2P,7,0.589139623494093,0.706026717079218
S1 (Eval Drop),MP,8,0.572711047108569,0.696410970028892
S1 (Eval Drop),ME_P,8,0.57303067201351,0.704498890199139
S1 (Eval Drop),ME2P,8,0.587673896475504,0.706148855077485
S1 (Eval Drop),MP,9,0.574123461369589,0.70670122329594
S1 (Eval Drop),ME_P,9,0.576393700876474,0.714251072471235
S1 (Eval Drop),ME2P,9,0.590571482140178,0.715602552929993
S1 (Eval Drop),MP,10,0.578826994244774,0.69056968792901
S1 (Eval Drop),ME_P,10,0.578044486937011,0.69869669884236
S1 (Eval Drop),ME2P,10,0.592447067911791,0.70044842582071
S1 (Eval Drop),MP,11,0.570258141644312,0.710812003332706
S1 (Eval Drop),ME_P,11,0.570710192217439,0.718746652060245
S1 (Eval Drop),ME2P,11,0.584867074006545,0.720281757163567
S1 (Eval Drop),MP,12,0.558292526183242,0.690563180502269
S1 (Eval Drop),ME_P,12,0.549856133555383,0.699337884915703
S1 (Eval Drop),ME2P,12,0.56206424850321,0.70094241540672
S1 (Eval Drop),MP,13,0.57787517484182,0.694932562548247
S1 (Eval Drop),ME_P,13,0.577991942403495,0.702742754764185
S1 (Eval Drop),ME2P,13,0.591658888185869,0.704236374738781
S1 (Eval Drop),MP,14,0.574617616049281,0.704214277935652
S1 (Eval Drop),ME_P,14,0.57593070401838,0.713213396337491
S1 (Eval Drop),ME2P,14,0.590764650926987,0.714697384708732
S1 (Eval Drop),MP,15,0.567135555666391,0.693126916231105
S1 (Eval Drop),ME_P,15,0.565326098899986,0.701234567324549
S1 (Eval Drop),ME2P,15,0.577734245818044,0.703193009374526
S1 (Eval Drop),MP,16,0.572077946799162,0.698507465199439
S1 (Eval Drop),ME_P,16,0.573921784402284,0.70619801860005
S1 (Eval Drop),ME2P,16,0.588209947492276,0.707729982376056
S1 (Eval Drop),MP,17,0.578368521167422,0.691180913307913
S1 (Eval Drop),ME_P,17,0.577865246783017,0.699291647099999
S1 (Eval Drop),ME2P,17,0.591634063191432,0.700873651197115
S1 (Eval Drop),MP,18,0.576308089973041,0.691636359935406
S1 (Eval Drop),ME_P,18,0.575568843417068,0.700052981761308
S1 (Eval Drop),ME2P,18,0.58514394540267,0.701835052852885
S1 (Eval Drop),MP,19,0.571861194828001,0.694281241055878
S1 (Eval Drop),ME_P,19,0.572033795757418,0.702245098620515
S1 (Eval Drop),ME2P,19,0.585595387699426,0.703805908429466
S2 (Train Drop),MP,1,0.576560810954892,0.696940525387354
S2 (Train Drop),ME_P,1,0.576369331286828,0.705788530528927
S2 (Train Drop),ME2P,1,0.591846425224496,0.708389588407881
S2 (Train Drop),MP,2,0.579842872799361,0.702131040661321
S2 (Train Drop),ME_P,2,0.580871576840941,0.706419974487664
S2 (Train Drop),ME2P,2,0.59552401119548,0.707668692310731
S2 (Train Drop),MP,3,0.57234599199217,0.70805848093588
S2 (Train Drop),ME_P,3,0.574216982582203,0.711593761533504
S2 (Train Drop),ME2P,3,0.588951060376319,0.714412419620364
S2 (Train Drop),MP,4,0.57425649654776,0.711916135365013
S2 (Train Drop),ME_P,4,0.577686233485946,0.721584454720426
S2 (Train Drop),ME2P,4,0.59257832797283,0.723642157986542
S2 (Train Drop),MP,5,0.574782935080867,0.71955630505055
S2 (Train Drop),ME_P,5,0.578665576272719,0.728232536639397
S2 (Train Drop),ME2P,5,0.593032592994662,0.728512710115912
S2 (Train Drop),MP,6,0.574169035343975,0.738295342091509
S2 (Train Drop),ME_P,6,0.578008349759129,0.742529105591574
S2 (Train Drop),ME2P,6,0.585494971626466,0.746074854559994
S2 (Train Drop),MP,7,0.574449438131492,0.693914346190901
S2 (Train Drop),ME_P,7,0.576762208981609,0.701019958234413
S2 (Train Drop),ME2P,7,0.592705592792363,0.701810490670965
S2 (Train Drop),MP,8,0.571186396261693,0.694046604515684
S2 (Train Drop),ME_P,8,0.573021446876378,0.702411319207744
S2 (Train Drop),ME2P,8,0.589621365212454,0.703107966376579
S2 (Train Drop),MP,9,0.577372391879915,0.701268354450592
S2 (Train Drop),ME_P,9,0.579101623668402,0.709537178056133
S2 (Train Drop),ME2P,9,0.592133469993738,0.710839970303686
S2 (Train Drop),MP,10,0.578851678779602,0.677998182441036
S2 (Train Drop),ME_P,10,0.581577863559939,0.689050831411537
S2 (Train Drop),ME2P,10,0.596573748308805,0.690812176437841
S2 (Train Drop),MP,11,0.581254465249784,0.709990726620664
S2 (Train Drop),ME_P,11,0.578616159541682,0.720642072570698
S2 (Train Drop),ME2P,11,0.591366964893661,0.720470781524775
S2 (Train Drop),MP,12,0.552555494934236,0.691255593620638
S2 (Train Drop),ME_P,12,0.535967768392471,0.697797962711392
S2 (Train Drop),ME2P,12,0.544123662849993,0.697242412277728
S2 (Train Drop),MP,13,0.577937160522986,0.693730413409136
S2 (Train Drop),ME_P,13,0.572974300047264,0.700850921184457
S2 (Train Drop),ME2P,13,0.586268241421242,0.702161300183567
S2 (Train Drop),MP,14,0.576393055109526,0.700904561206475
S2 (Train Drop),ME_P,14,0.571724657399006,0.709080875195701
S2 (Train Drop),ME2P,14,0.585730850478135,0.707606634461859
S2 (Train Drop),MP,15,0.561801449087417,0.694997551732037
S2 (Train Drop),ME_P,15,0.55973332238278,0.703745162398687
S2 (Train Drop),ME2P,15,0.574358002433238,0.70043327691464
S2 (Train Drop),MP,16,0.572634489494185,0.697230848201537
S2 (Train Drop),ME_P,16,0.568851406586519,0.704547034914704
