ConnGroup,LogLoss,Model,candidate_lambda,OuterConnGroup
8,0.601272714896212,MP_cal,0.05,1
9,0.529648525464032,MP_cal,0.05,1
10,0.542856491839848,MP_cal,0.05,1
18,0.580455164823939,MP_cal,0.05,1
7,0.536423809087289,MP_cal,0.05,1
11,0.585623250800316,MP_cal,0.05,1
12,0.804471570568978,MP_cal,0.05,1
2,0.545223056769888,MP_cal,0.05,1
4,0.603594655635722,MP_cal,0.05,1
5,0.620299389785323,MP_cal,0.05,1
17,0.463872644973492,MP_cal,0.05,1
3,0.576165845626258,MP_cal,0.05,1
14,0.496421634632711,MP_cal,0.05,1
15,0.667186625911122,MP_cal,0.05,1
6,0.574050845148951,MP_cal,0.05,1
13,0.503487649748351,MP_cal,0.05,1
16,0.579780904605232,MP_cal,0.05,1
19,0.589129408900915,MP_cal,0.05,1
8,0.601275450169993,MP_cal,0.1,1
9,0.529650731825513,MP_cal,0.1,1
10,0.542863850484839,MP_cal,0.1,1
18,0.580460781802166,MP_cal,0.1,1
7,0.536427040026762,MP_cal,0.1,1
11,0.585618727371752,MP_cal,0.1,1
12,0.804462097023347,MP_cal,0.1,1
2,0.545221239453058,MP_cal,0.1,1
4,0.603588781397855,MP_cal,0.1,1
5,0.620292525530229,MP_cal,0.1,1
17,0.463879854488837,MP_cal,0.1,1
3,0.576161065726495,MP_cal,0.1,1
14,0.496420527447163,MP_cal,0.1,1
15,0.667186433728814,MP_cal,0.1,1
6,0.574045316600248,MP_cal,0.1,1
13,0.503493042404689,MP_cal,0.1,1
16,0.579781940077501,MP_cal,0.1,1
19,0.589131943691475,MP_cal,0.1,1
8,0.601286391428515,MP_cal,0.3,1
9,0.529659557040919,MP_cal,0.3,1
10,0.542893278573895,MP_cal,0.3,1
18,0.580483245374904,MP_cal,0.3,1
7,0.536439967558588,MP_cal,0.3,1
11,0.585600653237047,MP_cal,0.3,1
12,0.804424235303796,MP_cal,0.3,1
2,0.545213977227618,MP_cal,0.3,1
4,0.603565299441144,MP_cal,0.3,1
5,0.620265083583021,MP_cal,0.3,1
17,0.463908686745538,MP_cal,0.3,1
3,0.576141958835256,MP_cal,0.3,1
14,0.496416104750026,MP_cal,0.3,1
15,0.667185670064865,MP_cal,0.3,1
6,0.574023213402401,MP_cal,0.3,1
13,0.503514610050463,MP_cal,0.3,1
16,0.579786084954351,MP_cal,0.3,1
19,0.589142083171013,MP_cal,0.3,1
8,0.601324687844872,MP_cal,1,1
9,0.529690442362429,MP_cal,1,1
10,0.542996195188089,MP_cal,1,1
18,0.580561813240867,MP_cal,1,1
7,0.536485261206012,MP_cal,1,1
11,0.585537639707232,MP_cal,1,1
12,0.804292127107185,MP_cal,1,1
2,0.545188647957876,MP_cal,1,1
4,0.603483301118668,MP_cal,1,1
5,0.620169226292006,MP_cal,1,1
17,0.46400952658554,MP_cal,1,1
3,0.576075244509433,MP_cal,1,1
14,0.496400701304707,MP_cal,1,1
15,0.667183060908265,MP_cal,1,1
6,0.573945990510825,MP_cal,1,1
13,0.503590059286009,MP_cal,1,1
16,0.579800629564781,MP_cal,1,1
19,0.58917757530259,MP_cal,1,1
8,0.726201376367581,ME,0.05,1
9,0.593051287593298,ME,0.05,1
10,0.715375705026721,ME,0.05,1
18,0.71856697951682,ME,0.05,1
7,0.672665820886407,ME,0.05,1
11,0.673477235477987,ME,0.05,1
12,1.08548278941011,ME,0.05,1
2,0.564098227081462,ME,0.05,1
4,0.585343505106165,ME,0.05,1
5,0.542084568465254,ME,0.05,1
17,0.684860334731527,ME,0.05,1
3,0.599877896359949,ME,0.05,1
14,0.606520605652131,ME,0.05,1
15,0.798490288340462,ME,0.05,1
6,0.471257443475082,ME,0.05,1
13,0.687894242669526,ME,0.05,1
16,0.678263944229142,ME,0.05,1
19,0.710996257018031,ME,0.05,1
8,0.726200837879138,ME,0.1,1
9,0.593052221572933,ME,0.1,1
10,0.715376410372978,ME,0.1,1
18,0.718567724196283,ME,0.1,1
7,0.672666257472783,ME,0.1,1
11,0.673474100003247,ME,0.1,1
12,1.08546517671913,ME,0.1,1
2,0.564099302436049,ME,0.1,1
4,0.585344640175124,ME,0.1,1
5,0.542086082744582,ME,0.1,1
17,0.684860731459183,ME,0.1,1
3,0.59987813296455,ME,0.1,1
14,0.606518548637559,ME,0.1,1
15,0.798488160204371,ME,0.1,1
6,0.471259791832786,ME,0.1,1
13,0.687894830188497,ME,0.1,1
16,0.678264553659768,ME,0.1,1
19,0.710996556213079,ME,0.1,1
8,0.726198684611714,ME,0.3,1
9,0.593055956743014,ME,0.3,1
10,0.715379231379066,ME,0.3,1
18,0.71857070240949,ME,0.3,1
7,0.67266800417722,ME,0.3,1
11,0.673461563190928,ME,0.3,1
12,1.08539475077203,ME,0.3,1
2,0.564103603080243,ME,0.3,1
4,0.5853491796664,ME,0.3,1
5,0.54209213876096,ME,0.3,1
17,0.68486231815871,ME,0.3,1
3,0.599879079496655,ME,0.3,1
14,0.606510322792539,ME,0.3,1
15,0.798479650154534,ME,0.3,1
6,0.471269183569083,ME,0.3,1
13,0.687897179883425,ME,0.3,1
16,0.678266990987432,ME,0.3,1
19,0.710997752810267,ME,0.3,1
8,0.726191156813966,ME,1,1
9,0.593069020415116,ME,1,1
10,0.715389100127304,ME,1,1
18,0.718581119801108,ME,1,1
7,0.672674122148572,ME,1,1
11,0.673417748339951,ME,1,1
12,1.08514857219612,ME,1,1
2,0.564118645587437,ME,1,1
4,0.585365058007068,ME,1,1
5,0.54211332095631,ME,1,1
17,0.684867868948386,ME,1,1
3,0.599882393787404,ME,1,1
14,0.606481560193067,ME,1,1
15,0.7984498963768,ME,1,1
6,0.471302033310146,ME,1,1
13,0.687905399018566,ME,1,1
16,0.678275516662313,ME,1,1
19,0.711001938595886,ME,1,1
8,0.700480318509775,ME2,0.05,1
9,0.58797196310397,ME2,0.05,1
10,0.698317030094023,ME2,0.05,1
18,0.772127277401666,ME2,0.05,1
7,0.681543995317145,ME2,0.05,1
11,0.687688885655252,ME2,0.05,1
12,1.16800726437474,ME2,0.05,1
2,0.548942868496982,ME2,0.05,1
4,0.590903515456476,ME2,0.05,1
5,0.54819047272243,ME2,0.05,1
17,0.685737364227008,ME2,0.05,1
3,0.599317412720865,ME2,0.05,1
14,0.565199010320693,ME2,0.05,1
15,0.825071129893997,ME2,0.05,1
6,0.594666104752771,ME2,0.05,1
13,0.709451158490014,ME2,0.05,1
16,0.670800265113751,ME2,0.05,1
19,0.726708545982535,ME2,0.05,1
8,0.700481591541687,ME2,0.1,1
9,0.587973628600732,ME2,0.1,1
10,0.698318165069321,ME2,0.1,1
18,0.772121957727851,ME2,0.1,1
7,0.681544450478979,ME2,0.1,1
11,0.687686055997325,ME2,0.1,1
12,1.16799027234019,ME2,0.1,1
2,0.548945137438215,ME2,0.1,1
4,0.590904613843907,ME2,0.1,1
5,0.548192034608688,ME2,0.1,1
17,0.685737783922978,ME2,0.1,1
3,0.599317478361512,ME2,0.1,1
14,0.565199711949359,ME2,0.1,1
15,0.825066153427375,ME2,0.1,1
6,0.594663397257627,ME2,0.1,1
13,0.709450643332831,ME2,0.1,1
16,0.670801405290589,ME2,0.1,1
19,0.726707905127811,ME2,0.1,1
8,0.700486682601245,ME2,0.3,1
9,0.587980288408309,ME2,0.3,1
10,0.698322706696463,ME2,0.3,1
18,0.772100691843549,ME2,0.3,1
7,0.68154627082604,ME2,0.3,1
11,0.687674741072469,ME2,0.3,1
12,1.16792232307821,ME2,0.3,1
2,0.548954210817028,ME2,0.3,1
4,0.590909006432289,ME2,0.3,1
5,0.548198280646816,ME2,0.3,1
17,0.685739462473958,ME2,0.3,1
3,0.599317741722135,ME2,0.3,1
14,0.565202517553136,ME2,0.3,1
15,0.825046255479357,ME2,0.3,1
6,0.594652570257555,ME2,0.3,1
13,0.709448583699428,ME2,0.3,1
16,0.670805965035345,ME2,0.3,1
19,0.726705342819089,ME2,0.3,1
8,0.700504487845798,ME2,1,1
9,0.588003570310646,ME2,1,1
10,0.698338624025567,ME2,1,1
18,0.772026422318839,ME2,1,1
7,0.681552638258475,ME2,1,1
11,0.687635185473748,ME2,1,1
12,1.16768473820436,ME2,1,1
2,0.548985937609484,ME2,1,1
4,0.590924368389749,ME2,1,1
5,0.548220122812417,ME2,1,1
17,0.685745334468493,ME2,1,1
3,0.599318673514734,ME2,1,1
14,0.565212325699525,ME2,1,1
15,0.824976712279368,ME2,1,1
6,0.594614713267262,ME2,1,1
13,0.709441387503458,ME2,1,1
16,0.670821912022745,ME2,1,1
19,0.726696388705382,ME2,1,1
8,0.605316061779771,ME_P,0.05,1
9,0.519653090570184,ME_P,0.05,1
10,0.536208512275426,ME_P,0.05,1
18,0.573131905241451,ME_P,0.05,1
7,0.52490476249915,ME_P,0.05,1
