Model,Summary,N_total,AP,PRAUC_trap,ROC,Brier,LogLoss,Version
M0,equal_weight_19folds,6744,0.361928683384198,0.361928683384198,0.5,0.236548714172951,0.666236645697052,v3
MP,equal_weight_19folds,6744,0.702705398361862,0.698178921755706,0.823947133668719,0.193573484662228,0.572459899020476,v3
MP_cal,equal_weight_19folds,6744,0.702705398361862,0.698178921755706,0.823947133668719,0.193629820004709,0.57048875158568,v3
ME,equal_weight_19folds,6744,0.492151739852929,0.484393013580883,0.639096513837919,0.233182585374809,0.660861134290975,v3
ME2,equal_weight_19folds,6744,0.488448797666378,0.480626379293434,0.636551187534658,0.239201057100186,0.673256618903981,v3
ME_P,equal_weight_19folds,6744,0.710664344234823,0.704920886643779,0.828227014533977,0.194129313646497,0.573166114359333,v3
ME2P,equal_weight_19folds,6744,0.710293459584678,0.704826656995766,0.828918799470333,0.202087370211656,0.593450651026842,v3
XEN,equal_weight_19folds,6744,0.486394940949188,0.479156098845768,0.616723538107895,0.247984781978851,0.693586325476455,v3
M0,equal_weight_19folds,6744,0.361928683384198,0.361928683384198,0.5,0.236548714172951,0.666236645697052,weight_only
MP,equal_weight_19folds,6744,0.702705398361862,0.698178921755706,0.823947133668719,0.193573484662228,0.572459899020476,weight_only
MP_cal,equal_weight_19folds,6744,0.702705398361862,0.698178921755706,0.823947133668719,0.193616026428788,0.570458327843731,weight_only
ME,equal_weight_19folds,6744,0.492151739852929,0.484393013580883,0.639096513837919,0.23318660981141,0.660871997490385,weight_only
ME2,equal_weight_19folds,6744,0.488450363488933,0.480627946872314,0.63655339274179,0.23920285410649,0.673262002497592,weight_only
ME_P,equal_weight_19folds,6744,0.710664107482589,0.704920648986359,0.82822632822162,0.194131839467512,0.573173286916608,weight_only
ME2P,equal_weight_19folds,6744,0.710293131896911,0.704826328641376,0.828918113157975,0.202085693156123,0.593446296196005,weight_only
XEN,equal_weight_19folds,6744,0.486395664210388,0.479156813252958,0.616724078150195,0.247994913332596,0.693608293722192,weight_only
M0,equal_weight_19folds,6744,0.361928683384198,0.361928683384198,0.5,0.236548714172951,0.666236645697052,corrected_L
MP,equal_weight_19folds,6744,0.702705398361862,0.698178921755706,0.823947133668719,0.193573484662228,0.572459899020476,corrected_L
MP_cal,equal_weight_19folds,6744,0.702705398361862,0.698178921755706,0.823947133668719,0.193616026428788,0.570458327843731,corrected_L
ME,equal_weight_19folds,6744,0.492151739852929,0.484393013580883,0.639096513837919,0.23318660981141,0.660871997490385,corrected_L
ME2,equal_weight_19folds,6744,0.491364888967454,0.483601737611741,0.638264037615026,0.237095073134811,0.669231774574186,corrected_L
ME_P,equal_weight_19folds,6744,0.710664107482589,0.704920648986359,0.82822632822162,0.194131839467512,0.573173286916608,corrected_L
ME2P,equal_weight_19folds,6744,0.712194007841444,0.706545940905263,0.828921487129506,0.19967551223339,0.586511055284007,corrected_L
XEN,equal_weight_19folds,6744,0.488816918208705,0.481606005644565,0.618593466306498,0.242762765830264,0.682707025257569,corrected_L
