Model,selected_lambda,Feature,Coefficient,ConnGroup
MP_cal,1,(Intercept),-0.43424802335887,1
MP_cal,1,z_mp,1.01801837105814,1
ME,1,(Intercept),-0.388355481135195,1
ME,1,z_target_expr,0.261730983185808,1
ME2,1,(Intercept),-0.377482718889947,1
ME2,1,z_target_expr,0.326019822691768,1
ME2,1,z_mod,-0.167184573468039,1
ME_P,1,(Intercept),-0.429898814783333,1
ME_P,1,z_target_expr,0.150503525225617,1
ME_P,1,z_mp,0.999652954172642,1
ME2P,1,(Intercept),-0.418717017950986,1
ME2P,1,z_target_expr,0.204902637024698,1
ME2P,1,z_mod,-0.140613659679626,1
ME2P,1,z_mp,0.995875515011658,1
XEN,1,(Intercept),-0.410345759925851,1
XEN,1,z_target_expr,0.339509896429349,1
XEN,1,z_mod,-0.162969775524932,1
XEN,1,z_ix,0.0835581430748588,1
MP_cal,1,(Intercept),-0.387630428560981,2
MP_cal,1,z_mp,1.03479645774486,2
ME,1,(Intercept),-0.343466835306222,2
ME,1,z_target_expr,0.237159625210041,2
ME2,1,(Intercept),-0.336316339619521,2
ME2,1,z_target_expr,0.289621661989923,2
ME2,1,z_mod,-0.131564513150391,2
ME_P,1,(Intercept),-0.383813872749575,2
ME_P,1,z_target_expr,0.137513520738215,2
ME_P,1,z_mp,1.01977529439435,2
ME2P,1,(Intercept),-0.376841408762024,2
ME2P,1,z_target_expr,0.178611092561404,2
ME2P,1,z_mod,-0.102232850602809,2
ME2P,1,z_mp,1.01675017789283,2
XEN,1,(Intercept),-0.359701418569392,2
XEN,1,z_target_expr,0.299819310352,2
XEN,1,z_mod,-0.128751853391168,2
XEN,1,z_ix,0.0576006775119096,2
MP_cal,1,(Intercept),-0.449445304894801,3
MP_cal,1,z_mp,1.04768144206657,3
ME,1,(Intercept),-0.399019832967882,3
ME,1,z_target_expr,0.262736071135183,3
ME2,1,(Intercept),-0.39259543797993,3
ME2,1,z_target_expr,0.333069512513471,3
ME2,1,z_mod,-0.184979090970222,3
ME_P,1,(Intercept),-0.449687367957048,3
ME_P,1,z_target_expr,0.157074502305099,3
ME_P,1,z_mp,1.0302690338182,3
ME2P,1,(Intercept),-0.441737873749252,3
ME2P,1,z_target_expr,0.219856599139927,3
ME2P,1,z_mod,-0.164392030348105,3
ME2P,1,z_mp,1.02727911876792,3
XEN,1,(Intercept),-0.425704765366794,3
XEN,1,z_target_expr,0.347547049901369,3
XEN,1,z_mod,-0.183795035490724,3
XEN,1,z_ix,0.0835734466144789,3
MP_cal,1,(Intercept),-0.424296476913135,4
MP_cal,1,z_mp,1.06075365098746,4
ME,1,(Intercept),-0.378817429355076,4
ME,1,z_target_expr,0.250030021403053,4
ME2,1,(Intercept),-0.369183522050232,4
ME2,1,z_target_expr,0.316804217601888,4
ME2,1,z_mod,-0.175155007024835,4
ME_P,1,(Intercept),-0.41876224222568,4
ME_P,1,z_target_expr,0.127413420707187,4
ME_P,1,z_mp,1.04410485461717,4
ME2P,1,(Intercept),-0.408439639366034,4
ME2P,1,z_target_expr,0.184288553093098,4
ME2P,1,z_mod,-0.14774979456789,4
ME2P,1,z_mp,1.04024660281112,4
XEN,1,(Intercept),-0.401556243833045,4
XEN,1,z_target_expr,0.332027045083559,4
XEN,1,z_mod,-0.168517593988196,4
XEN,1,z_ix,0.0823072205782438,4
MP_cal,1,(Intercept),-0.390875823429382,5
MP_cal,1,z_mp,1.07405730082914,5
ME,1,(Intercept),-0.348072184473611,5
ME,1,z_target_expr,0.232417391083915,5
ME2,1,(Intercept),-0.338111472288491,5
ME2,1,z_target_expr,0.304139367417457,5
ME2,1,z_mod,-0.188580205759587,5
ME_P,1,(Intercept),-0.386734506352574,5
ME_P,1,z_target_expr,0.120834583593644,5
ME_P,1,z_mp,1.05983121899835,5
ME2P,1,(Intercept),-0.37526613994784,5
ME2P,1,z_target_expr,0.186879379671438,5
ME2P,1,z_mod,-0.172595795019202,5
ME2P,1,z_mp,1.0573519706299,5
XEN,1,(Intercept),-0.367898380670274,5
XEN,1,z_target_expr,0.318423421869732,5
XEN,1,z_mod,-0.181820745048881,5
XEN,1,z_ix,0.0756809669149151,5
MP_cal,1,(Intercept),-0.370537790786746,6
MP_cal,1,z_mp,1.08933356324714,6
ME,1,(Intercept),-0.333727629007531,6
ME,1,z_target_expr,0.19063709725812,6
ME2,1,(Intercept),-0.315883260990568,6
ME2,1,z_target_expr,0.289682826308844,6
ME2,1,z_mod,-0.30511631597067,6
ME_P,1,(Intercept),-0.36820246853989,6
ME_P,1,z_target_expr,0.0667566052321223,6
ME_P,1,z_mp,1.08082119878084,6
ME2P,1,(Intercept),-0.345720092173588,6
ME2P,1,z_target_expr,0.171733385511009,6
