Model,Summary,N_total,AP,PRAUC_trap,ROC,Brier,LogLoss
M0,equal_weight_19folds,6744,0.361928683384198,0.361928683384198,0.5,0.236548714172951,0.666236645697052
M0,n_weighted,6744,0.401542111506524,0.401542111506524,0.5,0.244602471813782,0.682579347249394
M0,pooled_reference_only,6744,0.321649830120435,0.314001473465937,0.32047827857993,0.244602471813782,0.682579347249394
MP,equal_weight_19folds,6744,0.702705398361862,0.698178921755706,0.823947133668719,0.193573484662228,0.572459899020476
MP,n_weighted,6744,0.720761328908051,0.71717757988438,0.815280785923088,0.194647303537856,0.575730921245355
MP,pooled_reference_only,6744,0.658321530082202,0.654442934870314,0.755597197233759,0.194647303537856,0.575730921245355
MP_cal,equal_weight_19folds,6744,0.702705398361862,0.698178921755706,0.823947133668719,0.193616026428788,0.570458327843731
MP_cal,n_weighted,6744,0.720761328908051,0.71717757988438,0.815280785923088,0.19681599664222,0.578323812925226
MP_cal,pooled_reference_only,6744,0.640841496950874,0.639730719080813,0.74858593559003,0.19681599664222,0.578323812925226
ME,equal_weight_19folds,6744,0.492151739852929,0.484393013580883,0.639096513837919,0.23318660981141,0.660871997490385
ME,n_weighted,6744,0.505467047047167,0.499976379585154,0.607214083871748,0.244674128781629,0.68433536709541
ME,pooled_reference_only,6744,0.431324481608377,0.430841150301243,0.522722153132882,0.244674128781629,0.68433536709541
ME2,equal_weight_19folds,6744,0.488450363488933,0.480627946872314,0.63655339274179,0.23920285410649,0.673262002497592
ME2,n_weighted,6744,0.502878624421838,0.497253083333153,0.607099282989031,0.249676118489979,0.694930482815498
ME2,pooled_reference_only,6744,0.409096693609533,0.408715526932025,0.487832229652478,0.249676118489979,0.694930482815498
ME_P,equal_weight_19folds,6744,0.710664107482589,0.704920648986359,0.82822632822162,0.194131839467512,0.573173286916608
ME_P,n_weighted,6744,0.72877159181531,0.725105978127256,0.817517911223683,0.198964567226959,0.584755689500859
ME_P,pooled_reference_only,6744,0.644364476853532,0.644221725468537,0.742777017551051,0.198964567226959,0.584755689500859
ME2P,equal_weight_19folds,6744,0.710293131896911,0.704826328641376,0.828918113157975,0.202085693156123,0.593446296196005
ME2P,n_weighted,6744,0.728754308765335,0.725259361062993,0.817724183159757,0.205950156004474,0.602611247587331
ME2P,pooled_reference_only,6744,0.613381308429599,0.612887076575994,0.726098011178566,0.205950156004474,0.602611247587331
XEN,equal_weight_19folds,6744,0.486395664210388,0.479156813252958,0.616724078150195,0.247994913332596,0.693608293722192
XEN,n_weighted,6744,0.498224443349598,0.49317663372294,0.588042735163518,0.258224721841706,0.714700960291085
XEN,pooled_reference_only,6744,0.378664309864609,0.378252958834804,0.477935425703382,0.258224721841705,0.714700960291086
